run,region,year,domain,reporter,mode,account,unit,value,equation,interpretation
Base_v12,RE1,2020,WATER,ENV_WATER_REFERENCE,1,water_vapor_returned,10<sup>9</sup>m<sup>3</sup>,404.9373000000003,production(PHL_WTR_EVT) - ordinary use(PHL_WTR_EVT; excluding ENV_WATER),Evapotranspiration returned to the atmosphere
Base_v12,RE1,2020,WATER,ENV_WATER_REFERENCE,2,modeled_raw_groundwater_remaining,10<sup>9</sup>m<sup>3</sup>,20.270600000000016,production(PHL_WTR_GWT) - ordinary use(PHL_WTR_GWT; excluding ENV_WATER),Modeled raw groundwater production less modeled raw groundwater use; not a sustainable-yield estimate
Base_v12,RE1,2020,WATER,ENV_WATER_REFERENCE,3,modeled_raw_surface_water_remaining,10<sup>9</sup>m<sup>3</sup>,257.47259999999983,production(PHL_WTR_SUR) - ordinary use(PHL_WTR_SUR; excluding ENV_WATER),Modeled raw surface-water production less modeled raw surface-water use; not an environmental-flow reserve
Base_v12,RE1,2020,WATER_SUMMARY,ENV_WATER_REFERENCE_DERIVED,,modeled_raw_liquid_water_remaining,10<sup>9</sup>m<sup>3</sup>,277.74319999999983,ENV_WATER mode 2 modeled raw groundwater remaining + mode 3 modeled raw surface water remaining,Derived liquid-water total; excludes mode 1 water vapor
Base_v12,RE1,2020,LAND,ENV_LAND,1,forest,10<sup>3</sup>km<sup>2</sup>,179.7818,activity(ENV_LAND mode 1),Model-defined forest land state
Base_v12,RE1,2020,LAND,ENV_LAND,2,grassland,10<sup>3</sup>km<sup>2</sup>,0.0,activity(ENV_LAND mode 2),Model-defined grassland state
Base_v12,RE1,2020,LAND,ENV_LAND,3,other_land,10<sup>3</sup>km<sup>2</sup>,0.0,activity(ENV_LAND mode 3),Model-defined other land; no forest suitability is implied
Base_v12,RE1,2020,LAND,ENV_LAND,4,barren_or_savannah,10<sup>3</sup>km<sup>2</sup>,0.0,activity(ENV_LAND mode 4),Model-defined barren or savannah land state
Base_v12,RE1,2020,LAND,ENV_LAND,5,built_up_land,10<sup>3</sup>km<sup>2</sup>,0.7698,activity(ENV_LAND mode 5),Model-defined built-up land state
Base_v12,RE1,2020,LAND,ENV_LAND,6,inland_water_bodies,10<sup>3</sup>km<sup>2</sup>,1.5984,activity(ENV_LAND mode 6),Land-cover area classified as water bodies
Base_v12,RE1,2020,LAND,ENV_LAND,7,cropland,10<sup>3</sup>km<sup>2</sup>,113.6631,activity(ENV_LAND mode 7),Sum of the 24 modeled crop-land production options
Base_v12,RE1,2020,LAND,ENV_LAND,8,unallocated_modeled_land,10<sup>3</sup>km<sup>2</sup>,0.0,activity(ENV_LAND mode 8),Modeled total-land production less all modeled PHL_LND use; small positive or negative values inside the declared tolerance are CSV rounding
Base_v12,RE1,2021,WATER,ENV_WATER_REFERENCE,1,water_vapor_returned,10<sup>9</sup>m<sup>3</sup>,403.4798999999996,production(PHL_WTR_EVT) - ordinary use(PHL_WTR_EVT; excluding ENV_WATER),Evapotranspiration returned to the atmosphere
Base_v12,RE1,2021,WATER,ENV_WATER_REFERENCE,2,modeled_raw_groundwater_remaining,10<sup>9</sup>m<sup>3</sup>,20.313699999999976,production(PHL_WTR_GWT) - ordinary use(PHL_WTR_GWT; excluding ENV_WATER),Modeled raw groundwater production less modeled raw groundwater use; not a sustainable-yield estimate
Base_v12,RE1,2021,WATER,ENV_WATER_REFERENCE,3,modeled_raw_surface_water_remaining,10<sup>9</sup>m<sup>3</sup>,258.30769999999995,production(PHL_WTR_SUR) - ordinary use(PHL_WTR_SUR; excluding ENV_WATER),Modeled raw surface-water production less modeled raw surface-water use; not an environmental-flow reserve
