REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOPHLXX01,2035,2.3382801
GLOBAL,PWRBIOPHLXX01,2036,4.7970574
GLOBAL,PWRBIOPHLXX01,2037,7.2564689
GLOBAL,PWRBIOPHLXX01,2038,9.7158804
GLOBAL,PWRBIOPHLXX01,2039,12.1752919
GLOBAL,PWRBIOPHLXX01,2040,14.713992099999999
GLOBAL,PWRBIOPHLXX01,2041,17.447376199999997
GLOBAL,PWRBIOPHLXX01,2042,20.1813945
GLOBAL,PWRBIOPHLXX01,2043,22.9154128
GLOBAL,PWRBIOPHLXX01,2044,25.648796899999997
GLOBAL,PWRBIOPHLXX01,2045,28.601361899999997
GLOBAL,PWRBIOPHLXX01,2046,31.518662799999998
GLOBAL,PWRBIOPHLXX01,2047,34.5389656
GLOBAL,PWRBIOPHLXX01,2048,37.472866599999996
GLOBAL,PWRBIOPHLXX01,2049,40.3908017
GLOBAL,PWRBIOPHLXX01,2050,40.3908017
GLOBAL,PWRBIOPHLXX01,2051,40.3908017
GLOBAL,PWRBIOPHLXX01,2052,40.3908017
GLOBAL,PWRBIOPHLXX01,2053,40.3908017
GLOBAL,PWRGEOPHLXX01,2020,30.510896
GLOBAL,PWRGEOPHLXX01,2021,31.7866866
GLOBAL,PWRGEOPHLXX01,2022,33.0621249
GLOBAL,PWRGEOPHLXX01,2023,34.3379155
GLOBAL,PWRGEOPHLXX01,2024,35.6137061
GLOBAL,PWRGEOPHLXX01,2025,36.8891444
GLOBAL,PWRGEOPHLXX01,2026,40.0925433
GLOBAL,PWRGEOPHLXX01,2027,41.3767899
GLOBAL,PWRGEOPHLXX01,2028,42.6610365
GLOBAL,PWRGEOPHLXX01,2029,43.9456354
GLOBAL,PWRGEOPHLXX01,2030,45.229882
GLOBAL,PWRGEOPHLXX01,2031,46.528926500000004
GLOBAL,PWRGEOPHLXX01,2032,47.933359900000006
GLOBAL,PWRGEOPHLXX01,2033,49.232052
GLOBAL,PWRGEOPHLXX01,2034,50.531096500000004
GLOBAL,PWRGEOPHLXX01,2035,50.531096500000004
GLOBAL,PWRGEOPHLXX01,2036,50.531096500000004
GLOBAL,PWRGEOPHLXX01,2037,50.531096500000004
GLOBAL,PWRGEOPHLXX01,2038,50.531096500000004
GLOBAL,PWRGEOPHLXX01,2039,50.531096500000004
GLOBAL,PWRGEOPHLXX01,2040,50.531096500000004
GLOBAL,PWRGEOPHLXX01,2041,50.531096500000004
GLOBAL,PWRGEOPHLXX01,2042,50.531096500000004
GLOBAL,PWRGEOPHLXX01,2043,50.531096500000004
GLOBAL,PWRGEOPHLXX01,2044,50.531096500000004
GLOBAL,PWRGEOPHLXX01,2045,50.531096500000004
GLOBAL,PWRGEOPHLXX01,2046,50.531096500000004
