REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2PHL,2020,0.0
GLOBAL,CO2PHL,2021,0.0
GLOBAL,CO2PHL,2022,0.0
GLOBAL,CO2PHL,2023,0.0
GLOBAL,CO2PHL,2024,0.0
GLOBAL,CO2PHL,2025,0.0
GLOBAL,CO2PHL,2026,0.0
GLOBAL,CO2PHL,2027,0.0
GLOBAL,CO2PHL,2028,0.0
GLOBAL,CO2PHL,2029,0.0
GLOBAL,CO2PHL,2030,0.0
GLOBAL,CO2PHL,2031,0.0
GLOBAL,CO2PHL,2032,0.0
GLOBAL,CO2PHL,2033,0.0
GLOBAL,CO2PHL,2034,0.0
GLOBAL,CO2PHL,2035,0.0
GLOBAL,CO2PHL,2036,0.0
GLOBAL,CO2PHL,2037,0.0
GLOBAL,CO2PHL,2038,0.0
GLOBAL,CO2PHL,2039,0.0
GLOBAL,CO2PHL,2040,0.0
GLOBAL,CO2PHL,2041,0.0
GLOBAL,CO2PHL,2042,0.0
GLOBAL,CO2PHL,2043,0.0
GLOBAL,CO2PHL,2044,0.0
GLOBAL,CO2PHL,2045,0.0
GLOBAL,CO2PHL,2046,0.0
GLOBAL,CO2PHL,2047,0.0
GLOBAL,CO2PHL,2048,0.0
GLOBAL,CO2PHL,2049,0.0
GLOBAL,CO2PHL,2050,45.87221565476779
GLOBAL,CO2PHL,2051,50.2045543476863
GLOBAL,CO2PHL,2052,54.53588725951039
GLOBAL,CO2PHL,2053,58.867723744603595
