REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOPHLXX01,2020,8.631350000000001
GLOBAL,PWRBIOPHLXX01,2021,8.631350000000001
GLOBAL,PWRBIOPHLXX01,2022,8.631350000000001
GLOBAL,PWRBIOPHLXX01,2023,8.631350000000001
GLOBAL,PWRBIOPHLXX01,2024,8.631350000000001
GLOBAL,PWRBIOPHLXX01,2025,8.631350000000001
GLOBAL,PWRBIOPHLXX01,2026,8.631350000000001
GLOBAL,PWRBIOPHLXX01,2027,8.631350000000001
GLOBAL,PWRBIOPHLXX01,2028,8.631350000000001
GLOBAL,PWRBIOPHLXX01,2029,8.631350000000001
GLOBAL,PWRBIOPHLXX01,2030,8.631350000000001
GLOBAL,PWRBIOPHLXX01,2031,8.519427
GLOBAL,PWRBIOPHLXX01,2035,99.493818255
GLOBAL,PWRBIOPHLXX01,2036,201.284524308
GLOBAL,PWRBIOPHLXX01,2037,300.200114256
GLOBAL,PWRBIOPHLXX01,2038,396.213598634
GLOBAL,PWRBIOPHLXX01,2039,489.32498548
GLOBAL,PWRBIOPHLXX01,2040,582.6740832
GLOBAL,PWRBIOPHLXX01,2041,690.9160896
GLOBAL,PWRBIOPHLXX01,2042,799.1832024
GLOBAL,PWRBIOPHLXX01,2043,907.4503548
GLOBAL,PWRBIOPHLXX01,2044,1015.6923611999999
GLOBAL,PWRBIOPHLXX01,2045,1132.6139352
GLOBAL,PWRBIOPHLXX01,2046,1248.1390152
GLOBAL,PWRBIOPHLXX01,2047,1367.743014
GLOBAL,PWRBIOPHLXX01,2048,1483.9254936000002
GLOBAL,PWRBIOPHLXX01,2049,1599.4757196000003
GLOBAL,PWRBIOPHLXX01,2050,1599.4757196000003
GLOBAL,PWRBIOPHLXX01,2051,1599.4757196000003
GLOBAL,PWRBIOPHLXX01,2052,1599.4757196000003
GLOBAL,PWRBIOPHLXX01,2053,1599.4757196000003
GLOBAL,PWRCCGPHLXX00,2020,108.691875
GLOBAL,PWRCCGPHLXX00,2021,108.691875
GLOBAL,PWRCCGPHLXX00,2022,108.691875
GLOBAL,PWRCCGPHLXX00,2023,108.691875
GLOBAL,PWRCCGPHLXX00,2024,108.691875
GLOBAL,PWRCCGPHLXX00,2025,11.5425
GLOBAL,PWRCCGPHLXX00,2026,11.5425
GLOBAL,PWRCCGPHLXX00,2027,11.5425
GLOBAL,PWRCCGPHLXX00,2028,11.5425
GLOBAL,PWRCCGPHLXX00,2029,11.5425
GLOBAL,PWRCCGPHLXX00,2030,11.5425
GLOBAL,PWRCCGPHLXX00,2031,11.5155
GLOBAL,PWRCCGPHLXX00,2032,11.4885
GLOBAL,PWRCCGPHLXX00,2033,11.4615
GLOBAL,PWRCCGPHLXX00,2034,11.4345
GLOBAL,PWRCCGPHLXX00,2035,11.4075
GLOBAL,PWRCCGPHLXX00,2036,11.3805
GLOBAL,PWRCCGPHLXX00,2037,11.3535
GLOBAL,PWRCCGPHLXX00,2038,11.326500000000001
GLOBAL,PWRCCGPHLXX00,2039,11.2995
GLOBAL,PWRCCGPHLXX00,2040,11.2725
GLOBAL,PWRCCGPHLXX00,2041,11.2725
GLOBAL,PWRCCGPHLXX00,2042,11.2725
GLOBAL,PWRCCGPHLXX00,2043,11.2725
GLOBAL,PWRCCGPHLXX00,2044,11.2725
GLOBAL,PWRCCGPHLXX00,2045,11.2725
GLOBAL,PWRCCGPHLXX00,2046,11.2725
