REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,LNDAGRPHLC01,2020,-91.114999652
GLOBAL,LNDAGRPHLC01,2021,-91.114999652
GLOBAL,LNDAGRPHLC01,2022,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2023,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2024,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2025,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2026,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2027,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2028,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2029,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2030,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2031,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2032,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2033,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2034,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2035,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2036,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2037,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2038,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2039,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2040,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2041,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2042,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2043,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2044,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2045,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2046,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2047,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2048,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2049,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2050,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2051,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2052,-91.11499915499999
GLOBAL,LNDAGRPHLC01,2053,-91.11499915499999
GLOBAL,LNDAGRPHLC03,2020,-884.81620818
GLOBAL,LNDAGRPHLC03,2021,-874.51084422
GLOBAL,LNDAGRPHLC03,2022,-864.2064465899999
GLOBAL,LNDAGRPHLC03,2023,-853.90107211
GLOBAL,LNDAGRPHLC03,2024,-843.5942184999999
GLOBAL,LNDAGRPHLC03,2025,-833.2910752499998
GLOBAL,LNDAGRPHLC03,2026,-823.7284997999998
GLOBAL,LNDAGRPHLC03,2027,-814.1656987199999
GLOBAL,LNDAGRPHLC03,2028,-803.21088589
GLOBAL,LNDAGRPHLC03,2029,-792.2546942099998
GLOBAL,LNDAGRPHLC03,2030,-781.2998813799999
GLOBAL,LNDAGRPHLC03,2031,-771.1679160899998
GLOBAL,LNDAGRPHLC03,2032,-761.0374549999999
GLOBAL,LNDAGRPHLC03,2033,-750.9070941900001
GLOBAL,LNDAGRPHLC03,2034,-740.7744018699999
GLOBAL,LNDAGRPHLC03,2035,-720.96160594
GLOBAL,LNDAGRPHLC03,2036,-712.97044316
GLOBAL,LNDAGRPHLC03,2037,-704.97825251
GLOBAL,LNDAGRPHLC03,2038,-696.9838306299999
GLOBAL,LNDAGRPHLC03,2039,-688.9916565
GLOBAL,LNDAGRPHLC03,2040,-681.0007028299999
GLOBAL,LNDAGRPHLC03,2041,-673.89019901
GLOBAL,LNDAGRPHLC03,2042,-666.7821019099999
GLOBAL,LNDAGRPHLC03,2043,-658.6353547099999
GLOBAL,LNDAGRPHLC03,2044,-650.49101423
GLOBAL,LNDAGRPHLC03,2045,-642.3442419599999
GLOBAL,LNDAGRPHLC03,2046,-635.33033285
GLOBAL,LNDAGRPHLC03,2047,-626.5861174099999
GLOBAL,LNDAGRPHLC03,2048,-615.8527228199999
GLOBAL,LNDAGRPHLC03,2049,-605.1191025999999
GLOBAL,LNDAGRPHLC03,2050,-539.6136995999999
GLOBAL,LNDAGRPHLC03,2051,-539.6136995999999
GLOBAL,LNDAGRPHLC03,2052,-539.6136995999999
GLOBAL,LNDAGRPHLC03,2053,-539.6136995999999
GLOBAL,LNDAGRPHLC04,2020,-131.324381757
GLOBAL,LNDAGRPHLC04,2021,-125.640646538
GLOBAL,LNDAGRPHLC04,2022,-119.958450723
GLOBAL,LNDAGRPHLC04,2023,-114.27471736199999
GLOBAL,LNDAGRPHLC04,2024,-108.59098400100001
GLOBAL,LNDAGRPHLC04,2025,-102.74029692300002
GLOBAL,LNDAGRPHLC04,2026,-97.18706214000001
