REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOPHLXX01,2035,3507.4201
GLOBAL,PWRBIOPHLXX01,2036,3638.9904
GLOBAL,PWRBIOPHLXX01,2037,3590.7407
GLOBAL,PWRBIOPHLXX01,2038,3541.5525
GLOBAL,PWRBIOPHLXX01,2039,3492.3643
GLOBAL,PWRBIOPHLXX01,2040,3554.1803
GLOBAL,PWRBIOPHLXX01,2041,3826.7377
GLOBAL,PWRBIOPHLXX01,2042,3827.6256
GLOBAL,PWRBIOPHLXX01,2043,3827.6256
GLOBAL,PWRBIOPHLXX01,2044,3826.7377
GLOBAL,PWRBIOPHLXX01,2045,4133.591
GLOBAL,PWRBIOPHLXX01,2046,4084.2212
GLOBAL,PWRBIOPHLXX01,2047,4228.4239
GLOBAL,PWRBIOPHLXX01,2048,4107.4615
GLOBAL,PWRBIOPHLXX01,2049,4085.1091
GLOBAL,PWRGEOPHLXX01,2020,104347.26
GLOBAL,PWRGEOPHLXX01,2021,4363.204
GLOBAL,PWRGEOPHLXX01,2022,4361.999
GLOBAL,PWRGEOPHLXX01,2023,4363.204
GLOBAL,PWRGEOPHLXX01,2024,4363.204
GLOBAL,PWRGEOPHLXX01,2025,4361.999
GLOBAL,PWRGEOPHLXX01,2026,10955.624
GLOBAL,PWRGEOPHLXX01,2027,4392.1233
GLOBAL,PWRGEOPHLXX01,2028,4392.1233
GLOBAL,PWRGEOPHLXX01,2029,4393.3283
GLOBAL,PWRGEOPHLXX01,2030,4392.1233
GLOBAL,PWRGEOPHLXX01,2031,4403.7608
GLOBAL,PWRGEOPHLXX01,2032,4718.8961
GLOBAL,PWRGEOPHLXX01,2033,4324.6449
GLOBAL,PWRGEOPHLXX01,2034,4286.8468
GLOBAL,PWROTHPHLXX01,2050,24219.207
GLOBAL,PWROTHPHLXX01,2051,2287.3502
GLOBAL,PWROTHPHLXX01,2052,2286.819
GLOBAL,PWROTHPHLXX01,2053,2287.0846
GLOBAL,LNDTOMHRTOT,2020,183.27567
GLOBAL,LNDTOMHRTOT,2021,2.7123333
GLOBAL,LNDTOMHRTOT,2022,2.7123333
GLOBAL,LNDTOMHRTOT,2023,2.7123333
GLOBAL,LNDTOMHRTOT,2024,2.7126667
GLOBAL,LNDTOMHRTOT,2025,2.7123333
GLOBAL,LNDTOMHRTOT,2026,2.5166667
GLOBAL,LNDTOMHRTOT,2027,2.517
GLOBAL,LNDTOMHRTOT,2028,2.5166667
GLOBAL,LNDTOMHRTOT,2029,2.5166667
GLOBAL,LNDTOMHRTOT,2030,2.5166667
GLOBAL,LNDTOMHRTOT,2031,2.3276667
GLOBAL,LNDTOMHRTOT,2032,2.3273333
GLOBAL,LNDTOMHRTOT,2033,2.3273333
GLOBAL,LNDTOMHRTOT,2034,2.3273333
GLOBAL,LNDTOMHRTOT,2035,185.603
GLOBAL,LNDTOMHRTOT,2036,4.8163333
GLOBAL,LNDTOMHRTOT,2037,4.816
GLOBAL,LNDTOMHRTOT,2038,4.816
GLOBAL,LNDTOMHRTOT,2039,4.8163333
GLOBAL,LNDTOMHRTOT,2040,4.816
GLOBAL,LNDTOMHRTOT,2041,4.388
GLOBAL,LNDTOMHRTOT,2042,4.388
GLOBAL,LNDTOMHRTOT,2043,4.388
GLOBAL,LNDTOMHRTOT,2044,4.3876667
GLOBAL,LNDTOMHRTOT,2045,4.388
GLOBAL,LNDTOMHRTOT,2046,3.939
GLOBAL,LNDTOMHRTOT,2047,3.9386667
GLOBAL,LNDTOMHRTOT,2048,3.9383333
GLOBAL,LNDTOMHRTOT,2049,3.9386667
GLOBAL,LNDTOMHRTOT,2050,187.21433
GLOBAL,LNDTOMHRTOT,2051,4.8163333
GLOBAL,LNDTOMHRTOT,2052,4.816
GLOBAL,LNDTOMHRTOT,2053,4.816
GLOBAL,LNDSGCHRTOT,2020,332.71227
GLOBAL,LNDSGCHRTOT,2021,4.9240909
GLOBAL,LNDSGCHRTOT,2022,4.9240909
GLOBAL,LNDSGCHRTOT,2023,4.9240909
GLOBAL,LNDSGCHRTOT,2024,4.9240909
GLOBAL,LNDSGCHRTOT,2025,5.2616494
GLOBAL,LNDSGCHRTOT,2026,5.1290816
GLOBAL,LNDSGCHRTOT,2027,5.127551
GLOBAL,LNDSGCHRTOT,2028,5.1290816
GLOBAL,LNDSGCHRTOT,2029,5.127551
GLOBAL,LNDSGCHRTOT,2030,5.1290816
GLOBAL,LNDSGCHRTOT,2031,4.7418367
GLOBAL,LNDSGCHRTOT,2032,4.7433673
GLOBAL,LNDSGCHRTOT,2033,4.7418367
GLOBAL,LNDSGCHRTOT,2034,4.7418367
GLOBAL,LNDSGCHRTOT,2035,337.45564
GLOBAL,LNDSGCHRTOT,2036,9.2098052
GLOBAL,LNDSGCHRTOT,2037,9.2113358
GLOBAL,LNDSGCHRTOT,2038,9.2113358
GLOBAL,LNDSGCHRTOT,2039,9.2098052
GLOBAL,LNDSGCHRTOT,2040,9.5488942
GLOBAL,LNDSGCHRTOT,2041,8.9418367
GLOBAL,LNDSGCHRTOT,2042,8.9403061
GLOBAL,LNDSGCHRTOT,2043,8.9418367
