REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S1D1,ELCPHLXX02,2020,257.5638
GLOBAL,S1D2,ELCPHLXX02,2020,219.4062
GLOBAL,S2D1,ELCPHLXX02,2020,257.5638
GLOBAL,S2D2,ELCPHLXX02,2020,219.4062
GLOBAL,S1D1,ELCPHLXX02,2021,267.3405
GLOBAL,S1D2,ELCPHLXX02,2021,227.7345
GLOBAL,S2D1,ELCPHLXX02,2021,267.3405
GLOBAL,S2D2,ELCPHLXX02,2021,227.7345
GLOBAL,S1D1,ELCPHLXX02,2022,277.1145
GLOBAL,S1D2,ELCPHLXX02,2022,236.0605
GLOBAL,S2D1,ELCPHLXX02,2022,277.1145
GLOBAL,S2D2,ELCPHLXX02,2022,236.0605
GLOBAL,S1D1,ELCPHLXX02,2023,286.8912
GLOBAL,S1D2,ELCPHLXX02,2023,244.3888
GLOBAL,S2D1,ELCPHLXX02,2023,286.8912
GLOBAL,S2D2,ELCPHLXX02,2023,244.3888
GLOBAL,S1D1,ELCPHLXX02,2024,296.66790000000003
GLOBAL,S1D2,ELCPHLXX02,2024,252.71710000000002
GLOBAL,S2D1,ELCPHLXX02,2024,296.66790000000003
GLOBAL,S2D2,ELCPHLXX02,2024,252.71710000000002
GLOBAL,S1D1,ELCPHLXX02,2025,306.44190000000003
GLOBAL,S1D2,ELCPHLXX02,2025,261.04310000000004
GLOBAL,S2D1,ELCPHLXX02,2025,306.44190000000003
GLOBAL,S2D2,ELCPHLXX02,2025,261.04310000000004
GLOBAL,S1D1,ELCPHLXX02,2026,316.28610000000003
GLOBAL,S1D2,ELCPHLXX02,2026,269.4289
GLOBAL,S2D1,ELCPHLXX02,2026,316.28610000000003
GLOBAL,S2D2,ELCPHLXX02,2026,269.4289
GLOBAL,S1D1,ELCPHLXX02,2027,326.12760000000003
GLOBAL,S1D2,ELCPHLXX02,2027,277.8124
GLOBAL,S2D1,ELCPHLXX02,2027,326.12760000000003
GLOBAL,S2D2,ELCPHLXX02,2027,277.8124
GLOBAL,S1D1,ELCPHLXX02,2028,335.9691
GLOBAL,S1D2,ELCPHLXX02,2028,286.1959
GLOBAL,S2D1,ELCPHLXX02,2028,335.9691
GLOBAL,S2D2,ELCPHLXX02,2028,286.1959
GLOBAL,S1D1,ELCPHLXX02,2029,345.8133
GLOBAL,S1D2,ELCPHLXX02,2029,294.5817
GLOBAL,S2D1,ELCPHLXX02,2029,345.8133
