REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOPHLXX01,2035,360.76308
GLOBAL,PWRBIOPHLXX01,2036,399.38771
GLOBAL,PWRBIOPHLXX01,2037,417.67221
GLOBAL,PWRBIOPHLXX01,2038,434.10018
GLOBAL,PWRBIOPHLXX01,2039,448.87281
GLOBAL,PWRBIOPHLXX01,2040,476.9799
GLOBAL,PWRBIOPHLXX01,2041,534.23211
GLOBAL,PWRBIOPHLXX01,2042,554.05047
GLOBAL,PWRBIOPHLXX01,2043,572.80704
GLOBAL,PWRBIOPHLXX01,2044,590.53343
GLOBAL,PWRBIOPHLXX01,2045,656.25902
GLOBAL,PWRBIOPHLXX01,2046,665.70978
GLOBAL,PWRBIOPHLXX01,2047,706.26108
GLOBAL,PWRBIOPHLXX01,2048,701.82777
GLOBAL,PWRBIOPHLXX01,2049,712.94648
GLOBAL,PWRGEOPHLXX01,2025,51.441897
GLOBAL,PWRGEOPHLXX01,2026,252.25112
GLOBAL,PWRGEOPHLXX01,2027,148.10934
GLOBAL,PWRGEOPHLXX01,2028,192.85367
GLOBAL,PWRGEOPHLXX01,2029,235.53192
GLOBAL,PWRGEOPHLXX01,2030,276.05175
GLOBAL,PWRGEOPHLXX01,2031,315.53743
GLOBAL,PWRGEOPHLXX01,2032,377.66747
GLOBAL,PWRGEOPHLXX01,2033,380.63409
GLOBAL,PWRGEOPHLXX01,2034,409.89589
GLOBAL,PWROTHPHLXX01,2050,4311.1595
GLOBAL,PWROTHPHLXX01,2051,414.74812
GLOBAL,PWROTHPHLXX01,2052,421.87539
GLOBAL,PWROTHPHLXX01,2053,428.80478
GLOBAL,LNDTOMHRTOT,2040,0.084115875
GLOBAL,LNDTOMHRTOT,2041,0.14963138
GLOBAL,LNDTOMHRTOT,2042,0.21914653
GLOBAL,LNDTOMHRTOT,2043,0.28535144
GLOBAL,LNDTOMHRTOT,2044,0.34837727
GLOBAL,LNDTOMHRTOT,2045,0.40845355
GLOBAL,LNDTOMHRTOT,2046,0.41799706
GLOBAL,LNDTOMHRTOT,2047,0.46685119
GLOBAL,LNDTOMHRTOT,2048,0.51336917
GLOBAL,LNDTOMHRTOT,2049,0.55775684
GLOBAL,LNDTOMHRTOT,2050,28.518946
GLOBAL,LNDTOMHRTOT,2051,0.78287135
GLOBAL,LNDTOMHRTOT,2052,0.82965604
GLOBAL,LNDTOMHRTOT,2053,0.87426448
GLOBAL,LNDSGCHRTOT,2040,0.16678023
GLOBAL,LNDSGCHRTOT,2041,0.30491781
GLOBAL,LNDSGCHRTOT,2042,0.44649888
GLOBAL,LNDSGCHRTOT,2043,0.58148724
GLOBAL,LNDSGCHRTOT,2044,0.70985326
GLOBAL,LNDSGCHRTOT,2045,0.83234388
GLOBAL,LNDSGCHRTOT,2046,0.85159339
GLOBAL,LNDSGCHRTOT,2047,0.95751203
GLOBAL,LNDSGCHRTOT,2048,1.0605549
GLOBAL,LNDSGCHRTOT,2049,1.1521566
GLOBAL,LNDSGCHRTOT,2050,51.922732
GLOBAL,LNDSGCHRTOT,2051,1.4970086
GLOBAL,LNDSGCHRTOT,2052,1.5868439
GLOBAL,LNDSGCHRTOT,2053,1.6721644
GLOBAL,LNDMZEHRTOT,2040,0.067343751
GLOBAL,LNDMZEHRTOT,2041,0.11972844
GLOBAL,LNDMZEHRTOT,2042,0.17545069
GLOBAL,LNDMZEHRTOT,2043,0.22844318
GLOBAL,LNDMZEHRTOT,2044,0.27893517
GLOBAL,LNDMZEHRTOT,2045,0.32699476
GLOBAL,LNDMZEHRTOT,2046,0.33465386
GLOBAL,LNDMZEHRTOT,2047,0.37358453
GLOBAL,LNDMZEHRTOT,2048,0.41105603
GLOBAL,LNDMZEHRTOT,2049,0.44658515
GLOBAL,LNDMZEHRTOT,2050,22.830836
GLOBAL,LNDMZEHRTOT,2051,0.62667009
GLOBAL,LNDMZEHRTOT,2052,0.66419723
GLOBAL,LNDMZEHRTOT,2053,0.699975
GLOBAL,LNDCONHRTOT,2040,0.22176352
GLOBAL,LNDCONHRTOT,2041,0.39464007
GLOBAL,LNDCONHRTOT,2042,0.57781389
GLOBAL,LNDCONHRTOT,2043,0.75259024
GLOBAL,LNDCONHRTOT,2044,0.91862066
GLOBAL,LNDCONHRTOT,2045,1.0772615
GLOBAL,LNDCONHRTOT,2046,1.1021014
GLOBAL,LNDCONHRTOT,2047,1.2310155
GLOBAL,LNDCONHRTOT,2048,1.3537909
GLOBAL,LNDCONHRTOT,2049,1.4711919
GLOBAL,LNDCONHRTOT,2050,72.448459
GLOBAL,LNDCONHRTOT,2051,2.0643651
GLOBAL,LNDCONHRTOT,2052,2.1873094
GLOBAL,LNDCONHRTOT,2053,2.3061255
GLOBAL,LNDRCPHRTOT,2040,0.16810556
GLOBAL,LNDRCPHRTOT,2041,0.29913317
GLOBAL,LNDRCPHRTOT,2042,0.43810328
GLOBAL,LNDRCPHRTOT,2043,0.57890046
GLOBAL,LNDRCPHRTOT,2044,0.70696517
GLOBAL,LNDRCPHRTOT,2045,0.82864114
GLOBAL,LNDRCPHRTOT,2046,0.84812977
GLOBAL,LNDRCPHRTOT,2047,0.95483101
GLOBAL,LNDRCPHRTOT,2048,1.059311
GLOBAL,LNDRCPHRTOT,2049,1.1508074
GLOBAL,LNDRCPHRTOT,2050,55.828578
GLOBAL,LNDRCPHRTOT,2051,1.5644613
GLOBAL,LNDRCPHRTOT,2052,1.6587134
GLOBAL,LNDRCPHRTOT,2053,1.7475578
GLOBAL,LNDOTHHRTOT,2040,0.10813682
GLOBAL,LNDOTHHRTOT,2041,0.19027873
GLOBAL,LNDOTHHRTOT,2042,0.27867768
GLOBAL,LNDOTHHRTOT,2043,0.36286715
GLOBAL,LNDOTHHRTOT,2044,0.4430476
GLOBAL,LNDOTHHRTOT,2045,0.51940993
GLOBAL,LNDOTHHRTOT,2046,0.53140407
GLOBAL,LNDOTHHRTOT,2047,0.5938366
GLOBAL,LNDOTHHRTOT,2048,0.65276212
GLOBAL,LNDOTHHRTOT,2049,0.70946896
GLOBAL,LNDOTHHRTOT,2050,36.163938
GLOBAL,LNDOTHHRTOT,2051,1.0205286
GLOBAL,LNDOTHHRTOT,2052,1.0807955
GLOBAL,LNDOTHHRTOT,2053,1.139326
