REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2020,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2021,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2022,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2023,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2024,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2025,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2026,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2027,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2028,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2029,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2030,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2031,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2032,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2033,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2034,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2035,0.5221038088
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2036,0.5221038088
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2037,0.5221038088
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2038,0.5221038088
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2039,0.5221038088
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2040,0.5221038088
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2041,0.5221038088
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2042,0.5221038088
