REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S2D2,MINOTHINT,1,2050,225.43242
GLOBAL,S2D1,MINOTHINT,1,2050,1139.9656
GLOBAL,S1D2,MINOTHINT,1,2050,1139.9656
GLOBAL,S1D1,MINOTHINT,1,2050,1139.9656
GLOBAL,S2D2,MINOTHINT,1,2051,389.66067
GLOBAL,S2D1,MINOTHINT,1,2051,1247.6281
GLOBAL,S1D2,MINOTHINT,1,2051,1105.4887
GLOBAL,S1D1,MINOTHINT,1,2051,1247.6281
GLOBAL,S2D2,MINOTHINT,1,2052,1355.2656
GLOBAL,S2D1,MINOTHINT,1,2052,587.68666
GLOBAL,S1D2,MINOTHINT,1,2052,1355.2656
GLOBAL,S1D1,MINOTHINT,1,2052,1037.3729
GLOBAL,S2D2,MINOTHINT,1,2053,1462.9156
GLOBAL,S2D1,MINOTHINT,1,2053,681.97414
GLOBAL,S1D2,MINOTHINT,1,2053,1072.4313
GLOBAL,S1D1,MINOTHINT,1,2053,1462.9156
GLOBAL,S1D1,LNDAGRPHLC01,27,2020,36.344236
GLOBAL,S1D1,LNDAGRPHLC01,27,2021,36.344236
GLOBAL,S2D1,LNDAGRPHLC01,27,2022,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2023,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2024,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2025,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2026,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2027,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2028,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2029,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2030,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2031,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2032,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2033,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2034,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2035,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2036,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2037,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2038,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2039,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2040,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2041,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2042,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2043,36.548335
GLOBAL,S2D2,LNDAGRPHLC01,27,2044,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2045,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2046,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2047,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2048,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2049,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2050,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2051,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2052,36.548335
GLOBAL,S2D1,LNDAGRPHLC01,27,2053,36.548335
GLOBAL,S2D1,LNDAGRPHLC03,27,2020,354.92026
GLOBAL,S2D1,LNDAGRPHLC03,27,2021,350.78654
GLOBAL,S1D1,LNDAGRPHLC03,27,2022,344.71737
GLOBAL,S1D1,LNDAGRPHLC03,27,2023,340.60673
GLOBAL,S1D1,LNDAGRPHLC03,27,2024,336.4955
GLOBAL,S1D1,LNDAGRPHLC03,27,2025,332.38575
GLOBAL,S1D1,LNDAGRPHLC03,27,2026,328.5714
GLOBAL,S1D1,LNDAGRPHLC03,27,2027,324.75696
GLOBAL,S1D1,LNDAGRPHLC03,27,2028,320.38727
GLOBAL,S1D1,LNDAGRPHLC03,27,2029,316.01703
GLOBAL,S1D1,LNDAGRPHLC03,27,2030,311.64734
GLOBAL,S1D1,LNDAGRPHLC03,27,2031,307.60587
GLOBAL,S1D1,LNDAGRPHLC03,27,2032,303.565
GLOBAL,S1D1,LNDAGRPHLC03,27,2033,299.52417
GLOBAL,S1D1,LNDAGRPHLC03,27,2034,295.48241
GLOBAL,S1D1,LNDAGRPHLC03,27,2035,287.57942
GLOBAL,S1D1,LNDAGRPHLC03,27,2036,284.39188
GLOBAL,S1D1,LNDAGRPHLC03,27,2037,281.20393
GLOBAL,S1D1,LNDAGRPHLC03,27,2038,278.01509
GLOBAL,S2D2,LNDAGRPHLC03,27,2039,276.3705
GLOBAL,S1D1,LNDAGRPHLC03,27,2040,271.63969
GLOBAL,S1D1,LNDAGRPHLC03,27,2041,268.80343
GLOBAL,S1D1,LNDAGRPHLC03,27,2042,265.96813
GLOBAL,S1D1,LNDAGRPHLC03,27,2043,262.71853
GLOBAL,S1D1,LNDAGRPHLC03,27,2044,259.46989
GLOBAL,S1D1,LNDAGRPHLC03,27,2045,256.22028
GLOBAL,S1D1,LNDAGRPHLC03,27,2046,253.42255
GLOBAL,S1D1,LNDAGRPHLC03,27,2047,249.93463
