REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2020,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2021,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2022,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2023,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2024,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2025,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2026,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2027,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2028,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2029,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2030,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2031,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2032,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2033,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2034,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2035,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2036,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2037,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2038,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2039,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2040,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2041,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2042,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2043,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2044,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2045,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,AGRWATPHL,2046,2.082584
