REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2020,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2021,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2022,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2023,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2024,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2025,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2026,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2027,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2028,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2029,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2030,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2031,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2032,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2033,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2034,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2035,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2036,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2037,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2038,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2039,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2040,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2041,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2042,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2043,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2044,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2045,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2046,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2047,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2048,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2049,2.082584
GLOBAL,S1D1,LNDAGRPHLC01,LFORTOT,2020,36.344236
GLOBAL,S1D1,LNDAGRPHLC01,LFORTOT,2021,36.344236
GLOBAL,S1D1,LNDAGRPHLC01,WTRPRCPHL,2020,87.2261664
GLOBAL,S1D1,LNDAGRPHLC01,WTRPRCPHL,2021,87.2261664
GLOBAL,S1D1,LNDAGRPHLC02,LOTHHRTOT,2021,4.5046234
GLOBAL,S1D1,LNDAGRPHLC02,LOTHHRTOT,2022,3.1951989
GLOBAL,S1D1,LNDAGRPHLC02,LOTHHRTOT,2024,0.57634986
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2020,22.180818
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2021,22.509091
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2022,22.837364
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2023,23.165636
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2024,23.493909
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2025,23.844686
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2026,24.186624
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2027,24.528461
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2028,24.8704
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2029,25.212237
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2030,25.554176
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2031,25.870298
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2032,16.022492
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2033,26.502645
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2034,26.818767
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2035,27.134992
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2036,27.420706
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2037,27.706522
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2038,27.992339
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2039,28.278053
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2040,28.563869
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2041,28.818053
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2042,29.072237
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2043,29.32642
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2044,29.580604
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2045,29.834788
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2046,30.053665
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2047,30.275988
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2048,30.502272
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2049,6.015567
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2050,1.7707985
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2051,30.954839
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2052,30.954839
GLOBAL,S1D1,LNDAGRPHLC02,LSGCHRTOT,2053,30.954839
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2020,55.452045
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2021,67.53428600000001
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2022,65.08140725000001
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2023,57.91409
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2024,60.175647149999996
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2025,59.611715
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2026,60.466559999999994
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2027,61.3211525
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2028,62.176
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2029,63.0305925
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2030,63.885439999999996
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2031,64.67574499999999
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2032,40.05623
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2033,66.2566125
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2034,67.0469175
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2035,67.83748
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2036,68.551765
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2037,69.266305
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2038,69.98084750000001
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2039,70.6951325
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2040,71.4096725
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2041,72.0451325
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2042,72.6805925
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2043,73.31604999999999
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2044,73.95151
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2045,74.58697
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2046,75.1341625
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2047,75.68997
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2048,76.25568
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2049,15.0389175
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2050,4.42699625
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2051,77.3870975
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2052,77.3870975
GLOBAL,S1D1,LNDAGRPHLC02,WTRPRCPHL,2053,77.3870975
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2020,17.066906
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2021,18.992629
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2022,20.917466
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2023,22.843184
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2024,24.768907
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2027,30.266883
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2029,33.840027
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2035,37.656063
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2036,38.02582
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2037,38.395577
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2038,38.765557
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2039,39.135314
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2040,39.505071
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2041,39.83414
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2042,40.162986
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2043,40.492054
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2044,40.8209
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2045,41.149968
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2046,41.433234
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2047,41.7165
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2048,41.999765
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2049,42.283031
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2050,42.566296
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2051,42.566296
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2052,42.566296
GLOBAL,S1D1,LNDAGRPHLC03,LCONHRTOT,2053,42.566296
GLOBAL,S1D1,LNDAGRPHLC03,LFORTOT,2022,344.71737
