REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2020,S2D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2020,S2D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2020,S1D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2020,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2021,S2D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2021,S2D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2021,S1D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2021,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2022,S2D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2022,S2D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2022,S1D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2022,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2023,S2D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2023,S2D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2023,S1D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2023,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2024,S2D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2024,S2D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2024,S1D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2024,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2025,S2D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2025,S2D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2025,S1D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2025,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2026,S2D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2026,S2D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2026,S1D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2026,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2027,S2D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2027,S2D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2027,S1D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2027,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2028,S2D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2028,S2D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2028,S1D2,2.6109053
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2028,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2029,S2D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2029,S2D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2029,S1D2,2.460881
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2029,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2030,S2D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2030,S2D1,2.3083429
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2030,S1D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2030,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2031,S2D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2031,S2D1,2.1688293
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2031,S1D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2031,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2032,S2D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2032,S2D1,2.0293158
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2032,S1D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2032,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2033,S2D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2033,S2D1,1.8898158
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2033,S1D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2033,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2034,S2D2,1.7503023
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2034,S2D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2034,S1D2,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2034,S1D1,2.7609161
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2035,S2D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2035,S2D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2035,S1D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2035,S1D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2036,S2D2,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2036,S2D1,2.082584
GLOBAL,DEMAGRSURPHL,WTRSURPHL,1,2036,S1D2,2.082584
