REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOPHLXX01,2035,1895.214
GLOBAL,PWRBIOPHLXX01,2036,2098.1226
GLOBAL,PWRBIOPHLXX01,2037,2194.1774
GLOBAL,PWRBIOPHLXX01,2038,2280.4793
GLOBAL,PWRBIOPHLXX01,2039,2358.0851
GLOBAL,PWRBIOPHLXX01,2040,2505.7414
GLOBAL,PWRBIOPHLXX01,2041,2806.5072
GLOBAL,PWRBIOPHLXX01,2042,2910.6199
GLOBAL,PWRBIOPHLXX01,2043,3009.1547
GLOBAL,PWRBIOPHLXX01,2044,3102.2776
GLOBAL,PWRBIOPHLXX01,2045,3447.557
GLOBAL,PWRBIOPHLXX01,2046,3497.2051
GLOBAL,PWRBIOPHLXX01,2047,3710.2352
GLOBAL,PWRBIOPHLXX01,2048,3686.9455
GLOBAL,PWRBIOPHLXX01,2049,3745.356
GLOBAL,PWRGEOPHLXX01,2025,270.24218
GLOBAL,PWRGEOPHLXX01,2026,1325.1629
GLOBAL,PWRGEOPHLXX01,2027,778.06988
GLOBAL,PWRGEOPHLXX01,2028,1013.1274
GLOBAL,PWRGEOPHLXX01,2029,1237.3311
GLOBAL,PWRGEOPHLXX01,2030,1450.1959
GLOBAL,PWRGEOPHLXX01,2031,1657.6279
GLOBAL,PWRGEOPHLXX01,2032,1984.0187
GLOBAL,PWRGEOPHLXX01,2033,1999.6033
GLOBAL,PWRGEOPHLXX01,2034,2153.3257
GLOBAL,PWROTHPHLXX01,2050,22648.021
GLOBAL,PWROTHPHLXX01,2051,2178.8162
GLOBAL,PWROTHPHLXX01,2052,2216.2582
GLOBAL,PWROTHPHLXX01,2053,2252.6607
GLOBAL,LNDTOMHRTOT,2040,0.44188996
GLOBAL,LNDTOMHRTOT,2041,0.78606568
GLOBAL,LNDTOMHRTOT,2042,1.151253
GLOBAL,LNDTOMHRTOT,2043,1.4990504
GLOBAL,LNDTOMHRTOT,2044,1.830147
GLOBAL,LNDTOMHRTOT,2045,2.1457486
GLOBAL,LNDTOMHRTOT,2046,2.195884
GLOBAL,LNDTOMHRTOT,2047,2.4525317
GLOBAL,LNDTOMHRTOT,2048,2.6969069
GLOBAL,LNDTOMHRTOT,2049,2.9300907
GLOBAL,LNDTOMHRTOT,2050,149.81995
GLOBAL,LNDTOMHRTOT,2051,4.1126956
GLOBAL,LNDTOMHRTOT,2052,4.3584719
GLOBAL,LNDTOMHRTOT,2053,4.5928155
GLOBAL,LNDSGCHRTOT,2040,0.87615459
GLOBAL,LNDSGCHRTOT,2041,1.6018393
GLOBAL,LNDSGCHRTOT,2042,2.345614
GLOBAL,LNDSGCHRTOT,2043,3.0547548
GLOBAL,LNDSGCHRTOT,2044,3.7291062
