REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINOTHINT,1,2050,911.97245
GLOBAL,MINOTHINT,1,2051,998.10245
GLOBAL,MINOTHINT,1,2052,1084.2124
GLOBAL,MINOTHINT,1,2053,1170.3324
GLOBAL,PWRBIOPHLXX01,1,2020,2.9911896
GLOBAL,PWRBIOPHLXX01,1,2021,2.9911896
GLOBAL,PWRBIOPHLXX01,1,2022,2.9911896
GLOBAL,PWRBIOPHLXX01,1,2023,2.9911896
GLOBAL,PWRBIOPHLXX01,1,2024,2.9911896
GLOBAL,PWRBIOPHLXX01,1,2025,2.9911896
GLOBAL,PWRBIOPHLXX01,1,2026,2.9911896
GLOBAL,PWRBIOPHLXX01,1,2027,2.9911896
GLOBAL,PWRBIOPHLXX01,1,2028,2.9911896
GLOBAL,PWRBIOPHLXX01,1,2029,2.9911896
GLOBAL,PWRBIOPHLXX01,1,2030,2.9911896
GLOBAL,PWRBIOPHLXX01,1,2031,2.9911896
GLOBAL,PWRBIOPHLXX01,1,2035,36.87
GLOBAL,PWRBIOPHLXX01,1,2036,75.64
GLOBAL,PWRBIOPHLXX01,1,2037,114.42
GLOBAL,PWRBIOPHLXX01,1,2038,153.2
GLOBAL,PWRBIOPHLXX01,1,2039,191.98
GLOBAL,PWRBIOPHLXX01,1,2040,232.01022
GLOBAL,PWRBIOPHLXX01,1,2041,275.11022
GLOBAL,PWRBIOPHLXX01,1,2042,318.22022
GLOBAL,PWRBIOPHLXX01,1,2043,361.33022
GLOBAL,PWRBIOPHLXX01,1,2044,404.43022
GLOBAL,PWRBIOPHLXX01,1,2045,450.98627
GLOBAL,PWRBIOPHLXX01,1,2046,496.98627
GLOBAL,PWRBIOPHLXX01,1,2047,544.6104
GLOBAL,PWRBIOPHLXX01,1,2048,590.87216
GLOBAL,PWRBIOPHLXX01,1,2049,636.88216
GLOBAL,PWRBIOPHLXX01,1,2050,636.88216
GLOBAL,PWRBIOPHLXX01,1,2051,636.88216
GLOBAL,PWRBIOPHLXX01,1,2052,636.88216
GLOBAL,PWRBIOPHLXX01,1,2053,636.88216
GLOBAL,PWRGEOPHLXX01,1,2020,920.4326
GLOBAL,PWRGEOPHLXX01,1,2021,956.6426
GLOBAL,PWRGEOPHLXX01,1,2022,992.8426
GLOBAL,PWRGEOPHLXX01,1,2023,1029.0526
GLOBAL,PWRGEOPHLXX01,1,2024,1065.2626
GLOBAL,PWRGEOPHLXX01,1,2025,1101.4626
GLOBAL,PWRGEOPHLXX01,1,2026,1137.9226
GLOBAL,PWRGEOPHLXX01,1,2027,1174.3726
GLOBAL,PWRGEOPHLXX01,1,2028,1210.8226
GLOBAL,PWRGEOPHLXX01,1,2029,1247.2826
GLOBAL,PWRGEOPHLXX01,1,2030,1283.7326
GLOBAL,PWRGEOPHLXX01,1,2031,1320.6026
GLOBAL,PWRGEOPHLXX01,1,2032,1360.4638
GLOBAL,PWRGEOPHLXX01,1,2033,1397.3238
GLOBAL,PWRGEOPHLXX01,1,2034,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2035,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2036,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2037,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2038,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2039,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2040,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2041,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2042,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2043,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2044,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2045,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2046,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2047,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2048,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2049,1434.1938
GLOBAL,PWRGEOPHLXX01,1,2050,568.22134
GLOBAL,PWRGEOPHLXX01,1,2051,532.01134
GLOBAL,PWRGEOPHLXX01,1,2052,495.81134
GLOBAL,PWRGEOPHLXX01,1,2053,459.60134
GLOBAL,PWRHYDPHLXX01,1,2020,27.035648
GLOBAL,PWRHYDPHLXX01,1,2021,27.035648
GLOBAL,PWRHYDPHLXX01,1,2022,27.035648
GLOBAL,PWRHYDPHLXX01,1,2023,27.035648
GLOBAL,PWRHYDPHLXX01,1,2024,27.035648
GLOBAL,PWRHYDPHLXX01,1,2025,27.035648
GLOBAL,PWRHYDPHLXX01,1,2026,27.035648
GLOBAL,PWRHYDPHLXX01,1,2027,27.035648
GLOBAL,PWRHYDPHLXX01,1,2028,27.035648
GLOBAL,PWRHYDPHLXX01,1,2029,27.035648
GLOBAL,PWRHYDPHLXX01,1,2030,27.035648
GLOBAL,PWRHYDPHLXX01,1,2031,27.035648
GLOBAL,PWRHYDPHLXX01,1,2032,27.035648
GLOBAL,PWRHYDPHLXX01,1,2033,27.035648
GLOBAL,PWRHYDPHLXX01,1,2034,27.035648
GLOBAL,PWRHYDPHLXX01,1,2035,27.035648
GLOBAL,PWRHYDPHLXX01,1,2036,27.035648
GLOBAL,PWRHYDPHLXX01,1,2037,27.035648
GLOBAL,PWRHYDPHLXX01,1,2038,27.035648
GLOBAL,PWRHYDPHLXX01,1,2039,27.035648
GLOBAL,PWRHYDPHLXX01,1,2040,27.035648
GLOBAL,PWRHYDPHLXX01,1,2041,27.035648
GLOBAL,PWRHYDPHLXX01,1,2042,27.035648
GLOBAL,PWRHYDPHLXX01,1,2043,27.035648
GLOBAL,PWRHYDPHLXX01,1,2044,27.035648
GLOBAL,PWRHYDPHLXX01,1,2045,23.944059
GLOBAL,PWRHYDPHLXX01,1,2046,23.944059
GLOBAL,PWRHYDPHLXX01,1,2047,23.944059
GLOBAL,PWRHYDPHLXX01,1,2048,23.944059
GLOBAL,PWRHYDPHLXX01,1,2049,23.944059
GLOBAL,PWRHYDPHLXX01,1,2050,23.944059
GLOBAL,PWRHYDPHLXX01,1,2051,23.944059
GLOBAL,PWRHYDPHLXX01,1,2052,23.944059
GLOBAL,PWRHYDPHLXX01,1,2053,23.944059
GLOBAL,PWROTHPHLXX01,2,2050,911.97245
GLOBAL,PWROTHPHLXX01,2,2051,998.10245
GLOBAL,PWROTHPHLXX01,2,2052,1084.2124
GLOBAL,PWROTHPHLXX01,2,2053,1170.3324
GLOBAL,PWRSPVPHLXX01,1,2020,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2021,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2022,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2023,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2024,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2025,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2026,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2027,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2028,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2029,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2030,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2031,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2032,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2033,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2034,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2035,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2036,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2037,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2038,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2039,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2040,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2041,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2042,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2043,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2044,2.2303417
GLOBAL,PWRSPVPHLXX01,1,2045,1.8758864
GLOBAL,PWRSPVPHLXX01,1,2046,1.8758864
GLOBAL,PWRSPVPHLXX01,1,2047,0.26175159
GLOBAL,PWRTRNPHLXX,1,2020,953.94
GLOBAL,PWRTRNPHLXX,1,2021,990.15
GLOBAL,PWRTRNPHLXX,1,2022,1026.35
GLOBAL,PWRTRNPHLXX,1,2023,1062.56
GLOBAL,PWRTRNPHLXX,1,2024,1098.77
GLOBAL,PWRTRNPHLXX,1,2025,1134.97
GLOBAL,PWRTRNPHLXX,1,2026,1171.43
GLOBAL,PWRTRNPHLXX,1,2027,1207.88
GLOBAL,PWRTRNPHLXX,1,2028,1244.33
GLOBAL,PWRTRNPHLXX,1,2029,1280.79
GLOBAL,PWRTRNPHLXX,1,2030,1317.24
GLOBAL,PWRTRNPHLXX,1,2031,1354.11
GLOBAL,PWRTRNPHLXX,1,2032,1390.98
GLOBAL,PWRTRNPHLXX,1,2033,1427.84
GLOBAL,PWRTRNPHLXX,1,2034,1464.71
GLOBAL,PWRTRNPHLXX,1,2035,1501.58
GLOBAL,PWRTRNPHLXX,1,2036,1540.35
GLOBAL,PWRTRNPHLXX,1,2037,1579.13
GLOBAL,PWRTRNPHLXX,1,2038,1617.91
GLOBAL,PWRTRNPHLXX,1,2039,1656.69
GLOBAL,PWRTRNPHLXX,1,2040,1695.47
GLOBAL,PWRTRNPHLXX,1,2041,1738.57
GLOBAL,PWRTRNPHLXX,1,2042,1781.68
GLOBAL,PWRTRNPHLXX,1,2043,1824.79
GLOBAL,PWRTRNPHLXX,1,2044,1867.89
GLOBAL,PWRTRNPHLXX,1,2045,1911.0
GLOBAL,PWRTRNPHLXX,1,2046,1957.0
GLOBAL,PWRTRNPHLXX,1,2047,2003.01
GLOBAL,PWRTRNPHLXX,1,2048,2049.01
GLOBAL,PWRTRNPHLXX,1,2049,2095.02
GLOBAL,PWRTRNPHLXX,1,2050,2141.02
GLOBAL,PWRTRNPHLXX,1,2051,2190.94
GLOBAL,PWRTRNPHLXX,1,2052,2240.85
GLOBAL,PWRTRNPHLXX,1,2053,2290.76
GLOBAL,PWRWONPHLXX01,1,2020,1.2502245
GLOBAL,PWRWONPHLXX01,1,2021,1.2502245
GLOBAL,PWRWONPHLXX01,1,2022,1.2502245
GLOBAL,PWRWONPHLXX01,1,2023,1.2502245
GLOBAL,PWRWONPHLXX01,1,2024,1.2502245
GLOBAL,PWRWONPHLXX01,1,2025,1.2502245
GLOBAL,PWRWONPHLXX01,1,2026,1.2502245
GLOBAL,PWRWONPHLXX01,1,2027,1.2502245
GLOBAL,PWRWONPHLXX01,1,2028,1.2502245
GLOBAL,PWRWONPHLXX01,1,2029,1.2502245
GLOBAL,PWRWONPHLXX01,1,2030,1.2502245
GLOBAL,PWRWONPHLXX01,1,2031,1.2502245
GLOBAL,PWRWONPHLXX01,1,2032,1.2502245
GLOBAL,PWRWONPHLXX01,1,2033,1.2502245
GLOBAL,PWRWONPHLXX01,1,2034,1.2502245
GLOBAL,PWRWONPHLXX01,1,2035,1.2502245
GLOBAL,PWRWONPHLXX01,1,2036,1.2502245
GLOBAL,PWRWONPHLXX01,1,2037,1.2502245
GLOBAL,PWRWONPHLXX01,1,2038,1.2502245
GLOBAL,PWRWONPHLXX01,1,2039,1.2502245
GLOBAL,RNWBIOPHLXX,1,2020,10.080309
GLOBAL,RNWBIOPHLXX,1,2021,10.080309
GLOBAL,RNWBIOPHLXX,1,2022,10.080309
GLOBAL,RNWBIOPHLXX,1,2023,10.080309
GLOBAL,RNWBIOPHLXX,1,2024,10.080309
GLOBAL,RNWBIOPHLXX,1,2025,10.080309
GLOBAL,RNWBIOPHLXX,1,2026,10.080309
GLOBAL,RNWBIOPHLXX,1,2027,10.080309
GLOBAL,RNWBIOPHLXX,1,2028,10.080309
GLOBAL,RNWBIOPHLXX,1,2029,10.080309
GLOBAL,RNWBIOPHLXX,1,2030,10.080309
GLOBAL,RNWBIOPHLXX,1,2031,10.080309
GLOBAL,RNWBIOPHLXX,1,2035,124.2519
GLOBAL,RNWBIOPHLXX,1,2036,254.9068
GLOBAL,RNWBIOPHLXX,1,2037,385.5954
GLOBAL,RNWBIOPHLXX,1,2038,516.284
GLOBAL,RNWBIOPHLXX,1,2039,646.9726
GLOBAL,RNWBIOPHLXX,1,2040,781.87446
GLOBAL,RNWBIOPHLXX,1,2041,927.12146
GLOBAL,RNWBIOPHLXX,1,2042,1072.4022
GLOBAL,RNWBIOPHLXX,1,2043,1217.6829
GLOBAL,RNWBIOPHLXX,1,2044,1362.9299
GLOBAL,RNWBIOPHLXX,1,2045,1519.8237
GLOBAL,RNWBIOPHLXX,1,2046,1674.8437
GLOBAL,RNWBIOPHLXX,1,2047,1835.3371
GLOBAL,RNWBIOPHLXX,1,2048,1991.2392
GLOBAL,RNWBIOPHLXX,1,2049,2146.2929
GLOBAL,RNWBIOPHLXX,1,2050,2146.2929
GLOBAL,RNWBIOPHLXX,1,2051,2146.2929
GLOBAL,RNWBIOPHLXX,1,2052,2146.2929
GLOBAL,RNWBIOPHLXX,1,2053,2146.2929
GLOBAL,RNWGEOPHLXX,1,2020,920.4326
GLOBAL,RNWGEOPHLXX,1,2021,956.6426
GLOBAL,RNWGEOPHLXX,1,2022,992.8426
GLOBAL,RNWGEOPHLXX,1,2023,1029.0526
GLOBAL,RNWGEOPHLXX,1,2024,1065.2626
GLOBAL,RNWGEOPHLXX,1,2025,1101.4626
GLOBAL,RNWGEOPHLXX,1,2026,1137.9226
GLOBAL,RNWGEOPHLXX,1,2027,1174.3726
GLOBAL,RNWGEOPHLXX,1,2028,1210.8226
GLOBAL,RNWGEOPHLXX,1,2029,1247.2826
GLOBAL,RNWGEOPHLXX,1,2030,1283.7326
GLOBAL,RNWGEOPHLXX,1,2031,1320.6026
GLOBAL,RNWGEOPHLXX,1,2032,1360.4638
GLOBAL,RNWGEOPHLXX,1,2033,1397.3238
GLOBAL,RNWGEOPHLXX,1,2034,1434.1938
GLOBAL,RNWGEOPHLXX,1,2035,1434.1938
GLOBAL,RNWGEOPHLXX,1,2036,1434.1938
GLOBAL,RNWGEOPHLXX,1,2037,1434.1938
GLOBAL,RNWGEOPHLXX,1,2038,1434.1938
GLOBAL,RNWGEOPHLXX,1,2039,1434.1938
GLOBAL,RNWGEOPHLXX,1,2040,1434.1938
GLOBAL,RNWGEOPHLXX,1,2041,1434.1938
GLOBAL,RNWGEOPHLXX,1,2042,1434.1938
GLOBAL,RNWGEOPHLXX,1,2043,1434.1938
GLOBAL,RNWGEOPHLXX,1,2044,1434.1938
GLOBAL,RNWGEOPHLXX,1,2045,1434.1938
GLOBAL,RNWGEOPHLXX,1,2046,1434.1938
GLOBAL,RNWGEOPHLXX,1,2047,1434.1938
GLOBAL,RNWGEOPHLXX,1,2048,1434.1938
GLOBAL,RNWGEOPHLXX,1,2049,1434.1938
GLOBAL,RNWGEOPHLXX,1,2050,568.22134
GLOBAL,RNWGEOPHLXX,1,2051,532.01134
GLOBAL,RNWGEOPHLXX,1,2052,495.81134
GLOBAL,RNWGEOPHLXX,1,2053,459.60134
GLOBAL,RNWHYDPHLXX,1,2020,27.035648
GLOBAL,RNWHYDPHLXX,1,2021,27.035648
GLOBAL,RNWHYDPHLXX,1,2022,27.035648
GLOBAL,RNWHYDPHLXX,1,2023,27.035648
GLOBAL,RNWHYDPHLXX,1,2024,27.035648
GLOBAL,RNWHYDPHLXX,1,2025,27.035648
GLOBAL,RNWHYDPHLXX,1,2026,27.035648
GLOBAL,RNWHYDPHLXX,1,2027,27.035648
GLOBAL,RNWHYDPHLXX,1,2028,27.035648
GLOBAL,RNWHYDPHLXX,1,2029,27.035648
GLOBAL,RNWHYDPHLXX,1,2030,27.035648
GLOBAL,RNWHYDPHLXX,1,2031,27.035648
GLOBAL,RNWHYDPHLXX,1,2032,27.035648
GLOBAL,RNWHYDPHLXX,1,2033,27.035648
GLOBAL,RNWHYDPHLXX,1,2034,27.035648
GLOBAL,RNWHYDPHLXX,1,2035,27.035648
GLOBAL,RNWHYDPHLXX,1,2036,27.035648
GLOBAL,RNWHYDPHLXX,1,2037,27.035648
GLOBAL,RNWHYDPHLXX,1,2038,27.035648
GLOBAL,RNWHYDPHLXX,1,2039,27.035648
GLOBAL,RNWHYDPHLXX,1,2040,27.035648
GLOBAL,RNWHYDPHLXX,1,2041,27.035648
GLOBAL,RNWHYDPHLXX,1,2042,27.035648
GLOBAL,RNWHYDPHLXX,1,2043,27.035648
GLOBAL,RNWHYDPHLXX,1,2044,27.035648
GLOBAL,RNWHYDPHLXX,1,2045,23.944059
GLOBAL,RNWHYDPHLXX,1,2046,23.944059
GLOBAL,RNWHYDPHLXX,1,2047,23.944059
GLOBAL,RNWHYDPHLXX,1,2048,23.944059
GLOBAL,RNWHYDPHLXX,1,2049,23.944059
GLOBAL,RNWHYDPHLXX,1,2050,23.944059
GLOBAL,RNWHYDPHLXX,1,2051,23.944059
