REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINOTHINT,2050,1139.9656
GLOBAL,MINOTHINT,2051,1247.6281
GLOBAL,MINOTHINT,2052,1355.2656
GLOBAL,MINOTHINT,2053,1462.9156
GLOBAL,PWRBIOPHLXX01,2020,0.1897
GLOBAL,PWRBIOPHLXX01,2021,0.1897
GLOBAL,PWRBIOPHLXX01,2022,0.1897
GLOBAL,PWRBIOPHLXX01,2023,0.1897
GLOBAL,PWRBIOPHLXX01,2024,0.1897
GLOBAL,PWRBIOPHLXX01,2025,0.1897
GLOBAL,PWRBIOPHLXX01,2026,0.1897
GLOBAL,PWRBIOPHLXX01,2027,0.1897
GLOBAL,PWRBIOPHLXX01,2028,0.1897
GLOBAL,PWRBIOPHLXX01,2029,0.1897
GLOBAL,PWRBIOPHLXX01,2030,0.1897
GLOBAL,PWRBIOPHLXX01,2031,0.1897
GLOBAL,PWRBIOPHLXX01,2035,2.3382801
GLOBAL,PWRBIOPHLXX01,2036,4.7970573
GLOBAL,PWRBIOPHLXX01,2037,7.2564688
GLOBAL,PWRBIOPHLXX01,2038,9.7158803
GLOBAL,PWRBIOPHLXX01,2039,12.175292
GLOBAL,PWRBIOPHLXX01,2040,14.713992
GLOBAL,PWRBIOPHLXX01,2041,17.447376
GLOBAL,PWRBIOPHLXX01,2042,20.181394
GLOBAL,PWRBIOPHLXX01,2043,22.915413
GLOBAL,PWRBIOPHLXX01,2044,25.648797
GLOBAL,PWRBIOPHLXX01,2045,28.601362
GLOBAL,PWRBIOPHLXX01,2046,31.518662
GLOBAL,PWRBIOPHLXX01,2047,34.538965
GLOBAL,PWRBIOPHLXX01,2048,37.472866
GLOBAL,PWRBIOPHLXX01,2049,40.390801
GLOBAL,PWRBIOPHLXX01,2050,40.390801
GLOBAL,PWRBIOPHLXX01,2051,40.390801
GLOBAL,PWRBIOPHLXX01,2052,40.390801
GLOBAL,PWRBIOPHLXX01,2053,40.390801
GLOBAL,PWRCCGPHLXX00,2020,4.2375
GLOBAL,PWRCCGPHLXX00,2021,4.2375
GLOBAL,PWRCCGPHLXX00,2022,4.2375
GLOBAL,PWRCCGPHLXX00,2023,4.2375
GLOBAL,PWRCCGPHLXX00,2024,4.2375
GLOBAL,PWRCCGPHLXX00,2025,0.45
GLOBAL,PWRCCGPHLXX00,2026,0.45
GLOBAL,PWRCCGPHLXX00,2027,0.45
GLOBAL,PWRCCGPHLXX00,2028,0.45
GLOBAL,PWRCCGPHLXX00,2029,0.45
GLOBAL,PWRCCGPHLXX00,2030,0.45
GLOBAL,PWRCCGPHLXX00,2031,0.45
GLOBAL,PWRCCGPHLXX00,2032,0.45
GLOBAL,PWRCCGPHLXX00,2033,0.45
GLOBAL,PWRCCGPHLXX00,2034,0.45
GLOBAL,PWRCCGPHLXX00,2035,0.45
GLOBAL,PWRCCGPHLXX00,2036,0.45
GLOBAL,PWRCCGPHLXX00,2037,0.45
GLOBAL,PWRCCGPHLXX00,2038,0.45
GLOBAL,PWRCCGPHLXX00,2039,0.45
GLOBAL,PWRCCGPHLXX00,2040,0.45
GLOBAL,PWRCCGPHLXX00,2041,0.45
GLOBAL,PWRCCGPHLXX00,2042,0.45
GLOBAL,PWRCCGPHLXX00,2043,0.45
GLOBAL,PWRCCGPHLXX00,2044,0.45
