REGION,YEAR,VALUE
GLOBAL,2020,106133.45
GLOBAL,2021,4417.6897
GLOBAL,2022,4472.4334
GLOBAL,2023,4529.6077
GLOBAL,2024,4585.5773
GLOBAL,2025,4543.5873
GLOBAL,2026,11190.765
GLOBAL,2027,4659.1912
GLOBAL,2028,4599.0035
GLOBAL,2029,4623.241
GLOBAL,2030,4620.2684
GLOBAL,2031,4650.2739
GLOBAL,2032,4985.2127
GLOBAL,2033,4630.0058
GLOBAL,2034,4631.0419
GLOBAL,2035,5689.8448
GLOBAL,2036,4156.2342
GLOBAL,2037,4194.9802
GLOBAL,2038,4199.6971
GLOBAL,2039,4242.9703
GLOBAL,2040,4389.0043
GLOBAL,2041,4778.0724
GLOBAL,2042,4899.4593
GLOBAL,2043,5020.1358
GLOBAL,2044,5112.2911
GLOBAL,2045,5533.1278
GLOBAL,2046,5605.4576
GLOBAL,2047,5787.3465
GLOBAL,2048,5757.497
GLOBAL,2049,5847.7007
GLOBAL,2050,43184.808
GLOBAL,2051,21046.951
GLOBAL,2052,22551.006
GLOBAL,2053,24056.037
