REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,DEMAGRSURPHL,2020,2.7609161
GLOBAL,DEMAGRSURPHL,2021,2.7609161
GLOBAL,DEMAGRSURPHL,2022,2.7609161
GLOBAL,DEMAGRSURPHL,2023,2.7609161
GLOBAL,DEMAGRSURPHL,2024,2.7609161
GLOBAL,DEMAGRSURPHL,2025,2.7609161
GLOBAL,DEMAGRSURPHL,2026,2.7609161
GLOBAL,DEMAGRSURPHL,2027,2.7609161
GLOBAL,DEMAGRSURPHL,2028,2.7233084
GLOBAL,DEMAGRSURPHL,2029,2.6856973
GLOBAL,DEMAGRSURPHL,2030,2.6480896
GLOBAL,DEMAGRSURPHL,2031,2.6133089
GLOBAL,DEMAGRSURPHL,2032,2.5785281
GLOBAL,DEMAGRSURPHL,2033,2.5437508
GLOBAL,DEMAGRSURPHL,2034,2.5089701
GLOBAL,DEMAGRSURPHL,2035,2.082584
GLOBAL,DEMAGRSURPHL,2036,2.082584
GLOBAL,DEMAGRSURPHL,2037,2.082584
GLOBAL,DEMAGRSURPHL,2038,2.082584
GLOBAL,DEMAGRSURPHL,2039,2.082584
GLOBAL,DEMAGRSURPHL,2040,2.082584
GLOBAL,DEMAGRSURPHL,2041,2.082584
GLOBAL,DEMAGRSURPHL,2042,2.082584
GLOBAL,DEMAGRSURPHL,2043,2.0546178
GLOBAL,DEMAGRSURPHL,2044,2.0266515
GLOBAL,DEMAGRSURPHL,2045,1.9986853
GLOBAL,DEMAGRSURPHL,2046,1.9745985
GLOBAL,DEMAGRSURPHL,2047,1.9505455
GLOBAL,DEMAGRSURPHL,2048,1.9264587
GLOBAL,DEMAGRSURPHL,2049,1.902372
GLOBAL,LNDAGRPHLC01,2020,9.1115
GLOBAL,LNDAGRPHLC01,2021,9.1115
GLOBAL,LNDAGRPHLC01,2022,9.1115
GLOBAL,LNDAGRPHLC01,2023,9.1115
GLOBAL,LNDAGRPHLC01,2024,9.1115
GLOBAL,LNDAGRPHLC01,2025,9.1115
GLOBAL,LNDAGRPHLC01,2026,9.1115
GLOBAL,LNDAGRPHLC01,2027,9.1115
GLOBAL,LNDAGRPHLC01,2028,9.1115
GLOBAL,LNDAGRPHLC01,2029,9.1115
GLOBAL,LNDAGRPHLC01,2030,9.1115
GLOBAL,LNDAGRPHLC01,2031,9.1115
GLOBAL,LNDAGRPHLC01,2032,9.1115
GLOBAL,LNDAGRPHLC01,2033,9.1115
GLOBAL,LNDAGRPHLC01,2034,9.1115
GLOBAL,LNDAGRPHLC01,2035,9.1115
GLOBAL,LNDAGRPHLC01,2036,9.1115
GLOBAL,LNDAGRPHLC01,2037,9.1115
GLOBAL,LNDAGRPHLC01,2038,9.1115
GLOBAL,LNDAGRPHLC01,2039,9.1115
GLOBAL,LNDAGRPHLC01,2040,9.1115
GLOBAL,LNDAGRPHLC01,2041,9.1115
GLOBAL,LNDAGRPHLC01,2042,9.1115
GLOBAL,LNDAGRPHLC01,2043,9.1115
GLOBAL,LNDAGRPHLC01,2044,9.1115
GLOBAL,LNDAGRPHLC01,2045,9.1115
GLOBAL,LNDAGRPHLC01,2046,9.1115
GLOBAL,LNDAGRPHLC01,2047,9.1115
GLOBAL,LNDAGRPHLC01,2048,9.1115
