REGION,TECHNOLOGY,VALUE
GLOBAL,DEMAGRSURPHL,70.8835833
GLOBAL,LNDAGRPHLC01,309.791
GLOBAL,LNDAGRPHLC02,805.17779981
GLOBAL,LNDAGRPHLC03,3509.3099905
GLOBAL,LNDAGRPHLC04,931.16479816
GLOBAL,LNDAGRPHLC05,924.1166
GLOBAL,LNDAGRPHLC06,636.034599348
GLOBAL,LNDAGRPHLC07,625.090000588
GLOBAL,LNDAGRPHLC08,2316.964
GLOBAL,LNDBLTTOT,31.681946
GLOBAL,LNDCONHRTOT,1285.035823
GLOBAL,LNDFORTOT,5251.53555
GLOBAL,LNDMZEHRTOT,402.5633621
GLOBAL,LNDOTHHRTOT,639.346454
GLOBAL,LNDRCPHITOT,191.190795
GLOBAL,LNDRCPHRTOT,772.219143
GLOBAL,LNDSGCHRTOT,926.870053
GLOBAL,LNDTOMHRTOT,502.860066
GLOBAL,LNDWATTOT,54.345600000000005
GLOBAL,MINLNDTOT,10057.648799999999
GLOBAL,MINOTHINT,4164.6197
GLOBAL,MINPRCPHL,24648.82972
GLOBAL,PWRBIOPHLXX01,7466.9712752
GLOBAL,PWRGEOPHLXX01,41200.96496
GLOBAL,PWRHYDPHLXX01,891.3877309999999
GLOBAL,PWROTHPHLXX01,4164.6197
GLOBAL,PWRSPVPHLXX01,59.77206689
GLOBAL,PWRTRNPHLXX,53808.72
GLOBAL,PWRWONPHLXX01,25.00449
GLOBAL,RNWBIOPHLXX,25163.693528
GLOBAL,RNWGEOPHLXX,41200.96496
GLOBAL,RNWHYDPHLXX,891.3877309999999
GLOBAL,RNWSPVPHLXX,59.77206689
GLOBAL,RNWWONPHLXX,25.00449
