REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2020,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2021,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2022,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2023,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2024,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2025,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2026,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2027,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2028,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2029,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2030,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2031,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2032,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2033,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2034,0.69216166627
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2035,0.5221038088
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2036,0.5221038088
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2037,0.5221038088
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2038,0.5221038088
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2039,0.5221038088
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2040,0.5221038088
GLOBAL,S1D1,DEMAGRSURPHL,WTRSURPHL,2041,0.5221038088
