Code,Name,GAEZ_name
ALF,Alfalfa,Alfalfa
ARE,Arecanut,Arecanut
BAN,Bananas,Banana
BAN,"Plantains and cooking bananas",Banana
BAN,"Other tropical fruits, n.e.c.",Banana
BAN,"Mangoes, guavas and mangosteens",Banana
BRL,Barley,Barley
BEA,"Beans, dry",Phaseolus bean
BMX,BMX,BMX
BUC,Buckwheat,Buckwheat
CAB,Cabbages,Cabbage
CRD,Cardamom,Cardamom
CAR,Carrots and turnips,Carrot
CAS,"Cassava, fresh",Cassava
CER,Cereals n.e.c.,Cereals
CHI,"Chick peas, dry",Chickpea
COC,Cocoa beans,Cocoa
CON,"Coconuts, in shell",Coconut
COF,"Coffee, green",Coffee
COW,"Cow peas, dry",Cowpea
RCD,Dryland rice,Dryland rice
FLA,"Flax, processed but not spun",Flax
MTF,Foxtail millet,Foxtail millet
FRU,Fruits,Fruits
FRU,"Other fruits, n.e.c.",Fruits
GRM,Gram,Gram
GRO,"Groundnuts, excluding shelled",Groundnut
JAT,Jatropha,Jatropha
MZE,Maize (corn),Maize
MIS,Miscanthus,Miscanthus
OAT,Oats,Oat
OIL,Oil palm fruit,Oil palm
OLI,Olives,Olive
ONI,Onions and shallots,Onion
CIT,"Other citrus fruit, n.e.c.",Citrus
SGB,Other sugar crops n.e.c.,Sugarbeet
MTP,Pears,Pearl millet
PEA,"Peas, dry",Dry pea
PIG,"Pigeon peas, dry",Pigeonpea
PTW,Potatoes,White potato
RAP,Rape or colza seed,Rapeseed
REE,Reed,Reed canary grass
RUB,Rubber,Para rubber
RUB,"Natural rubber in primary forms",Para rubber
RYE,Rye,Rye
COT,"Seed cotton, unginned",Cotton
SOR,Sorghum,Sorghum
SOY,Soya beans,Soybean
SGC,Sugar cane,Sugarcane
SUN,Sunflower seed,Sunflower
PTS,Sweet potatoes,Sweet potato
SWI,Switchgrass,Switchgrass
TEA,Tea leaves,Tea
YAM,Taro,Yam
TOM,Tomatoes,Tomato
TOB,Unmanufactured tobacco,Tobacco
VEG,Vegetables,Vegetables
TOM,"Other vegetables, fresh n.e.c.",Tomato
VEG,"Pepper (Piper spp.), raw",Vegetables
TEF,Warm C4,Warm C4
RCP,Rice,Wetland rice
WHE,Wheat,Wheat
YAM,Yams,Yam
YAM,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Yam
MLT,Millet,Millet
