REGION,TECHNOLOGY,VALUE
GLOBAL,PWROCGPHLXX00,30
GLOBAL,PWRCSPPHLXX01,30
GLOBAL,PWRCCGPHLXX00,30
GLOBAL,PWROILPHLXX01,30
GLOBAL,PWRGEOPHLXX01,30
GLOBAL,PWROTHPHLXX01,30
GLOBAL,PWRCCSPHLXX01,30
GLOBAL,PWRWAVPHLXX01,20
GLOBAL,PWRWASPHLXX01,30
GLOBAL,PWROCGPHLXX01,30
GLOBAL,PWRCOAPHLXX01,30
GLOBAL,PWRSPVPHLXX01,30
GLOBAL,PWRCOGPHLXX01,30
GLOBAL,PWRWONPHLXX01,30
GLOBAL,PWRCCGPHLXX01,30
GLOBAL,PWRURNPHLXX01,60
GLOBAL,PWRPETPHLXX01,30
GLOBAL,PWRBIOPHLXX01,30
GLOBAL,PWRHYDPHLXX01,100
GLOBAL,PWRWOFPHLXX01,30
GLOBAL,LNDTOMHRTOT,15
GLOBAL,LNDCONLITOT,15
GLOBAL,LNDSGCHRTOT,15
GLOBAL,LNDMZEHRTOT,15
GLOBAL,LNDTOMHITOT,15
GLOBAL,LNDSGCHITOT,15
GLOBAL,LNDMZELITOT,15
GLOBAL,LNDCONHRTOT,15
GLOBAL,LNDSGCLITOT,15
GLOBAL,LNDMZEHITOT,15
GLOBAL,LNDRCPHRTOT,15
GLOBAL,LNDTOMLRTOT,15
GLOBAL,LNDTOMLITOT,15
GLOBAL,LNDRCPLRTOT,15
GLOBAL,LNDMZELRTOT,15
GLOBAL,LNDCONHITOT,15
GLOBAL,LNDRCPLITOT,15
GLOBAL,LNDSGCLRTOT,15
GLOBAL,LNDRCPHITOT,15
GLOBAL,LNDCONLRTOT,15
GLOBAL,LNDOTHLITOT,15
GLOBAL,LNDOTHHITOT,15
GLOBAL,LNDOTHLRTOT,15
GLOBAL,LNDOTHHRTOT,15
