REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOPHLXX01,2020,0.1897
GLOBAL,PWRBIOPHLXX01,2021,0.1897
GLOBAL,PWRBIOPHLXX01,2022,0.1897
GLOBAL,PWRBIOPHLXX01,2023,0.1897
GLOBAL,PWRBIOPHLXX01,2024,0.1897
GLOBAL,PWRBIOPHLXX01,2025,0.1897
GLOBAL,PWRBIOPHLXX01,2026,0.1897
GLOBAL,PWRBIOPHLXX01,2027,0.1897
GLOBAL,PWRBIOPHLXX01,2028,0.1897
GLOBAL,PWRBIOPHLXX01,2029,0.1897
GLOBAL,PWRBIOPHLXX01,2030,0.1897
GLOBAL,PWRBIOPHLXX01,2031,0.1897
GLOBAL,PWRBIOPHLXX01,2032,0.0
GLOBAL,PWRBIOPHLXX01,2033,0.0
GLOBAL,PWRBIOPHLXX01,2034,0.0
GLOBAL,PWRBIOPHLXX01,2035,0.0
GLOBAL,PWRBIOPHLXX01,2036,0.0
GLOBAL,PWRBIOPHLXX01,2037,0.0
GLOBAL,PWRBIOPHLXX01,2038,0.0
GLOBAL,PWRBIOPHLXX01,2039,0.0
GLOBAL,PWRBIOPHLXX01,2040,0.0
GLOBAL,PWRBIOPHLXX01,2041,0.0
GLOBAL,PWRBIOPHLXX01,2042,0.0
GLOBAL,PWRBIOPHLXX01,2043,0.0
GLOBAL,PWRBIOPHLXX01,2044,0.0
GLOBAL,PWRBIOPHLXX01,2045,0.0
GLOBAL,PWRBIOPHLXX01,2046,0.0
GLOBAL,PWRBIOPHLXX01,2047,0.0
GLOBAL,PWRBIOPHLXX01,2048,0.0
GLOBAL,PWRBIOPHLXX01,2049,0.0
GLOBAL,PWRBIOPHLXX01,2050,0.0
GLOBAL,PWRBIOPHLXX01,2051,0.0
GLOBAL,PWRBIOPHLXX01,2052,0.0
GLOBAL,PWRBIOPHLXX01,2053,0.0
GLOBAL,PWRCCGPHLXX00,2020,4.2375
GLOBAL,PWRCCGPHLXX00,2021,4.2375
GLOBAL,PWRCCGPHLXX00,2022,4.2375
GLOBAL,PWRCCGPHLXX00,2023,4.2375
GLOBAL,PWRCCGPHLXX00,2024,4.2375
GLOBAL,PWRCCGPHLXX00,2025,0.45
GLOBAL,PWRCCGPHLXX00,2026,0.45
GLOBAL,PWRCCGPHLXX00,2027,0.45
GLOBAL,PWRCCGPHLXX00,2028,0.45
GLOBAL,PWRCCGPHLXX00,2029,0.45
GLOBAL,PWRCCGPHLXX00,2030,0.45
GLOBAL,PWRCCGPHLXX00,2031,0.45
GLOBAL,PWRCCGPHLXX00,2032,0.45
GLOBAL,PWRCCGPHLXX00,2033,0.45
GLOBAL,PWRCCGPHLXX00,2034,0.45
GLOBAL,PWRCCGPHLXX00,2035,0.45
GLOBAL,PWRCCGPHLXX00,2036,0.45
GLOBAL,PWRCCGPHLXX00,2037,0.45
GLOBAL,PWRCCGPHLXX00,2038,0.45
GLOBAL,PWRCCGPHLXX00,2039,0.45
GLOBAL,PWRCCGPHLXX00,2040,0.45
GLOBAL,PWRCCGPHLXX00,2041,0.45
GLOBAL,PWRCCGPHLXX00,2042,0.45
GLOBAL,PWRCCGPHLXX00,2043,0.45
GLOBAL,PWRCCGPHLXX00,2044,0.45
GLOBAL,PWRCCGPHLXX00,2045,0.45
GLOBAL,PWRCCGPHLXX00,2046,0.45
GLOBAL,PWRCCGPHLXX00,2047,0.0
GLOBAL,PWRCCGPHLXX00,2048,0.0
GLOBAL,PWRCCGPHLXX00,2049,0.0
GLOBAL,PWRCCGPHLXX00,2050,0.0
GLOBAL,PWRCCGPHLXX00,2051,0.0
GLOBAL,PWRCCGPHLXX00,2052,0.0
GLOBAL,PWRCCGPHLXX00,2053,0.0
GLOBAL,PWRCOAPHLXX01,2020,10.6987
GLOBAL,PWRCOAPHLXX01,2021,10.6987
GLOBAL,PWRCOAPHLXX01,2022,10.6987
GLOBAL,PWRCOAPHLXX01,2023,10.6987
GLOBAL,PWRCOAPHLXX01,2024,10.6987
GLOBAL,PWRCOAPHLXX01,2025,10.6987
GLOBAL,PWRCOAPHLXX01,2026,10.6987
GLOBAL,PWRCOAPHLXX01,2027,10.6987
GLOBAL,PWRCOAPHLXX01,2028,8.228
GLOBAL,PWRCOAPHLXX01,2029,7.538
GLOBAL,PWRCOAPHLXX01,2030,6.318
GLOBAL,PWRCOAPHLXX01,2031,5.878
GLOBAL,PWRCOAPHLXX01,2032,5.566
GLOBAL,PWRCOAPHLXX01,2033,5.566
GLOBAL,PWRCOAPHLXX01,2034,5.566
GLOBAL,PWRCOAPHLXX01,2035,4.41
GLOBAL,PWRCOAPHLXX01,2036,4.41
GLOBAL,PWRCOAPHLXX01,2037,4.178
GLOBAL,PWRCOAPHLXX01,2038,3.278
GLOBAL,PWRCOAPHLXX01,2039,3.278
GLOBAL,PWRCOAPHLXX01,2040,3.278
GLOBAL,PWRCOAPHLXX01,2041,3.278
GLOBAL,PWRCOAPHLXX01,2042,3.278
GLOBAL,PWRCOAPHLXX01,2043,3.278
GLOBAL,PWRCOAPHLXX01,2044,2.678
GLOBAL,PWRCOAPHLXX01,2045,2.678
GLOBAL,PWRCOAPHLXX01,2046,2.678
GLOBAL,PWRCOAPHLXX01,2047,1.065
GLOBAL,PWRCOAPHLXX01,2048,0.3
GLOBAL,PWRCOAPHLXX01,2049,0.0
GLOBAL,PWRCOAPHLXX01,2050,0.0
GLOBAL,PWRCOAPHLXX01,2051,0.0
GLOBAL,PWRCOAPHLXX01,2052,0.0
GLOBAL,PWRCOAPHLXX01,2053,0.0
GLOBAL,PWRGEOPHLXX01,2020,1.9188
GLOBAL,PWRGEOPHLXX01,2021,1.9188
GLOBAL,PWRGEOPHLXX01,2022,1.9188
GLOBAL,PWRGEOPHLXX01,2023,1.9188
GLOBAL,PWRGEOPHLXX01,2024,1.9188
GLOBAL,PWRGEOPHLXX01,2025,1.9188
GLOBAL,PWRGEOPHLXX01,2026,0.0
GLOBAL,PWRGEOPHLXX01,2027,0.0
GLOBAL,PWRGEOPHLXX01,2028,0.0
GLOBAL,PWRGEOPHLXX01,2029,0.0
GLOBAL,PWRGEOPHLXX01,2030,0.0
GLOBAL,PWRGEOPHLXX01,2031,0.0
GLOBAL,PWRGEOPHLXX01,2032,0.0
GLOBAL,PWRGEOPHLXX01,2033,0.0
GLOBAL,PWRGEOPHLXX01,2034,0.0
