REGION,FUEL,YEAR,VALUE
GLOBAL,ELCPHLXX02,2020,953.94
GLOBAL,ELCPHLXX02,2021,990.15
GLOBAL,ELCPHLXX02,2022,1026.35
GLOBAL,ELCPHLXX02,2023,1062.56
GLOBAL,ELCPHLXX02,2024,1098.77
GLOBAL,ELCPHLXX02,2025,1134.97
GLOBAL,ELCPHLXX02,2026,1171.43
GLOBAL,ELCPHLXX02,2027,1207.88
GLOBAL,ELCPHLXX02,2028,1244.33
GLOBAL,ELCPHLXX02,2029,1280.79
GLOBAL,ELCPHLXX02,2030,1317.24
GLOBAL,ELCPHLXX02,2031,1354.11
GLOBAL,ELCPHLXX02,2032,1390.98
GLOBAL,ELCPHLXX02,2033,1427.84
GLOBAL,ELCPHLXX02,2034,1464.71
GLOBAL,ELCPHLXX02,2035,1501.58
GLOBAL,ELCPHLXX02,2036,1540.35
GLOBAL,ELCPHLXX02,2037,1579.13
GLOBAL,ELCPHLXX02,2038,1617.91
GLOBAL,ELCPHLXX02,2039,1656.69
GLOBAL,ELCPHLXX02,2040,1695.47
GLOBAL,ELCPHLXX02,2041,1738.57
GLOBAL,ELCPHLXX02,2042,1781.68
GLOBAL,ELCPHLXX02,2043,1824.79
GLOBAL,ELCPHLXX02,2044,1867.89
GLOBAL,ELCPHLXX02,2045,1911.0
GLOBAL,ELCPHLXX02,2046,1957.0
GLOBAL,ELCPHLXX02,2047,2003.01
GLOBAL,ELCPHLXX02,2048,2049.01
GLOBAL,ELCPHLXX02,2049,2095.02
GLOBAL,ELCPHLXX02,2050,2141.02
GLOBAL,ELCPHLXX02,2051,2190.94
GLOBAL,ELCPHLXX02,2052,2240.85
GLOBAL,ELCPHLXX02,2053,2290.76
