REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,LNDAGRPHLC01,26,2020,0.0
GLOBAL,LNDAGRPHLC01,26,2021,0.0
GLOBAL,LNDAGRPHLC01,26,2022,0.0
GLOBAL,LNDAGRPHLC01,26,2023,0.0
GLOBAL,LNDAGRPHLC01,26,2024,0.0
GLOBAL,LNDAGRPHLC01,26,2025,0.0
GLOBAL,LNDAGRPHLC01,26,2026,0.0
GLOBAL,LNDAGRPHLC01,26,2027,0.0
GLOBAL,LNDAGRPHLC01,26,2028,0.0
GLOBAL,LNDAGRPHLC01,26,2029,0.0
GLOBAL,LNDAGRPHLC01,26,2030,0.0
GLOBAL,LNDAGRPHLC01,26,2031,0.0
GLOBAL,LNDAGRPHLC01,26,2032,0.0
GLOBAL,LNDAGRPHLC01,26,2033,0.0
GLOBAL,LNDAGRPHLC01,26,2034,0.0
GLOBAL,LNDAGRPHLC01,26,2035,0.0
GLOBAL,LNDAGRPHLC01,26,2036,0.0
GLOBAL,LNDAGRPHLC01,26,2037,0.0
GLOBAL,LNDAGRPHLC01,26,2038,0.0
GLOBAL,LNDAGRPHLC01,26,2039,0.0
GLOBAL,LNDAGRPHLC01,26,2040,0.0
GLOBAL,LNDAGRPHLC01,26,2041,0.0
GLOBAL,LNDAGRPHLC01,26,2042,0.0
GLOBAL,LNDAGRPHLC01,26,2043,0.0
GLOBAL,LNDAGRPHLC01,26,2044,0.0
GLOBAL,LNDAGRPHLC01,26,2045,0.0
GLOBAL,LNDAGRPHLC01,26,2046,0.0
GLOBAL,LNDAGRPHLC01,26,2047,0.0
GLOBAL,LNDAGRPHLC01,26,2048,0.0
GLOBAL,LNDAGRPHLC01,26,2049,0.0
GLOBAL,LNDAGRPHLC01,26,2050,0.0
GLOBAL,LNDAGRPHLC01,26,2051,0.0
GLOBAL,LNDAGRPHLC01,26,2052,0.0
GLOBAL,LNDAGRPHLC01,26,2053,0.0
GLOBAL,LNDAGRPHLC01,30,2020,0.0
GLOBAL,LNDAGRPHLC01,30,2021,0.0
GLOBAL,LNDAGRPHLC01,30,2022,0.0
GLOBAL,LNDAGRPHLC01,30,2023,0.0
GLOBAL,LNDAGRPHLC01,30,2024,0.0
GLOBAL,LNDAGRPHLC01,30,2025,0.0
GLOBAL,LNDAGRPHLC01,30,2026,0.0
GLOBAL,LNDAGRPHLC01,30,2027,0.0
GLOBAL,LNDAGRPHLC01,30,2028,0.0
GLOBAL,LNDAGRPHLC01,30,2029,0.0
GLOBAL,LNDAGRPHLC01,30,2030,0.0
GLOBAL,LNDAGRPHLC01,30,2031,0.0
GLOBAL,LNDAGRPHLC01,30,2032,0.0
GLOBAL,LNDAGRPHLC01,30,2033,0.0
GLOBAL,LNDAGRPHLC01,30,2034,0.0
GLOBAL,LNDAGRPHLC01,30,2035,0.0
GLOBAL,LNDAGRPHLC01,30,2036,0.0
GLOBAL,LNDAGRPHLC01,30,2037,0.0
GLOBAL,LNDAGRPHLC01,30,2038,0.0
GLOBAL,LNDAGRPHLC01,30,2039,0.0
GLOBAL,LNDAGRPHLC01,30,2040,0.0
GLOBAL,LNDAGRPHLC01,30,2041,0.0
GLOBAL,LNDAGRPHLC01,30,2042,0.0
GLOBAL,LNDAGRPHLC01,30,2043,0.0
GLOBAL,LNDAGRPHLC01,30,2044,0.0
GLOBAL,LNDAGRPHLC01,30,2045,0.0
GLOBAL,LNDAGRPHLC01,30,2046,0.0
GLOBAL,LNDAGRPHLC01,30,2047,0.0
GLOBAL,LNDAGRPHLC01,30,2048,0.0
GLOBAL,LNDAGRPHLC01,30,2049,0.0
