REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRHYDPHLXX01,2020,9.0031
GLOBAL,PWRHYDPHLXX01,2021,9.0031
GLOBAL,PWRHYDPHLXX01,2022,9.0031
GLOBAL,PWRHYDPHLXX01,2023,9.0031
GLOBAL,PWRHYDPHLXX01,2024,9.0031
GLOBAL,PWRHYDPHLXX01,2025,9.0031
GLOBAL,PWRHYDPHLXX01,2026,9.0031
GLOBAL,PWRHYDPHLXX01,2027,9.0031
GLOBAL,PWRHYDPHLXX01,2028,9.0031
GLOBAL,PWRHYDPHLXX01,2029,9.0031
GLOBAL,PWRHYDPHLXX01,2030,9.0031
GLOBAL,PWRHYDPHLXX01,2031,9.0031
GLOBAL,PWRHYDPHLXX01,2032,9.0031
GLOBAL,PWRHYDPHLXX01,2033,9.0031
GLOBAL,PWRHYDPHLXX01,2034,9.0031
GLOBAL,PWRHYDPHLXX01,2035,9.0031
GLOBAL,PWRHYDPHLXX01,2036,9.0031
GLOBAL,PWRHYDPHLXX01,2037,9.0031
GLOBAL,PWRHYDPHLXX01,2038,9.0031
GLOBAL,PWRHYDPHLXX01,2039,9.0031
GLOBAL,PWRHYDPHLXX01,2040,9.0031
GLOBAL,PWRHYDPHLXX01,2041,9.0031
GLOBAL,PWRHYDPHLXX01,2042,9.0031
GLOBAL,PWRHYDPHLXX01,2043,9.0031
GLOBAL,PWRHYDPHLXX01,2044,9.0031
GLOBAL,PWRHYDPHLXX01,2045,9.0031
GLOBAL,PWRHYDPHLXX01,2046,9.0031
GLOBAL,PWRHYDPHLXX01,2047,9.0031
GLOBAL,PWRHYDPHLXX01,2048,9.0031
GLOBAL,PWRHYDPHLXX01,2049,9.0031
GLOBAL,PWRHYDPHLXX01,2050,9.0031
GLOBAL,PWRHYDPHLXX01,2051,9.0031
GLOBAL,PWRHYDPHLXX01,2052,9.0031
GLOBAL,PWRHYDPHLXX01,2053,9.0031
GLOBAL,PWRCSPPHLXX01,2020,6.6002
GLOBAL,PWRCSPPHLXX01,2021,6.6002
GLOBAL,PWRCSPPHLXX01,2022,6.6002
GLOBAL,PWRCSPPHLXX01,2023,6.6002
GLOBAL,PWRCSPPHLXX01,2024,6.6002
GLOBAL,PWRCSPPHLXX01,2025,6.6002
GLOBAL,PWRCSPPHLXX01,2026,6.6002
GLOBAL,PWRCSPPHLXX01,2027,6.6002
GLOBAL,PWRCSPPHLXX01,2028,6.6002
GLOBAL,PWRCSPPHLXX01,2029,6.6002
GLOBAL,PWRCSPPHLXX01,2030,6.6002
GLOBAL,PWRCSPPHLXX01,2031,6.6002
