year,population_million,population_index_2020
2020,109.70510970985893,1.0
2021,111.32871646554723,1.0147997368580397
2022,112.95232322123553,1.0295994737160796
2023,114.57592997692382,1.0443992105741193
2024,116.19953673261212,1.059198947432159
2025,117.82314348830042,1.073998684290199
2026,119.32962709495581,1.0877308031553972
2027,120.8361107016112,1.1014629220205954
2028,122.34259430826661,1.1151950408857936
2029,123.849077914922,1.128927159750992
2030,125.3555615215774,1.1426592786161902
2031,126.74869748490235,1.155358194528215
2032,128.1418334482273,1.1680571104402395
2033,129.53496941155223,1.1807560263522643
2034,130.9281053748772,1.193454942264289
2035,132.32124133820213,1.2061538581763138
2036,133.58048612198456,1.2176323097007031
2037,134.839730905767,1.2291107612250924
2038,136.0989756895494,1.2405892127494818
2039,137.35822047333184,1.252067664273871
2040,138.61746525711428,1.2635461157982604
2041,139.7375210142057,1.273755811226793
2042,140.85757677129712,1.2839655066553257
2043,141.97763252838854,1.2941752020838584
2044,143.09768828547996,1.304384897512391
2045,144.21774404257138,1.3145945929409237
2046,145.18220684533853,1.323386004802394
2047,146.14666964810567,1.3321774166638642
2048,147.11113245087284,1.3409688285253347
2049,148.07559525364,1.3497602403868048
2050,149.04005805640713,1.358551652248275
2051,149.04005805640713,1.358551652248275
2052,149.04005805640713,1.358551652248275
2053,149.04005805640713,1.358551652248275
