source_id,provider,product,edition,reference_period,geography,variable,source_unit,exact_locator,url,access_date,license,sha256,local_file,notes
SRC_PHL_V14_CASE,UN DESA EAPD-DRB / MUIOGO,Philippines v14 stock-turnover case and solved BASE_V14 control,v14,2020-2053,Philippines,All source parameters inherited by v15 plus the unchanged optimal baseline,mixed MUIO model units,snapshots/philippines_v14_genData.json; live R*.json and res/BASE_V14 are under WebAPP/DataStorage/Philippines_v14_STOCK_TURNOVER,https://github.com/EAPD-DRB/MUIOGO/tree/main/WebAPP/DataStorage/Philippines_v14_STOCK_TURNOVER,2026-08-04,Repository license,a558a31941fecee27cdc35c7bfb261af653126d68998ea50a5156278b819bd16,snapshots/philippines_v14_genData.json,The digest verifies retained genData.json; the v15 manifest records fingerprints for every copied source JSON.
SRC_PHL_WATER_SNAPSHOT,MUIOGO research compilation,Philippines precipitation SSP2-4.5 and national water evidence snapshot,2026-08-03,1950-2025 observations; 1991-2020 normal; 2020-2059 projections; 2020-2053 model path,Philippines,"ERA5 precipitation, CMIP6 SSP2-4.5 anomalies, national water potential, groundwater evidence and limitations",mm/year; km3/year; percent; model metadata,snapshots/philippines_water_precipitation_ssp245.json; individual JSON paths and URLs are stated inside the file,https://github.com/EAPD-DRB/MUIOGO/blob/main/scripts/data/philippines_water_precipitation_ssp245.json,2026-08-03,Repository compilation; underlying-source terms apply,97f024db29f4d5a2df7440c5414949cbadbefd726bea74d8f790f648948c548d,snapshots/philippines_water_precipitation_ssp245.json,"Normalized retained evidence used by the generator. The digest is for the compilation, not each remote HTTP response body."
SRC_WB_CCKP_ERA5_PHL_TS,World Bank Climate Change Knowledge Portal,ERA5 0.25-degree annual precipitation country-mean timeseries,ERA5/ERA5T,1950-2025,Philippines ISO3 PHL; national spatial mean,pr precipitation,mm/year,API route era5-x0.25_timeseries_pr_timeseries_annual_1950-2025_mean_historical_era5_x0.25_mean/PHL; normalized values at observed_annual_mm_per_year.series,https://cckpapi.worldbank.org/cckp/v1/era5-x0.25_timeseries_pr_timeseries_annual_1950-2025_mean_historical_era5_x0.25_mean/PHL?_format=json,2026-08-03,CC BY 4.0 under World Bank CCKP metadata,,,"2024-2025 rely on preliminary ERA5T inputs and may be revised; annual observations are context, not individually installed model years."
SRC_WB_CCKP_ERA5_PHL_NORMAL,World Bank Climate Change Knowledge Portal,ERA5 0.25-degree precipitation climatology,ERA5,1991-2020,Philippines ISO3 PHL; national spatial mean,Annual precipitation climatology,mm/year,API route era5-x0.25_climatology_pr_climatology_annual_1991-2020_mean_historical_era5_x0.25_mean/PHL; value 2658.12,https://cckpapi.worldbank.org/cckp/v1/era5-x0.25_climatology_pr_climatology_annual_1991-2020_mean_historical_era5_x0.25_mean/PHL?_format=json,2026-08-03,CC BY 4.0 under World Bank CCKP metadata,,,Installed as the 2020 hydrology depth anchor after rebasing the inherited national land block.
SRC_WB_CCKP_CMIP6_PHL_HIST,World Bank Climate Change Knowledge Portal,CMIP6 0.25-degree multi-model ensemble historical precipitation climatology,ensemble median,1995-2014,Philippines ISO3 PHL; national spatial mean,Historical annual precipitation climatology,mm/year,API route cmip6-x0.25_climatology_pr_climatology_annual_1995-2014_median_historical_ensemble_all_mean/PHL; value 2477.61,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_pr_climatology_annual_1995-2014_median_historical_ensemble_all_mean/PHL?_format=json,2026-08-03,CC BY 4.0 under World Bank CCKP metadata,,,Used only as the denominator for relative SSP2-4.5 anomalies; absolute projected climatologies are not mixed with ERA5.
SRC_WB_CCKP_CMIP6_PHL_SSP245_2030,World Bank Climate Change Knowledge Portal,CMIP6 SSP2-4.5 annual precipitation anomaly,ensemble median,2020-2039 represented at midpoint 2030,Philippines ISO3 PHL; national spatial mean,Annual precipitation anomaly,mm/year,API route cmip6-x0.25_climatology_pr_anomaly_annual_2020-2039_median_ssp245_ensemble_all_mean/PHL; value 25.08,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_pr_anomaly_annual_2020-2039_median_ssp245_ensemble_all_mean/PHL?_format=json,2026-08-03,CC BY 4.0 under World Bank CCKP metadata,,,Installed through the relative multiplier 1 + 25.08/2477.61.
SRC_WB_CCKP_CMIP6_PHL_SSP245_2050,World Bank Climate Change Knowledge Portal,CMIP6 SSP2-4.5 annual precipitation anomaly,ensemble median,2040-2059 represented at midpoint 2050,Philippines ISO3 PHL; national spatial mean,Annual precipitation anomaly,mm/year,API route cmip6-x0.25_climatology_pr_anomaly_annual_2040-2059_median_ssp245_ensemble_all_mean/PHL; value 106.77,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_pr_anomaly_annual_2040-2059_median_ssp245_ensemble_all_mean/PHL?_format=json,2026-08-03,CC BY 4.0 under World Bank CCKP metadata,,,Installed through the relative multiplier 1 + 106.77/2477.61.
SRC_WB_CCKP_METADATA,World Bank Climate Change Knowledge Portal,CCKP metadata and data-download documentation,current at access,Historical and CMIP6 projection products,Global,"Product definitions, 20-year projection windows, ensemble statistics, scenario names and licensing",metadata,CCKP metadata; precipitation pr; SSP2-4.5; 2020-2039 and 2040-2059 windows,https://climateknowledgeportal.worldbank.org/metadata,2026-08-04,CC BY 4.0,,,Supports interpretation and licensing; it does not supply a separate model coefficient.
SRC_IPCC_AR6_SSP245,Intergovernmental Panel on Climate Change,AR6 Working Group I Chapter 1,AR6,CMIP6 scenario framework,Global,SSP2-4.5 forcing-class interpretation relative to RCP4.5,W/m2 forcing class; scenario metadata,"Chapter 1 discussion of SSP and RCP scenario families; SSP2-4.5 is the 4.5 W/m2-class analogue, not the identical RCP4.5 experiment",https://www.ipcc.ch/report/ar6/wg1/chapter/chapter-1/,2026-08-03,IPCC publication terms,,,Used to answer the requested RCP4.5-or-equivalent framing; no IPCC numeric precipitation value is installed.
SRC_DEPDEV_WATER_POLICY_NOTE,"Philippine Department of Economy, Planning and Development",Policy Note on the Philippine Water Sector,2024 policy note,National planning benchmark,Philippines,Surface-water potential 125790 MCM/year; groundwater potential 20200 MCM/year; total 145990 MCM/year,MCM/year,"Overview of Water Resources in the Philippines, page 6; figures attributed to the Philippine Water Supply and Sanitation Master Plan",https://www.depdev.gov.ph/wp-content/uploads/2024/05/Policy-Note-on-the-Philippine-Water-Sector.pdf,2026-08-04,Philippine government publication,,,Primary installed source for the two national withdrawal-ceiling sensitivities. Potential is not dependable yield or safe yield.
