REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWROCGPHLXX00,2020,0.0
GLOBAL,PWROCGPHLXX00,2021,0.0
GLOBAL,PWROCGPHLXX00,2022,0.0
GLOBAL,PWROCGPHLXX00,2023,0.0
GLOBAL,PWROCGPHLXX00,2024,0.0
GLOBAL,PWROCGPHLXX00,2025,0.0
GLOBAL,PWROCGPHLXX00,2026,0.0
GLOBAL,PWROCGPHLXX00,2027,0.0
GLOBAL,PWROCGPHLXX00,2028,0.0
GLOBAL,PWROCGPHLXX00,2029,0.0
GLOBAL,PWROCGPHLXX00,2030,0.0
GLOBAL,PWROCGPHLXX00,2031,0.0
GLOBAL,PWROCGPHLXX00,2032,0.0
GLOBAL,PWROCGPHLXX00,2033,0.0
GLOBAL,PWROCGPHLXX00,2034,0.0
GLOBAL,PWROCGPHLXX00,2035,0.0
GLOBAL,PWROCGPHLXX00,2036,0.0
GLOBAL,PWROCGPHLXX00,2037,0.0
GLOBAL,PWROCGPHLXX00,2038,0.0
GLOBAL,PWROCGPHLXX00,2039,0.0
GLOBAL,PWROCGPHLXX00,2040,0.0
GLOBAL,PWROCGPHLXX00,2041,0.0
GLOBAL,PWROCGPHLXX00,2042,0.0
GLOBAL,PWROCGPHLXX00,2043,0.0
GLOBAL,PWROCGPHLXX00,2044,0.0
GLOBAL,PWROCGPHLXX00,2045,0.0
GLOBAL,PWROCGPHLXX00,2046,0.0
GLOBAL,PWROCGPHLXX00,2047,0.0
GLOBAL,PWROCGPHLXX00,2048,0.0
GLOBAL,PWROCGPHLXX00,2049,0.0
GLOBAL,PWROCGPHLXX00,2050,0.0
GLOBAL,PWROCGPHLXX00,2051,0.0
GLOBAL,PWROCGPHLXX00,2052,0.0
GLOBAL,PWROCGPHLXX00,2053,0.0
GLOBAL,PWRCCGPHLXX00,2020,0.0
GLOBAL,PWRCCGPHLXX00,2021,0.0
GLOBAL,PWRCCGPHLXX00,2022,0.0
GLOBAL,PWRCCGPHLXX00,2023,0.0
GLOBAL,PWRCCGPHLXX00,2024,0.0
GLOBAL,PWRCCGPHLXX00,2025,0.0
GLOBAL,PWRCCGPHLXX00,2026,0.0
GLOBAL,PWRCCGPHLXX00,2027,0.0
GLOBAL,PWRCCGPHLXX00,2028,0.0
GLOBAL,PWRCCGPHLXX00,2029,0.0
GLOBAL,PWRCCGPHLXX00,2030,0.0
GLOBAL,PWRCCGPHLXX00,2031,0.0
GLOBAL,PWRCCGPHLXX00,2032,0.0
GLOBAL,PWRCCGPHLXX00,2033,0.0
GLOBAL,PWRCCGPHLXX00,2034,0.0
GLOBAL,PWRCCGPHLXX00,2035,0.0
GLOBAL,PWRCCGPHLXX00,2036,0.0
GLOBAL,PWRCCGPHLXX00,2037,0.0
GLOBAL,PWRCCGPHLXX00,2038,0.0
GLOBAL,PWRCCGPHLXX00,2039,0.0
GLOBAL,PWRCCGPHLXX00,2040,0.0
GLOBAL,PWRCCGPHLXX00,2041,0.0
GLOBAL,PWRCCGPHLXX00,2042,0.0
GLOBAL,PWRCCGPHLXX00,2043,0.0
GLOBAL,PWRCCGPHLXX00,2044,0.0
GLOBAL,PWRCCGPHLXX00,2045,0.0
GLOBAL,PWRCCGPHLXX00,2046,0.0
GLOBAL,PWRCCGPHLXX00,2047,0.0
GLOBAL,PWRCCGPHLXX00,2048,0.0
GLOBAL,PWRCCGPHLXX00,2049,0.0
GLOBAL,PWRCCGPHLXX00,2050,0.0
GLOBAL,PWRCCGPHLXX00,2051,0.0
GLOBAL,PWRCCGPHLXX00,2052,0.0
GLOBAL,PWRCCGPHLXX00,2053,0.0
