REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOPHLXX01,2020,1600.0
GLOBAL,PWRBIOPHLXX01,2021,1600.0
GLOBAL,PWRBIOPHLXX01,2022,1600.0
GLOBAL,PWRBIOPHLXX01,2023,1600.0
GLOBAL,PWRBIOPHLXX01,2024,1600.0
GLOBAL,PWRBIOPHLXX01,2025,1600.0
GLOBAL,PWRBIOPHLXX01,2026,1600.0
GLOBAL,PWRBIOPHLXX01,2027,1600.0
GLOBAL,PWRBIOPHLXX01,2028,1600.0
GLOBAL,PWRBIOPHLXX01,2029,1600.0
GLOBAL,PWRBIOPHLXX01,2030,1600.0
GLOBAL,PWRBIOPHLXX01,2031,1580.0
GLOBAL,PWRBIOPHLXX01,2032,1560.0
GLOBAL,PWRBIOPHLXX01,2033,1540.0
GLOBAL,PWRBIOPHLXX01,2034,1520.0
GLOBAL,PWRBIOPHLXX01,2035,1500.0
GLOBAL,PWRBIOPHLXX01,2036,1480.0
GLOBAL,PWRBIOPHLXX01,2037,1460.0
GLOBAL,PWRBIOPHLXX01,2038,1440.0
GLOBAL,PWRBIOPHLXX01,2039,1420.0
GLOBAL,PWRBIOPHLXX01,2040,1400.0
GLOBAL,PWRBIOPHLXX01,2041,1400.0
GLOBAL,PWRBIOPHLXX01,2042,1400.0
GLOBAL,PWRBIOPHLXX01,2043,1400.0
GLOBAL,PWRBIOPHLXX01,2044,1400.0
GLOBAL,PWRBIOPHLXX01,2045,1400.0
GLOBAL,PWRBIOPHLXX01,2046,1400.0
GLOBAL,PWRBIOPHLXX01,2047,1400.0
GLOBAL,PWRBIOPHLXX01,2048,1400.0
GLOBAL,PWRBIOPHLXX01,2049,1400.0
GLOBAL,PWRBIOPHLXX01,2050,1400.0
GLOBAL,PWRBIOPHLXX01,2051,1400.0
GLOBAL,PWRBIOPHLXX01,2052,1400.0
GLOBAL,PWRBIOPHLXX01,2053,1400.0
GLOBAL,PWRCCGPHLXX00,2020,675.0
GLOBAL,PWRCCGPHLXX00,2021,675.0
GLOBAL,PWRCCGPHLXX00,2022,675.0
GLOBAL,PWRCCGPHLXX00,2023,675.0
GLOBAL,PWRCCGPHLXX00,2024,675.0
GLOBAL,PWRCCGPHLXX00,2025,675.0
GLOBAL,PWRCCGPHLXX00,2026,675.0
GLOBAL,PWRCCGPHLXX00,2027,675.0
GLOBAL,PWRCCGPHLXX00,2028,675.0
GLOBAL,PWRCCGPHLXX00,2029,675.0
GLOBAL,PWRCCGPHLXX00,2030,675.0
GLOBAL,PWRCCGPHLXX00,2031,673.25
GLOBAL,PWRCCGPHLXX00,2032,671.5
GLOBAL,PWRCCGPHLXX00,2033,669.75
GLOBAL,PWRCCGPHLXX00,2034,668.0
GLOBAL,PWRCCGPHLXX00,2035,666.25
GLOBAL,PWRCCGPHLXX00,2036,664.5
GLOBAL,PWRCCGPHLXX00,2037,662.75
GLOBAL,PWRCCGPHLXX00,2038,661.0
GLOBAL,PWRCCGPHLXX00,2039,659.25
GLOBAL,PWRCCGPHLXX00,2040,657.5
GLOBAL,PWRCCGPHLXX00,2041,657.5
GLOBAL,PWRCCGPHLXX00,2042,657.5
GLOBAL,PWRCCGPHLXX00,2043,657.5
GLOBAL,PWRCCGPHLXX00,2044,657.5
GLOBAL,PWRCCGPHLXX00,2045,657.5
GLOBAL,PWRCCGPHLXX00,2046,657.5
GLOBAL,PWRCCGPHLXX00,2047,657.5
GLOBAL,PWRCCGPHLXX00,2048,657.5
GLOBAL,PWRCCGPHLXX00,2049,657.5
GLOBAL,PWRCCGPHLXX00,2050,657.5
GLOBAL,PWRCCGPHLXX00,2051,657.5
GLOBAL,PWRCCGPHLXX00,2052,657.5
GLOBAL,PWRCCGPHLXX00,2053,657.5
GLOBAL,PWRCCGPHLXX01,2020,675.0
GLOBAL,PWRCCGPHLXX01,2021,675.0
GLOBAL,PWRCCGPHLXX01,2022,675.0
GLOBAL,PWRCCGPHLXX01,2023,675.0
GLOBAL,PWRCCGPHLXX01,2024,675.0
GLOBAL,PWRCCGPHLXX01,2025,675.0
GLOBAL,PWRCCGPHLXX01,2026,675.0
GLOBAL,PWRCCGPHLXX01,2027,675.0
GLOBAL,PWRCCGPHLXX01,2028,675.0
GLOBAL,PWRCCGPHLXX01,2029,675.0
GLOBAL,PWRCCGPHLXX01,2030,675.0
GLOBAL,PWRCCGPHLXX01,2031,673.25
GLOBAL,PWRCCGPHLXX01,2032,671.5
GLOBAL,PWRCCGPHLXX01,2033,669.75
GLOBAL,PWRCCGPHLXX01,2034,668.0
GLOBAL,PWRCCGPHLXX01,2035,666.25
GLOBAL,PWRCCGPHLXX01,2036,664.5
GLOBAL,PWRCCGPHLXX01,2037,662.75
GLOBAL,PWRCCGPHLXX01,2038,661.0
GLOBAL,PWRCCGPHLXX01,2039,659.25
GLOBAL,PWRCCGPHLXX01,2040,657.5
GLOBAL,PWRCCGPHLXX01,2041,657.5
GLOBAL,PWRCCGPHLXX01,2042,657.5
GLOBAL,PWRCCGPHLXX01,2043,657.5
GLOBAL,PWRCCGPHLXX01,2044,657.5
GLOBAL,PWRCCGPHLXX01,2045,657.5
GLOBAL,PWRCCGPHLXX01,2046,657.5
GLOBAL,PWRCCGPHLXX01,2047,657.5
GLOBAL,PWRCCGPHLXX01,2048,657.5
GLOBAL,PWRCCGPHLXX01,2049,657.5
GLOBAL,PWRCCGPHLXX01,2050,657.5
GLOBAL,PWRCCGPHLXX01,2051,657.5
GLOBAL,PWRCCGPHLXX01,2052,657.5
GLOBAL,PWRCCGPHLXX01,2053,657.5
GLOBAL,PWRCCSPHLXX01,2020,3848.5
GLOBAL,PWRCCSPHLXX01,2021,3848.5
GLOBAL,PWRCCSPHLXX01,2022,3848.5
GLOBAL,PWRCCSPHLXX01,2023,3848.5
GLOBAL,PWRCCSPHLXX01,2024,3848.5
GLOBAL,PWRCCSPHLXX01,2025,3848.5
GLOBAL,PWRCCSPHLXX01,2026,3848.5
GLOBAL,PWRCCSPHLXX01,2027,3848.5
GLOBAL,PWRCCSPHLXX01,2028,3848.5
GLOBAL,PWRCCSPHLXX01,2029,3848.5
GLOBAL,PWRCCSPHLXX01,2030,3848.5
GLOBAL,PWRCCSPHLXX01,2031,3812.9
GLOBAL,PWRCCSPHLXX01,2032,3777.3
GLOBAL,PWRCCSPHLXX01,2033,3741.7
GLOBAL,PWRCCSPHLXX01,2034,3706.1
GLOBAL,PWRCCSPHLXX01,2035,3670.5
GLOBAL,PWRCCSPHLXX01,2036,3634.9
GLOBAL,PWRCCSPHLXX01,2037,3599.3
GLOBAL,PWRCCSPHLXX01,2038,3563.7
GLOBAL,PWRCCSPHLXX01,2039,3528.1
GLOBAL,PWRCCSPHLXX01,2040,3492.5
GLOBAL,PWRCCSPHLXX01,2041,3492.5
GLOBAL,PWRCCSPHLXX01,2042,3492.5
GLOBAL,PWRCCSPHLXX01,2043,3492.5
GLOBAL,PWRCCSPHLXX01,2044,3492.5
GLOBAL,PWRCCSPHLXX01,2045,3492.5
GLOBAL,PWRCCSPHLXX01,2046,3492.5
GLOBAL,PWRCCSPHLXX01,2047,3492.5
GLOBAL,PWRCCSPHLXX01,2048,3492.5
GLOBAL,PWRCCSPHLXX01,2049,3492.5
GLOBAL,PWRCCSPHLXX01,2050,3492.5
GLOBAL,PWRCCSPHLXX01,2051,3492.5
GLOBAL,PWRCCSPHLXX01,2052,3492.5
GLOBAL,PWRCCSPHLXX01,2053,3492.5
GLOBAL,PWRCOAPHLXX01,2020,1516.67
GLOBAL,PWRCOAPHLXX01,2021,1516.67
GLOBAL,PWRCOAPHLXX01,2022,1516.67
GLOBAL,PWRCOAPHLXX01,2023,1516.67
GLOBAL,PWRCOAPHLXX01,2024,1516.67
GLOBAL,PWRCOAPHLXX01,2025,1516.67
GLOBAL,PWRCOAPHLXX01,2026,1516.67
GLOBAL,PWRCOAPHLXX01,2027,1516.67
GLOBAL,PWRCOAPHLXX01,2028,1516.67
GLOBAL,PWRCOAPHLXX01,2029,1516.67
GLOBAL,PWRCOAPHLXX01,2030,1516.67
GLOBAL,PWRCOAPHLXX01,2031,1514.42
GLOBAL,PWRCOAPHLXX01,2032,1512.17
GLOBAL,PWRCOAPHLXX01,2033,1509.92
GLOBAL,PWRCOAPHLXX01,2034,1507.67
GLOBAL,PWRCOAPHLXX01,2035,1505.42
GLOBAL,PWRCOAPHLXX01,2036,1503.17
GLOBAL,PWRCOAPHLXX01,2037,1500.92
GLOBAL,PWRCOAPHLXX01,2038,1498.67
GLOBAL,PWRCOAPHLXX01,2039,1496.42
GLOBAL,PWRCOAPHLXX01,2040,1494.17
GLOBAL,PWRCOAPHLXX01,2041,1494.17
GLOBAL,PWRCOAPHLXX01,2042,1494.17
GLOBAL,PWRCOAPHLXX01,2043,1494.17
GLOBAL,PWRCOAPHLXX01,2044,1494.17
GLOBAL,PWRCOAPHLXX01,2045,1494.17
GLOBAL,PWRCOAPHLXX01,2046,1494.17
GLOBAL,PWRCOAPHLXX01,2047,1494.17
GLOBAL,PWRCOAPHLXX01,2048,1494.17
GLOBAL,PWRCOAPHLXX01,2049,1494.17
GLOBAL,PWRCOAPHLXX01,2050,1494.17
GLOBAL,PWRCOAPHLXX01,2051,1494.17
GLOBAL,PWRCOAPHLXX01,2052,1494.17
GLOBAL,PWRCOAPHLXX01,2053,1494.17
GLOBAL,PWRCOGPHLXX01,2020,675.0
GLOBAL,PWRCOGPHLXX01,2021,675.0
GLOBAL,PWRCOGPHLXX01,2022,675.0
GLOBAL,PWRCOGPHLXX01,2023,675.0
GLOBAL,PWRCOGPHLXX01,2024,675.0
GLOBAL,PWRCOGPHLXX01,2025,675.0
GLOBAL,PWRCOGPHLXX01,2026,675.0
GLOBAL,PWRCOGPHLXX01,2027,675.0
GLOBAL,PWRCOGPHLXX01,2028,675.0
GLOBAL,PWRCOGPHLXX01,2029,675.0
GLOBAL,PWRCOGPHLXX01,2030,675.0
GLOBAL,PWRCOGPHLXX01,2031,673.25
GLOBAL,PWRCOGPHLXX01,2032,671.5
GLOBAL,PWRCOGPHLXX01,2033,669.75
GLOBAL,PWRCOGPHLXX01,2034,668.0
GLOBAL,PWRCOGPHLXX01,2035,666.25
GLOBAL,PWRCOGPHLXX01,2036,664.5
GLOBAL,PWRCOGPHLXX01,2037,662.75
GLOBAL,PWRCOGPHLXX01,2038,661.0
GLOBAL,PWRCOGPHLXX01,2039,659.25
GLOBAL,PWRCOGPHLXX01,2040,657.5
GLOBAL,PWRCOGPHLXX01,2041,657.5
GLOBAL,PWRCOGPHLXX01,2042,657.5
GLOBAL,PWRCOGPHLXX01,2043,657.5
GLOBAL,PWRCOGPHLXX01,2044,657.5
GLOBAL,PWRCOGPHLXX01,2045,657.5
GLOBAL,PWRCOGPHLXX01,2046,657.5
GLOBAL,PWRCOGPHLXX01,2047,657.5
GLOBAL,PWRCOGPHLXX01,2048,657.5
GLOBAL,PWRCOGPHLXX01,2049,657.5
GLOBAL,PWRCOGPHLXX01,2050,657.5
GLOBAL,PWRCOGPHLXX01,2051,657.5
GLOBAL,PWRCOGPHLXX01,2052,657.5
GLOBAL,PWRCOGPHLXX01,2053,657.5
GLOBAL,PWRCSPPHLXX01,2020,4550.0
GLOBAL,PWRCSPPHLXX01,2021,4550.0
GLOBAL,PWRCSPPHLXX01,2022,4550.0
GLOBAL,PWRCSPPHLXX01,2023,4550.0
GLOBAL,PWRCSPPHLXX01,2024,4550.0
GLOBAL,PWRCSPPHLXX01,2025,4550.0
GLOBAL,PWRCSPPHLXX01,2026,4550.0
GLOBAL,PWRCSPPHLXX01,2027,4550.0
GLOBAL,PWRCSPPHLXX01,2028,4550.0
GLOBAL,PWRCSPPHLXX01,2029,4550.0
GLOBAL,PWRCSPPHLXX01,2030,4550.0
GLOBAL,PWRCSPPHLXX01,2031,4490.0
GLOBAL,PWRCSPPHLXX01,2032,4430.0
GLOBAL,PWRCSPPHLXX01,2033,4370.0
GLOBAL,PWRCSPPHLXX01,2034,4310.0
GLOBAL,PWRCSPPHLXX01,2035,4250.0
GLOBAL,PWRCSPPHLXX01,2036,4190.0
GLOBAL,PWRCSPPHLXX01,2037,4130.0
GLOBAL,PWRCSPPHLXX01,2038,4070.0
GLOBAL,PWRCSPPHLXX01,2039,4010.0
GLOBAL,PWRCSPPHLXX01,2040,3950.0
GLOBAL,PWRCSPPHLXX01,2041,3950.0
GLOBAL,PWRCSPPHLXX01,2042,3950.0
GLOBAL,PWRCSPPHLXX01,2043,3950.0
