REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOPHLXX01,2020,45.5
GLOBAL,PWRBIOPHLXX01,2021,45.5
GLOBAL,PWRBIOPHLXX01,2022,45.5
GLOBAL,PWRBIOPHLXX01,2023,45.5
GLOBAL,PWRBIOPHLXX01,2024,45.5
GLOBAL,PWRBIOPHLXX01,2025,45.5
GLOBAL,PWRBIOPHLXX01,2026,45.5
GLOBAL,PWRBIOPHLXX01,2027,45.5
GLOBAL,PWRBIOPHLXX01,2028,45.5
GLOBAL,PWRBIOPHLXX01,2029,45.5
GLOBAL,PWRBIOPHLXX01,2030,45.5
GLOBAL,PWRBIOPHLXX01,2031,44.91
GLOBAL,PWRBIOPHLXX01,2032,44.32
GLOBAL,PWRBIOPHLXX01,2033,43.73
GLOBAL,PWRBIOPHLXX01,2034,43.14
GLOBAL,PWRBIOPHLXX01,2035,42.55
GLOBAL,PWRBIOPHLXX01,2036,41.96
GLOBAL,PWRBIOPHLXX01,2037,41.37
GLOBAL,PWRBIOPHLXX01,2038,40.78
GLOBAL,PWRBIOPHLXX01,2039,40.19
GLOBAL,PWRBIOPHLXX01,2040,39.6
GLOBAL,PWRBIOPHLXX01,2041,39.6
GLOBAL,PWRBIOPHLXX01,2042,39.6
GLOBAL,PWRBIOPHLXX01,2043,39.6
GLOBAL,PWRBIOPHLXX01,2044,39.6
GLOBAL,PWRBIOPHLXX01,2045,39.6
GLOBAL,PWRBIOPHLXX01,2046,39.6
GLOBAL,PWRBIOPHLXX01,2047,39.6
GLOBAL,PWRBIOPHLXX01,2048,39.6
GLOBAL,PWRBIOPHLXX01,2049,39.6
GLOBAL,PWRBIOPHLXX01,2050,39.6
GLOBAL,PWRBIOPHLXX01,2051,39.6
GLOBAL,PWRBIOPHLXX01,2052,39.6
GLOBAL,PWRBIOPHLXX01,2053,39.6
GLOBAL,PWRCCGPHLXX00,2020,25.65
GLOBAL,PWRCCGPHLXX00,2021,25.65
GLOBAL,PWRCCGPHLXX00,2022,25.65
GLOBAL,PWRCCGPHLXX00,2023,25.65
GLOBAL,PWRCCGPHLXX00,2024,25.65
GLOBAL,PWRCCGPHLXX00,2025,25.65
GLOBAL,PWRCCGPHLXX00,2026,25.65
GLOBAL,PWRCCGPHLXX00,2027,25.65
GLOBAL,PWRCCGPHLXX00,2028,25.65
GLOBAL,PWRCCGPHLXX00,2029,25.65
GLOBAL,PWRCCGPHLXX00,2030,25.65
GLOBAL,PWRCCGPHLXX00,2031,25.59
GLOBAL,PWRCCGPHLXX00,2032,25.53
GLOBAL,PWRCCGPHLXX00,2033,25.47
GLOBAL,PWRCCGPHLXX00,2034,25.41
GLOBAL,PWRCCGPHLXX00,2035,25.35
GLOBAL,PWRCCGPHLXX00,2036,25.29
GLOBAL,PWRCCGPHLXX00,2037,25.23
GLOBAL,PWRCCGPHLXX00,2038,25.17
GLOBAL,PWRCCGPHLXX00,2039,25.11
GLOBAL,PWRCCGPHLXX00,2040,25.05
GLOBAL,PWRCCGPHLXX00,2041,25.05
GLOBAL,PWRCCGPHLXX00,2042,25.05
GLOBAL,PWRCCGPHLXX00,2043,25.05
GLOBAL,PWRCCGPHLXX00,2044,25.05
GLOBAL,PWRCCGPHLXX00,2045,25.05
GLOBAL,PWRCCGPHLXX00,2046,25.05
GLOBAL,PWRCCGPHLXX00,2047,25.05
GLOBAL,PWRCCGPHLXX00,2048,25.05
GLOBAL,PWRCCGPHLXX00,2049,25.05
GLOBAL,PWRCCGPHLXX00,2050,25.05
GLOBAL,PWRCCGPHLXX00,2051,25.05
GLOBAL,PWRCCGPHLXX00,2052,25.05
GLOBAL,PWRCCGPHLXX00,2053,25.05
GLOBAL,PWRCCGPHLXX01,2020,25.65
GLOBAL,PWRCCGPHLXX01,2021,25.65
GLOBAL,PWRCCGPHLXX01,2022,25.65
GLOBAL,PWRCCGPHLXX01,2023,25.65
GLOBAL,PWRCCGPHLXX01,2024,25.65
GLOBAL,PWRCCGPHLXX01,2025,25.65
GLOBAL,PWRCCGPHLXX01,2026,25.65
GLOBAL,PWRCCGPHLXX01,2027,25.65
GLOBAL,PWRCCGPHLXX01,2028,25.65
GLOBAL,PWRCCGPHLXX01,2029,25.65
GLOBAL,PWRCCGPHLXX01,2030,25.65
GLOBAL,PWRCCGPHLXX01,2031,25.59
GLOBAL,PWRCCGPHLXX01,2032,25.53
GLOBAL,PWRCCGPHLXX01,2033,25.47
GLOBAL,PWRCCGPHLXX01,2034,25.41
GLOBAL,PWRCCGPHLXX01,2035,25.35
GLOBAL,PWRCCGPHLXX01,2036,25.29
GLOBAL,PWRCCGPHLXX01,2037,25.23
GLOBAL,PWRCCGPHLXX01,2038,25.17
GLOBAL,PWRCCGPHLXX01,2039,25.11
GLOBAL,PWRCCGPHLXX01,2040,25.05
GLOBAL,PWRCCGPHLXX01,2041,25.05
GLOBAL,PWRCCGPHLXX01,2042,25.05
GLOBAL,PWRCCGPHLXX01,2043,25.05
GLOBAL,PWRCCGPHLXX01,2044,25.05
GLOBAL,PWRCCGPHLXX01,2045,25.05
GLOBAL,PWRCCGPHLXX01,2046,25.05
GLOBAL,PWRCCGPHLXX01,2047,25.05
GLOBAL,PWRCCGPHLXX01,2048,25.05
GLOBAL,PWRCCGPHLXX01,2049,25.05
GLOBAL,PWRCCGPHLXX01,2050,25.05
GLOBAL,PWRCCGPHLXX01,2051,25.05
GLOBAL,PWRCCGPHLXX01,2052,25.05
GLOBAL,PWRCCGPHLXX01,2053,25.05
GLOBAL,PWRCCSPHLXX01,2020,82.05
GLOBAL,PWRCCSPHLXX01,2021,82.05
GLOBAL,PWRCCSPHLXX01,2022,82.05
GLOBAL,PWRCCSPHLXX01,2023,82.05
GLOBAL,PWRCCSPHLXX01,2024,82.05
GLOBAL,PWRCCSPHLXX01,2025,82.05
GLOBAL,PWRCCSPHLXX01,2026,82.05
GLOBAL,PWRCCSPHLXX01,2027,82.05
GLOBAL,PWRCCSPHLXX01,2028,82.05
GLOBAL,PWRCCSPHLXX01,2029,82.05
GLOBAL,PWRCCSPHLXX01,2030,82.05
GLOBAL,PWRCCSPHLXX01,2031,81.88
GLOBAL,PWRCCSPHLXX01,2032,81.71
GLOBAL,PWRCCSPHLXX01,2033,81.54
GLOBAL,PWRCCSPHLXX01,2034,81.37
GLOBAL,PWRCCSPHLXX01,2035,81.2
GLOBAL,PWRCCSPHLXX01,2036,81.03
GLOBAL,PWRCCSPHLXX01,2037,80.86
GLOBAL,PWRCCSPHLXX01,2038,80.69
GLOBAL,PWRCCSPHLXX01,2039,80.52
GLOBAL,PWRCCSPHLXX01,2040,80.35
GLOBAL,PWRCCSPHLXX01,2041,80.35
GLOBAL,PWRCCSPHLXX01,2042,80.35
GLOBAL,PWRCCSPHLXX01,2043,80.35
GLOBAL,PWRCCSPHLXX01,2044,80.35
GLOBAL,PWRCCSPHLXX01,2045,80.35
GLOBAL,PWRCCSPHLXX01,2046,80.35
GLOBAL,PWRCCSPHLXX01,2047,80.35
GLOBAL,PWRCCSPHLXX01,2048,80.35
GLOBAL,PWRCCSPHLXX01,2049,80.35
GLOBAL,PWRCCSPHLXX01,2050,80.35
GLOBAL,PWRCCSPHLXX01,2051,80.35
GLOBAL,PWRCCSPHLXX01,2052,80.35
GLOBAL,PWRCCSPHLXX01,2053,80.35
GLOBAL,PWRCOAPHLXX01,2020,46.77
GLOBAL,PWRCOAPHLXX01,2021,46.77
GLOBAL,PWRCOAPHLXX01,2022,46.77
GLOBAL,PWRCOAPHLXX01,2023,46.77
GLOBAL,PWRCOAPHLXX01,2024,46.77
GLOBAL,PWRCOAPHLXX01,2025,46.77
GLOBAL,PWRCOAPHLXX01,2026,46.77
GLOBAL,PWRCOAPHLXX01,2027,46.77
GLOBAL,PWRCOAPHLXX01,2028,46.77
GLOBAL,PWRCOAPHLXX01,2029,46.77
GLOBAL,PWRCOAPHLXX01,2030,46.77
GLOBAL,PWRCOAPHLXX01,2031,46.67
GLOBAL,PWRCOAPHLXX01,2032,46.57
GLOBAL,PWRCOAPHLXX01,2033,46.47
GLOBAL,PWRCOAPHLXX01,2034,46.37
GLOBAL,PWRCOAPHLXX01,2035,46.28
GLOBAL,PWRCOAPHLXX01,2036,46.18
GLOBAL,PWRCOAPHLXX01,2037,46.08
GLOBAL,PWRCOAPHLXX01,2038,45.98
GLOBAL,PWRCOAPHLXX01,2039,45.88
GLOBAL,PWRCOAPHLXX01,2040,45.78
GLOBAL,PWRCOAPHLXX01,2041,45.78
GLOBAL,PWRCOAPHLXX01,2042,45.78
GLOBAL,PWRCOAPHLXX01,2043,45.78
GLOBAL,PWRCOAPHLXX01,2044,45.78
GLOBAL,PWRCOAPHLXX01,2045,45.78
GLOBAL,PWRCOAPHLXX01,2046,45.78
GLOBAL,PWRCOAPHLXX01,2047,45.78
GLOBAL,PWRCOAPHLXX01,2048,45.78
GLOBAL,PWRCOAPHLXX01,2049,45.78
GLOBAL,PWRCOAPHLXX01,2050,45.78
GLOBAL,PWRCOAPHLXX01,2051,45.78
GLOBAL,PWRCOAPHLXX01,2052,45.78
GLOBAL,PWRCOAPHLXX01,2053,45.78
GLOBAL,PWRCOGPHLXX01,2020,25.65
GLOBAL,PWRCOGPHLXX01,2021,25.65
GLOBAL,PWRCOGPHLXX01,2022,25.65
GLOBAL,PWRCOGPHLXX01,2023,25.65
GLOBAL,PWRCOGPHLXX01,2024,25.65
GLOBAL,PWRCOGPHLXX01,2025,25.65
GLOBAL,PWRCOGPHLXX01,2026,25.65
GLOBAL,PWRCOGPHLXX01,2027,25.65
GLOBAL,PWRCOGPHLXX01,2028,25.65
GLOBAL,PWRCOGPHLXX01,2029,25.65
GLOBAL,PWRCOGPHLXX01,2030,25.65
GLOBAL,PWRCOGPHLXX01,2031,25.62
GLOBAL,PWRCOGPHLXX01,2032,25.58
GLOBAL,PWRCOGPHLXX01,2033,25.54
GLOBAL,PWRCOGPHLXX01,2034,25.51
GLOBAL,PWRCOGPHLXX01,2035,25.48
GLOBAL,PWRCOGPHLXX01,2036,25.44
GLOBAL,PWRCOGPHLXX01,2037,25.4
GLOBAL,PWRCOGPHLXX01,2038,25.37
GLOBAL,PWRCOGPHLXX01,2039,25.34
GLOBAL,PWRCOGPHLXX01,2040,25.3
GLOBAL,PWRCOGPHLXX01,2041,25.3
GLOBAL,PWRCOGPHLXX01,2042,25.3
GLOBAL,PWRCOGPHLXX01,2043,25.3
GLOBAL,PWRCOGPHLXX01,2044,25.3
GLOBAL,PWRCOGPHLXX01,2045,25.3
GLOBAL,PWRCOGPHLXX01,2046,25.3
GLOBAL,PWRCOGPHLXX01,2047,25.3
GLOBAL,PWRCOGPHLXX01,2048,25.3
GLOBAL,PWRCOGPHLXX01,2049,25.3
GLOBAL,PWRCOGPHLXX01,2050,25.3
GLOBAL,PWRCOGPHLXX01,2051,25.3
GLOBAL,PWRCOGPHLXX01,2052,25.3
GLOBAL,PWRCOGPHLXX01,2053,25.3
GLOBAL,PWRCSPPHLXX01,2020,180.0
GLOBAL,PWRCSPPHLXX01,2021,180.0
GLOBAL,PWRCSPPHLXX01,2022,180.0
GLOBAL,PWRCSPPHLXX01,2023,180.0
GLOBAL,PWRCSPPHLXX01,2024,180.0
GLOBAL,PWRCSPPHLXX01,2025,180.0
GLOBAL,PWRCSPPHLXX01,2026,180.0
GLOBAL,PWRCSPPHLXX01,2027,180.0
GLOBAL,PWRCSPPHLXX01,2028,180.0
GLOBAL,PWRCSPPHLXX01,2029,180.0
GLOBAL,PWRCSPPHLXX01,2030,180.0
GLOBAL,PWRCSPPHLXX01,2031,178.0
GLOBAL,PWRCSPPHLXX01,2032,176.0
GLOBAL,PWRCSPPHLXX01,2033,174.0
GLOBAL,PWRCSPPHLXX01,2034,172.0
GLOBAL,PWRCSPPHLXX01,2035,170.0
GLOBAL,PWRCSPPHLXX01,2036,168.0
GLOBAL,PWRCSPPHLXX01,2037,166.0
GLOBAL,PWRCSPPHLXX01,2038,164.0
GLOBAL,PWRCSPPHLXX01,2039,162.0
GLOBAL,PWRCSPPHLXX01,2040,160.0
GLOBAL,PWRCSPPHLXX01,2041,160.0
GLOBAL,PWRCSPPHLXX01,2042,160.0
GLOBAL,PWRCSPPHLXX01,2043,160.0
GLOBAL,PWRCSPPHLXX01,2044,160.0
GLOBAL,PWRCSPPHLXX01,2045,160.0
GLOBAL,PWRCSPPHLXX01,2046,160.0
GLOBAL,PWRCSPPHLXX01,2047,160.0
GLOBAL,PWRCSPPHLXX01,2048,160.0
GLOBAL,PWRCSPPHLXX01,2049,160.0
GLOBAL,PWRCSPPHLXX01,2050,160.0
GLOBAL,PWRCSPPHLXX01,2051,160.0
GLOBAL,PWRCSPPHLXX01,2052,160.0
GLOBAL,PWRCSPPHLXX01,2053,160.0
GLOBAL,PWRGEOPHLXX01,2020,30.2
GLOBAL,PWRGEOPHLXX01,2021,30.2
GLOBAL,PWRGEOPHLXX01,2022,30.2
GLOBAL,PWRGEOPHLXX01,2023,30.2
GLOBAL,PWRGEOPHLXX01,2024,30.2
GLOBAL,PWRGEOPHLXX01,2025,30.2
GLOBAL,PWRGEOPHLXX01,2026,30.2
GLOBAL,PWRGEOPHLXX01,2027,30.2
GLOBAL,PWRGEOPHLXX01,2028,30.2
GLOBAL,PWRGEOPHLXX01,2029,30.2
GLOBAL,PWRGEOPHLXX01,2030,30.2
GLOBAL,PWRGEOPHLXX01,2031,29.94
GLOBAL,PWRGEOPHLXX01,2032,29.67
GLOBAL,PWRGEOPHLXX01,2033,29.4
