REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAPHL,2020,0.0
GLOBAL,MINCOAPHL,2021,0.0
GLOBAL,MINCOAPHL,2022,0.0
GLOBAL,MINCOAPHL,2023,0.0
GLOBAL,MINCOAPHL,2024,0.0
GLOBAL,MINCOAPHL,2025,0.0
GLOBAL,MINCOAPHL,2026,0.0
GLOBAL,MINCOAPHL,2027,0.0
GLOBAL,MINCOAPHL,2028,0.0
GLOBAL,MINCOAPHL,2029,0.0
GLOBAL,MINCOAPHL,2030,0.0
GLOBAL,MINCOAPHL,2031,0.0
GLOBAL,MINCOAPHL,2032,0.0
GLOBAL,MINCOAPHL,2033,0.0
GLOBAL,MINCOAPHL,2034,0.0
GLOBAL,MINCOAPHL,2035,0.0
GLOBAL,MINCOAPHL,2036,0.0
GLOBAL,MINCOAPHL,2037,0.0
GLOBAL,MINCOAPHL,2038,0.0
GLOBAL,MINCOAPHL,2039,0.0
GLOBAL,MINCOAPHL,2040,0.0
GLOBAL,MINCOAPHL,2041,0.0
GLOBAL,MINCOAPHL,2042,0.0
GLOBAL,MINCOAPHL,2043,0.0
GLOBAL,MINCOAPHL,2044,0.0
GLOBAL,MINCOAPHL,2045,0.0
GLOBAL,MINCOAPHL,2046,0.0
GLOBAL,MINCOAPHL,2047,0.0
GLOBAL,MINCOAPHL,2048,0.0
GLOBAL,MINCOAPHL,2049,0.0
GLOBAL,MINCOAPHL,2050,0.0
GLOBAL,MINCOAPHL,2051,0.0
GLOBAL,MINCOAPHL,2052,0.0
GLOBAL,MINCOAPHL,2053,0.0
GLOBAL,MINCOGPHL,2020,0.0
GLOBAL,MINCOGPHL,2021,0.0
GLOBAL,MINCOGPHL,2022,0.0
GLOBAL,MINCOGPHL,2023,0.0
GLOBAL,MINCOGPHL,2024,0.0
GLOBAL,MINCOGPHL,2025,0.0
GLOBAL,MINCOGPHL,2026,0.0
GLOBAL,MINCOGPHL,2027,0.0
GLOBAL,MINCOGPHL,2028,0.0
GLOBAL,MINCOGPHL,2029,0.0
GLOBAL,MINCOGPHL,2030,0.0
GLOBAL,MINCOGPHL,2031,0.0
GLOBAL,MINCOGPHL,2032,0.0
GLOBAL,MINCOGPHL,2033,0.0
GLOBAL,MINCOGPHL,2034,0.0
GLOBAL,MINCOGPHL,2035,0.0
GLOBAL,MINCOGPHL,2036,0.0
GLOBAL,MINCOGPHL,2037,0.0
GLOBAL,MINCOGPHL,2038,0.0
GLOBAL,MINCOGPHL,2039,0.0
GLOBAL,MINCOGPHL,2040,0.0
GLOBAL,MINCOGPHL,2041,0.0
GLOBAL,MINCOGPHL,2042,0.0
GLOBAL,MINCOGPHL,2043,0.0
GLOBAL,MINCOGPHL,2044,0.0
GLOBAL,MINCOGPHL,2045,0.0
GLOBAL,MINCOGPHL,2046,0.0
GLOBAL,MINCOGPHL,2047,0.0
GLOBAL,MINCOGPHL,2048,0.0
GLOBAL,MINCOGPHL,2049,0.0
GLOBAL,MINCOGPHL,2050,0.0
GLOBAL,MINCOGPHL,2051,0.0
GLOBAL,MINCOGPHL,2052,0.0
GLOBAL,MINCOGPHL,2053,0.0
GLOBAL,MINGASPHL,2020,0.0
GLOBAL,MINGASPHL,2021,0.0
GLOBAL,MINGASPHL,2022,0.0
GLOBAL,MINGASPHL,2023,0.0
GLOBAL,MINGASPHL,2024,0.0
GLOBAL,MINGASPHL,2025,0.0
GLOBAL,MINGASPHL,2026,0.0
GLOBAL,MINGASPHL,2027,0.0
GLOBAL,MINGASPHL,2028,0.0
GLOBAL,MINGASPHL,2029,0.0
GLOBAL,MINGASPHL,2030,0.0
GLOBAL,MINGASPHL,2031,0.0
GLOBAL,MINGASPHL,2032,0.0
GLOBAL,MINGASPHL,2033,0.0
GLOBAL,MINGASPHL,2034,0.0
GLOBAL,MINGASPHL,2035,0.0
GLOBAL,MINGASPHL,2036,0.0
GLOBAL,MINGASPHL,2037,0.0
GLOBAL,MINGASPHL,2038,0.0
GLOBAL,MINGASPHL,2039,0.0
GLOBAL,MINGASPHL,2040,0.0
GLOBAL,MINGASPHL,2041,0.0
GLOBAL,MINGASPHL,2042,0.0
GLOBAL,MINGASPHL,2043,0.0
GLOBAL,MINGASPHL,2044,0.0
GLOBAL,MINGASPHL,2045,0.0
GLOBAL,MINGASPHL,2046,0.0
GLOBAL,MINGASPHL,2047,0.0
GLOBAL,MINGASPHL,2048,0.0
GLOBAL,MINGASPHL,2049,0.0
GLOBAL,MINGASPHL,2050,0.0
GLOBAL,MINGASPHL,2051,0.0
GLOBAL,MINGASPHL,2052,0.0
GLOBAL,MINGASPHL,2053,0.0
GLOBAL,MINOILPHL,2020,0.0
GLOBAL,MINOILPHL,2021,0.0
GLOBAL,MINOILPHL,2022,0.0
GLOBAL,MINOILPHL,2023,0.0
GLOBAL,MINOILPHL,2024,0.0
GLOBAL,MINOILPHL,2025,0.0
GLOBAL,MINOILPHL,2026,0.0
GLOBAL,MINOILPHL,2027,0.0
GLOBAL,MINOILPHL,2028,0.0
GLOBAL,MINOILPHL,2029,0.0
GLOBAL,MINOILPHL,2030,0.0
GLOBAL,MINOILPHL,2031,0.0
GLOBAL,MINOILPHL,2032,0.0
GLOBAL,MINOILPHL,2033,0.0
GLOBAL,MINOILPHL,2034,0.0
GLOBAL,MINOILPHL,2035,0.0
GLOBAL,MINOILPHL,2036,0.0
GLOBAL,MINOILPHL,2037,0.0
GLOBAL,MINOILPHL,2038,0.0
GLOBAL,MINOILPHL,2039,0.0
GLOBAL,MINOILPHL,2040,0.0
GLOBAL,MINOILPHL,2041,0.0
GLOBAL,MINOILPHL,2042,0.0
GLOBAL,MINOILPHL,2043,0.0
GLOBAL,MINOILPHL,2044,0.0
GLOBAL,MINOILPHL,2045,0.0
GLOBAL,MINOILPHL,2046,0.0
GLOBAL,MINOILPHL,2047,0.0
GLOBAL,MINOILPHL,2048,0.0
GLOBAL,MINOILPHL,2049,0.0
GLOBAL,MINOILPHL,2050,0.0
GLOBAL,MINOILPHL,2051,0.0
GLOBAL,MINOILPHL,2052,0.0
GLOBAL,MINOILPHL,2053,0.0
GLOBAL,MINOTHPHL,2020,0.0
GLOBAL,MINOTHPHL,2021,0.0
GLOBAL,MINOTHPHL,2022,0.0
GLOBAL,MINOTHPHL,2023,0.0
GLOBAL,MINOTHPHL,2024,0.0
GLOBAL,MINOTHPHL,2025,0.0
GLOBAL,MINOTHPHL,2026,0.0
GLOBAL,MINOTHPHL,2027,0.0
GLOBAL,MINOTHPHL,2028,0.0
GLOBAL,MINOTHPHL,2029,0.0
GLOBAL,MINOTHPHL,2030,0.0
GLOBAL,MINOTHPHL,2031,0.0
GLOBAL,MINOTHPHL,2032,0.0
GLOBAL,MINOTHPHL,2033,0.0
GLOBAL,MINOTHPHL,2034,0.0
GLOBAL,MINOTHPHL,2035,0.0
GLOBAL,MINOTHPHL,2036,0.0
GLOBAL,MINOTHPHL,2037,0.0
GLOBAL,MINOTHPHL,2038,0.0
GLOBAL,MINOTHPHL,2039,0.0
GLOBAL,MINOTHPHL,2040,0.0
GLOBAL,MINOTHPHL,2041,0.0
GLOBAL,MINOTHPHL,2042,0.0
GLOBAL,MINOTHPHL,2043,0.0
GLOBAL,MINOTHPHL,2044,0.0
GLOBAL,MINOTHPHL,2045,0.0
GLOBAL,MINOTHPHL,2046,0.0
GLOBAL,MINOTHPHL,2047,0.0
GLOBAL,MINOTHPHL,2048,0.0
GLOBAL,MINOTHPHL,2049,0.0
GLOBAL,MINOTHPHL,2050,0.0
GLOBAL,MINOTHPHL,2051,0.0
GLOBAL,MINOTHPHL,2052,0.0
GLOBAL,MINOTHPHL,2053,0.0
GLOBAL,MINPETPHL,2020,0.0
GLOBAL,MINPETPHL,2021,0.0
GLOBAL,MINPETPHL,2022,0.0
GLOBAL,MINPETPHL,2023,0.0
GLOBAL,MINPETPHL,2024,0.0
GLOBAL,MINPETPHL,2025,0.0
GLOBAL,MINPETPHL,2026,0.0
GLOBAL,MINPETPHL,2027,0.0
GLOBAL,MINPETPHL,2028,0.0
GLOBAL,MINPETPHL,2029,0.0
GLOBAL,MINPETPHL,2030,0.0
GLOBAL,MINPETPHL,2031,0.0
GLOBAL,MINPETPHL,2032,0.0
GLOBAL,MINPETPHL,2033,0.0
GLOBAL,MINPETPHL,2034,0.0
GLOBAL,MINPETPHL,2035,0.0
GLOBAL,MINPETPHL,2036,0.0
GLOBAL,MINPETPHL,2037,0.0
GLOBAL,MINPETPHL,2038,0.0
GLOBAL,MINPETPHL,2039,0.0
GLOBAL,MINPETPHL,2040,0.0
GLOBAL,MINPETPHL,2041,0.0
GLOBAL,MINPETPHL,2042,0.0
GLOBAL,MINPETPHL,2043,0.0
GLOBAL,MINPETPHL,2044,0.0
GLOBAL,MINPETPHL,2045,0.0
GLOBAL,MINPETPHL,2046,0.0
GLOBAL,MINPETPHL,2047,0.0
GLOBAL,MINPETPHL,2048,0.0
GLOBAL,MINPETPHL,2049,0.0
GLOBAL,MINPETPHL,2050,0.0
GLOBAL,MINPETPHL,2051,0.0
GLOBAL,MINPETPHL,2052,0.0
GLOBAL,MINPETPHL,2053,0.0
GLOBAL,MINURNPHL,2020,0.0
GLOBAL,MINURNPHL,2021,0.0
GLOBAL,MINURNPHL,2022,0.0
GLOBAL,MINURNPHL,2023,0.0
GLOBAL,MINURNPHL,2024,0.0
GLOBAL,MINURNPHL,2025,0.0
GLOBAL,MINURNPHL,2026,0.0
GLOBAL,MINURNPHL,2027,0.0
GLOBAL,MINURNPHL,2028,0.0
GLOBAL,MINURNPHL,2029,0.0
GLOBAL,MINURNPHL,2030,0.0
GLOBAL,MINURNPHL,2031,0.0
GLOBAL,MINURNPHL,2032,0.0
GLOBAL,MINURNPHL,2033,0.0
GLOBAL,MINURNPHL,2034,0.0
GLOBAL,MINURNPHL,2035,0.0
GLOBAL,MINURNPHL,2036,0.0
GLOBAL,MINURNPHL,2037,0.0
GLOBAL,MINURNPHL,2038,0.0
GLOBAL,MINURNPHL,2039,0.0
GLOBAL,MINURNPHL,2040,0.0
GLOBAL,MINURNPHL,2041,0.0
GLOBAL,MINURNPHL,2042,0.0
GLOBAL,MINURNPHL,2043,0.0
GLOBAL,MINURNPHL,2044,0.0
GLOBAL,MINURNPHL,2045,0.0
GLOBAL,MINURNPHL,2046,0.0
GLOBAL,MINURNPHL,2047,0.0
GLOBAL,MINURNPHL,2048,0.0
GLOBAL,MINURNPHL,2049,0.0
GLOBAL,MINURNPHL,2050,0.0
GLOBAL,MINURNPHL,2051,0.0
GLOBAL,MINURNPHL,2052,0.0
GLOBAL,MINURNPHL,2053,0.0
GLOBAL,LNDAGRPHLC01,2020,9.1115
GLOBAL,LNDAGRPHLC01,2021,9.1115
GLOBAL,LNDAGRPHLC01,2022,9.1115
GLOBAL,LNDAGRPHLC01,2023,9.1115
GLOBAL,LNDAGRPHLC01,2024,9.1115
GLOBAL,LNDAGRPHLC01,2025,9.1115
GLOBAL,LNDAGRPHLC01,2026,9.1115
GLOBAL,LNDAGRPHLC01,2027,9.1115
GLOBAL,LNDAGRPHLC01,2028,9.1115
GLOBAL,LNDAGRPHLC01,2029,9.1115
GLOBAL,LNDAGRPHLC01,2030,9.1115
GLOBAL,LNDAGRPHLC01,2031,9.1115
GLOBAL,LNDAGRPHLC01,2032,9.1115
GLOBAL,LNDAGRPHLC01,2033,9.1115
GLOBAL,LNDAGRPHLC01,2034,9.1115
GLOBAL,LNDAGRPHLC01,2035,9.1115
GLOBAL,LNDAGRPHLC01,2036,9.1115
GLOBAL,LNDAGRPHLC01,2037,9.1115
GLOBAL,LNDAGRPHLC01,2038,9.1115
GLOBAL,LNDAGRPHLC01,2039,9.1115
GLOBAL,LNDAGRPHLC01,2040,9.1115
GLOBAL,LNDAGRPHLC01,2041,9.1115
GLOBAL,LNDAGRPHLC01,2042,9.1115
GLOBAL,LNDAGRPHLC01,2043,9.1115
GLOBAL,LNDAGRPHLC01,2044,9.1115
GLOBAL,LNDAGRPHLC01,2045,9.1115
GLOBAL,LNDAGRPHLC01,2046,9.1115
GLOBAL,LNDAGRPHLC01,2047,9.1115
GLOBAL,LNDAGRPHLC01,2048,9.1115
GLOBAL,LNDAGRPHLC01,2049,9.1115
GLOBAL,LNDAGRPHLC01,2050,9.1115
GLOBAL,LNDAGRPHLC01,2051,9.1115
GLOBAL,LNDAGRPHLC01,2052,9.1115
GLOBAL,LNDAGRPHLC01,2053,9.1115
GLOBAL,LNDAGRPHLC02,2020,23.6817
GLOBAL,LNDAGRPHLC02,2021,23.6817
GLOBAL,LNDAGRPHLC02,2022,23.6817
GLOBAL,LNDAGRPHLC02,2023,23.6817
GLOBAL,LNDAGRPHLC02,2024,23.6817
GLOBAL,LNDAGRPHLC02,2025,23.6817
GLOBAL,LNDAGRPHLC02,2026,23.6817
GLOBAL,LNDAGRPHLC02,2027,23.6817
