run,region,year,emission,unit,value,equation,interpretation
Base_v12,RE1,2020,CO2e,MTon,97.27340000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2021,CO2e,MTon,131.38,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2022,CO2e,MTon,137.7819,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2023,CO2e,MTon,144.3663,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2024,CO2e,MTon,151.851,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2025,CO2e,MTon,152.32829999999998,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2026,CO2e,MTon,151.0224,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2027,CO2e,MTon,150.3415,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2028,CO2e,MTon,150.1763,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2029,CO2e,MTon,155.034,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2030,CO2e,MTon,148.83020000000002,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2031,CO2e,MTon,155.37269999999998,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2032,CO2e,MTon,160.2055,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2033,CO2e,MTon,166.6694,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2034,CO2e,MTon,167.5017,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
