run,region,year,timeslice,mode,account,commodity,raw_reference,rounding_adjustment,published_use,published_rate
Base_v12,RE1,2020,1,1,water_vapor_returned,PHL_WTR_EVT,2.7967,0.0000,2.7967,80.06584597766962496421414257
Base_v12,RE1,2020,1,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,0.3120,0.0000,0.3120,8.932150014314342971657600916
Base_v12,RE1,2020,1,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,4.6418,0.0000,4.6418,132.8886344116805038648726023
Base_v12,RE1,2020,2,1,water_vapor_returned,PHL_WTR_EVT,137.2053,0.0000,137.2053,3928.007443458345261952476381
Base_v12,RE1,2020,2,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,5.1426,0.0000,5.1426,147.2258803320927569424563413
Base_v12,RE1,2020,2,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,63.2257,0.0000,63.2257,1810.068708846263956484397366
Base_v12,RE1,2020,3,1,water_vapor_returned,PHL_WTR_EVT,2.7967,0.0000,2.7967,80.06584597766962496421414257
Base_v12,RE1,2020,3,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,0.3120,0.0000,0.3120,8.932150014314342971657600916
Base_v12,RE1,2020,3,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,5.0472,0.0000,5.0472,144.4947036931004866876610364
Base_v12,RE1,2020,4,1,water_vapor_returned,PHL_WTR_EVT,3.3456,0.0000,3.3456,95.78013169195533924992842829
Base_v12,RE1,2020,4,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,0.3294,0.0000,0.3294,9.430289149728027483538505583
Base_v12,RE1,2020,4,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,5.6434,0.0000,5.6434,161.5631262525050100200400802
Base_v12,RE1,2020,5,1,water_vapor_returned,PHL_WTR_EVT,2.7879,0.0000,2.7879,79.81391354136845118809046665
Base_v12,RE1,2020,5,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,0.3067,0.0000,0.3067,8.780417978814772401946750644
Base_v12,RE1,2020,5,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,4.9973,0.0000,4.9973,143.0661322645290581162324649
Base_v12,RE1,2020,6,1,water_vapor_returned,PHL_WTR_EVT,152.5780,0.0000,152.5780,4368.107643859146865158889207
Base_v12,RE1,2020,6,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,5.5543,0.0000,5.5543,159.0123103349556255367878614
Base_v12,RE1,2020,6,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,67.7003,-0.0003,67.7000,1938.162038362439164042370455
Base_v12,RE1,2020,7,1,water_vapor_returned,PHL_WTR_EVT,3.3209,0.0000,3.3209,95.07300314915545376467220155
Base_v12,RE1,2020,7,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,0.3337,0.0000,0.3337,9.553392499284282851417119954
Base_v12,RE1,2020,7,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,5.4336,0.0000,5.4336,155.5568279415974806756369883
Base_v12,RE1,2020,8,1,water_vapor_returned,PHL_WTR_EVT,2.7967,0.0000,2.7967,80.06584597766962496421414257
Base_v12,RE1,2020,8,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,0.3120,0.0000,0.3120,8.932150014314342971657600916
Base_v12,RE1,2020,8,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,5.2127,0.0000,5.2127,149.2327512167191525908960779
Base_v12,RE1,2020,9,1,water_vapor_returned,PHL_WTR_EVT,2.7967,0.0000,2.7967,80.06584597766962496421414257
Base_v12,RE1,2020,9,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,0.3120,0.0000,0.3120,8.932150014314342971657600916
Base_v12,RE1,2020,9,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,4.5109,0.0000,4.5109,129.1411394217005439450329230
Base_v12,RE1,2020,10,1,water_vapor_returned,PHL_WTR_EVT,3.2886,0.0000,3.2886,94.14829659318637274549098196
Base_v12,RE1,2020,10,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,0.3185,0.0000,0.3185,9.118236472945891783567134269
Base_v12,RE1,2020,10,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,4.5420,0.0000,4.5420,130.0314915545376467220154595
Base_v12,RE1,2020,11,1,water_vapor_returned,PHL_WTR_EVT,2.7746,0.0000,2.7746,79.43315201832235900372172917
Base_v12,RE1,2020,11,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,0.2987,0.0000,0.2987,8.551388491268250787288863441
Base_v12,RE1,2020,11,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,4.8635,0.0000,4.8635,139.2356140853134841110793015
Base_v12,RE1,2020,12,1,water_vapor_returned,PHL_WTR_EVT,2.7746,0.0000,2.7746,79.43315201832235900372172917
Base_v12,RE1,2020,12,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,0.2987,0.0000,0.2987,8.551388491268250787288863441
Base_v12,RE1,2020,12,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,-0.0002,0.0002,0,0E+5
Base_v12,RE1,2020,13,1,water_vapor_returned,PHL_WTR_EVT,3.8263,0.0000,3.8263,79.43325721403363089059580652
Base_v12,RE1,2020,13,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,0.4118,0.0000,0.4118,8.548889350217977994602449657
Base_v12,RE1,2020,13,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,6.4456,0.0000,6.4456,133.8094249532904297280465020
Base_v12,RE1,2020,14,1,water_vapor_returned,PHL_WTR_EVT,26.1828,0.0000,26.1828,543.5499273406684658501141789
Base_v12,RE1,2020,14,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,1.2481,0.0000,1.2481,25.91031762507784928378658916
Base_v12,RE1,2020,14,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,17.1581,0.0000,17.1581,356.1988789703134731160473324
Base_v12,RE1,2020,15,1,water_vapor_returned,PHL_WTR_EVT,3.8413,0.0000,3.8413,79.74465434917998754411459415
Base_v12,RE1,2020,15,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,0.4268,0.0000,0.4268,8.860286485364334648121237285
