source_id,year,measure,technology,value,unit,model_role,exact_locator,url
SRC_PHL_DOE_2020_POWER_SITUATION,2020,installed_capacity,oil,569.224,MW,initial_stock,DOE off-grid plant list and Figure 18,https://doe.gov.ph/sites/default/files/pdf/electric_power/2020_power-situation-report_as_of_09-september-2021.pdf
SRC_PHL_DOE_2020_POWER_SITUATION,2020,dependable_capacity,oil,403.166,MW,physical_availability,DOE off-grid plant list,https://doe.gov.ph/sites/default/files/pdf/electric_power/electric_power_plants_lvm_offgrid_december_2020.pdf
SRC_PHL_DOE_2020_POWER_SITUATION,2020,installed_capacity,hydro,30.595,MW,initial_stock,DOE off-grid plant list,https://doe.gov.ph/sites/default/files/pdf/electric_power/electric_power_plants_lvm_offgrid_december_2020.pdf
SRC_PHL_DOE_2020_POWER_SITUATION,2020,installed_capacity,solar,7.230,MW,initial_stock,DOE off-grid plant list,https://doe.gov.ph/sites/default/files/pdf/electric_power/electric_power_plants_lvm_offgrid_december_2020.pdf
SRC_PHL_DOE_2020_POWER_SITUATION,2020,installed_capacity,wind,16.000,MW,initial_stock_and_deployment_evidence,DOE off-grid plant list,https://doe.gov.ph/sites/default/files/pdf/electric_power/electric_power_plants_lvm_offgrid_december_2020.pdf
SRC_PHL_DOE_2020_POWER_SITUATION,2020,gross_generation,total,1618,GWh,exogenous_service_accounting,Figure 18,https://doe.gov.ph/sites/default/files/pdf/electric_power/2020_power-situation-report_as_of_09-september-2021.pdf
SRC_PHL_DOE_2020_POWER_SITUATION,2020,gross_generation_share,oil,91.4,percent,benchmark_only,Figure 18,https://doe.gov.ph/sites/default/files/pdf/electric_power/2020_power-situation-report_as_of_09-september-2021.pdf
SRC_PHL_DOE_2020_POWER_SITUATION,2020,electricity_sales,total,1286,GWh,exogenous_final_demand_reallocation,off-grid sales and consumption figure,https://doe.gov.ph/sites/default/files/pdf/electric_power/2020_power-situation-report_as_of_09-september-2021.pdf
SRC_PHL_DOE_2020_POWER_SITUATION,2020,system_loss,total,192,GWh,delivery_efficiency_driver,off-grid sales and consumption figure,https://doe.gov.ph/sites/default/files/pdf/electric_power/2020_power-situation-report_as_of_09-september-2021.pdf
SRC_PHL_DOE_OFFGRID_PLANTS_2021,2021,installed_capacity,hydro,28.425,MW,deployment_cross_check,technology subtotal,https://legacy.doe.gov.ph/sites/default/files/pdf/electric_power/05_lvm_off-grid_loepp-11302022.pdf
SRC_PHL_DOE_OFFGRID_PLANTS_2021,2021,installed_capacity,solar,7.338,MW,deployment_cross_check,technology subtotal,https://legacy.doe.gov.ph/sites/default/files/pdf/electric_power/05_lvm_off-grid_loepp-11302022.pdf
SRC_PHL_DOE_OFFGRID_PLANTS_2021,2021,installed_capacity,wind,16.000,MW,deployment_cross_check,technology subtotal,https://legacy.doe.gov.ph/sites/default/files/pdf/electric_power/05_lvm_off-grid_loepp-11302022.pdf
SRC_PHL_DOE_2022_POWER_SITUATION,2022,new_installed_capacity,oil,31,MW,deployment_envelope_evidence,Supply section,https://legacy.doe.gov.ph/sites/default/files/pdf/electric_power/2022_Power_Situation_Report_as_of_02Dec2024_ADLGB_DICE_CLEAN_rev1_FINAL.pdf
SRC_PHL_DOE_2022_OFFGRID_GENERATION,2022,gross_generation,oil,1500.396,GWh,benchmark_only,Philippines off-grid plant-type total,https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/2022-MONTHLY-GROSS-GENERATION_power_statistics_10_per_grid_per_technology-08292023.pdf
SRC_PHL_DOE_2022_OFFGRID_GENERATION,2022,gross_generation,renewable,179.077,GWh,benchmark_only,Philippines off-grid plant-type total,https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/2022-MONTHLY-GROSS-GENERATION_power_statistics_10_per_grid_per_technology-08292023.pdf
SRC_PHL_DOE_2022_OFFGRID_GENERATION,2022,gross_generation,coal,89.492,GWh,benchmark_only_unrepresented,Philippines off-grid plant-type total,https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/2022-MONTHLY-GROSS-GENERATION_power_statistics_10_per_grid_per_technology-08292023.pdf
SRC_PHL_DOE_2022_OFFGRID_GENERATION,2022,gross_generation,total,1768.966,GWh,exogenous_service_accounting,Philippines off-grid total,https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/2022-MONTHLY-GROSS-GENERATION_power_statistics_10_per_grid_per_technology-08292023.pdf
