REGION,TECHNOLOGY,VALUE
GLOBAL,PWRBCKPHLXX,31.536
GLOBAL,PWRBIOPHLXX01,31.536
GLOBAL,PWRCCGPHLXX00,31.536
GLOBAL,PWRCCGPHLXX01,31.536
GLOBAL,PWRCCSPHLXX01,31.536
GLOBAL,PWRCOAPHLXX01,31.536
GLOBAL,PWRCOGPHLXX01,31.536
GLOBAL,PWRCSPPHLXX01,31.536
GLOBAL,PWRGEOPHLXX01,31.536
GLOBAL,PWRHYDPHLXX01,31.536
GLOBAL,PWROCGPHLXX00,31.536
GLOBAL,PWROCGPHLXX01,31.536
GLOBAL,PWROILPHLXX01,31.536
GLOBAL,PWROTHPHLXX01,31.536
GLOBAL,PWRPETPHLXX01,31.536
GLOBAL,PWRSPVPHLXX01,31.536
GLOBAL,PWRTRNPHLXX,31.536
GLOBAL,PWRURNPHLXX01,31.536
GLOBAL,PWRWASPHLXX01,31.536
GLOBAL,PWRWAVPHLXX01,31.536
GLOBAL,PWRWOFPHLXX01,31.536
GLOBAL,PWRWONPHLXX01,31.536
GLOBAL,PWRTRNA01,31.536
