year,baseline_sad,fsh_processing_useful_service,direct_service_carveout,revised_sad
2020,207.489160,1.56306818,1.56306818,205.926092
2021,212.160122,1.64133221,1.64133221,210.518790
2022,216.831084,1.71959623,1.71959623,215.111488
2023,221.502046,1.79786026,1.79786026,219.704186
2024,226.173008,1.87612428,1.87612428,224.296884
2025,230.843970,1.95438831,1.95438831,228.889582
2026,235.908268,2.03265233,2.03265233,233.875616
2027,240.972567,2.11091636,2.11091636,238.861651
2028,246.036865,2.18918038,2.18918038,243.847685
2029,251.101163,2.26744441,2.26744441,248.833719
2030,256.165462,2.34570843,2.34570843,253.819754
2031,261.919029,2.42397245,2.42397245,259.495057
2032,267.672596,2.50223648,2.50223648,265.170360
2033,273.426163,2.58050050,2.58050050,270.845662
2034,279.179730,2.65876453,2.65876453,276.520965
2035,284.933297,2.73702855,2.73702855,282.196268
2036,291.778283,2.81529258,2.81529258,288.962990
2037,298.623269,2.89355660,2.89355660,295.729712
2038,305.468255,2.97182063,2.97182063,302.496434
2039,312.313241,3.05008465,3.05008465,309.263156
2040,319.158227,3.12834868,3.12834868,316.029878
2041,327.125623,3.20661270,3.20661270,323.919010
2042,335.093020,3.28487673,3.28487673,331.808143
2043,343.060416,3.36314075,3.36314075,339.697275
2044,351.027813,3.44140478,3.44140478,347.586408
2045,358.995209,3.51966880,3.51966880,355.475540
2046,368.079756,3.59793283,3.59793283,364.481823
2047,377.164302,3.67619685,3.67619685,373.488105
2048,386.248848,3.75446088,3.75446088,382.494387
2049,395.333395,3.83272490,3.83272490,391.500670
2050,404.417941,3.91098893,3.91098893,400.506952
2051,414.405956,3.98925295,3.98925295,410.416703
2052,424.393971,4.06751698,4.06751698,420.326454
2053,434.381986,4.14578100,4.14578100,430.236205
