CalculationId,Question,Formula,Inputs,Output,Implementation,Checks
CAL-POWER-RC,How is official 2020 power capacity introduced without inventing plant vintages?,"RC_v14[t,y] = RC_v13[t,y] * DOE_capacity_2020[t] / RC_v13[t,2020]",DOE Table 26 capacities; v13 RYT.RC profiles,Eight annual power residual-capacity profiles,create_philippines_v14_stock_turnover.py::apply_power_stock_and_dispatch,"Official component sum, positive inherited base, exact 2020 target match"
CAL-BOUND-REMOVAL,Which historical activity constraints are removed?,"TAL=0; TAU=999999, except renewable TAU=technical resource ceiling",v13 RYT.TAL/TAU; v13 post-2024 resource ceilings,Exact cells listed in PARAMETER_CHANGE_LOG.csv,apply_power_stock_and_dispatch and apply_stock_groups,No stock-group member has a non-default 2020 activity bound
CAL-INIT-NCI,How is the 2020 physical stock protected without pinning activity?,"TAMaxCI[t,2020] = 0 for recalibrated end-use and explicitly classified physical power/fuel-conversion technologies; retain inherited TAMaxCI for capacity-free pass-throughs",Initialization-year convention,No endogenous 2020 physical-stock addition; zero-cost sectoral electricity pass-throughs remain operable,apply_power_stock_and_dispatch and apply_stock_groups,Explicit physical/pass-through partition covers every PHL_POW_* technology; source and generated 2020 bounds checked
CAL-TECH-ADOPTION-CAP,How is rapid technology takeover limited without activity or time-limited pins?,"NCC1: NewCapacity[t,y] <= TAMaxCI[t,y] = base class adoption allowance[y] + the same technology's allowed NewCapacity[t,y-OL[t]] when that vintage retires, for every class member and year",Local model.v.5.4 NCC1 equation; documented replacement or registration series; UDC and permit-network runtime A/Bs; unconstrained annual activity-share diagnostic,"A full-horizon upper bound on each option's annual adoption; no TAL, TAU, fuel share or activity share is imposed",apply_stock_groups,Every member/year TAMaxCI equals the documented class series; generated NCC1 rows inspected; bounded normal-chain CBC solve
CAL-HEAT-STRUCTURE,Should PHL_POW_HEAT remain as a geothermal coproduct?,Remove COM_te2a0 and COM_pesfw and the PHL_POW_GEO_OLD→COM_te2a0 OAR only if the source graph has no other producer/consumer/constraint link and RYC/RYCTs contain no nonzero demand.,DS-MODEL-V13;DS-WGC-DIRECT-USE-2020;DS-DOE-EBT-PRIMER-2021;DS-IRENA-SEA-2018,Two stranded commodities and one nonphysical output link removed; geothermal electricity output retained.,create_philippines_v14_stock_turnover.py::remove_unused_heat_commodities,Exact source-reference guard; zero-demand/profile guard; post-UpdateCase absence assertions; full matrix and CBC A/B
CAL-TURN_AGR_HEAT-STOCK,How is the Agriculture heat initial stock derived?,validated_v13_base_total_capacity_2020 from full-precision CBC results × 1.000001 for numerical headroom,DS-MODEL-V13;DS-V13-BASE-CAPACITY,"{""PHL_AGR_HEAT_BIOM"": 0.004023596324, ""PHL_AGR_HEAT_COAL"": 0.0, ""PHL_AGR_HEAT_ELE"": 0.0, ""PHL_AGR_HEAT_NG"": 0.326281616281, ""PHL_AGR_HEAT_OIL"": 0.038722654723}",create_philippines_v14_stock_turnover.py::apply_stock_groups,Demand2020=0; source and model units retained
CAL-TURN_AGR_HEAT-TURN,How is annual Agriculture heat turnover limited?,scheduled initial-stock retirement + positive service growth / minimum class CAU + recursive replacement of allowed new-capacity vintages at operational life,replacement=0.014761114693; service-demand series; registrations where applicable,"{""PHL_AGR_HEAT_BIOM"": {""2020"": 0.0, ""2021"": 0.014761114693, ""2022"": 0.014761114693, ""2023"": 0.014761114693, ""2024"": 0.014761114694, ""2025"": 0.014761114693, ""2026"": 0.014761114693, ""2027"": 0.014761114693, ""2028"": 0.014761114694, ""2029"": 0.014761114693, ""2030"": 0.014761114692, ""2031"": 0.014761114693, ""2032"": 0.014761114694, ""2033"": 0.014761114693, ""2034"": 0.014761114693, ""2035"": 0.014761114693, ""2036"": 0.014761114694, ""2037"": 0.014761114692, ""2038"": 0.014761114693, ""2039"": 0.014761114693, ""2040"": 0.014761114693, ""2041"": 0.014761114693, ""2042"": 0.014761114693, ""2043"": 0.014761114693, ""2044"": 0.014761114694, ""2045"": 0.014761114693, ""2046"": 0.014761114693, ""2047"": 0.014761114693, ""2048"": 0.014761114693, ""2049"": 0.014761114694, ""2050"": 0.014761114693, ""2051"": 0.014761114693, ""2052"": 0.014761114693, ""2053"": 0.014761114694}, ""PHL_AGR_HEAT_COAL"": {""2020"": 0.0, ""2021"": 0.014761114693, ""2022"": 0.014761114693, ""2023"": 0.014761114693, ""2024"": 0.014761114694, ""2025"": 0.014761114693, ""2026"": 0.014761114693, ""2027"": 0.014761114693, ""2028"": 0.014761114694, ""2029"": 0.014761114693, ""2030"": 0.014761114692, ""2031"": 0.014761114693, ""2032"": 0.014761114694, ""2033"": 0.014761114693, ""2034"": 0.014761114693, ""2035"": 0.014761114693, ""2036"": 0.014761114694, ""2037"": 0.014761114692, ""2038"": 0.014761114693, ""2039"": 0.014761114693, ""2040"": 0.014761114693, ""2041"": 0.014761114693, ""2042"": 0.014761114693, ""2043"": 0.014761114693, ""2044"": 0.014761114694, ""2045"": 0.014761114693, ""2046"": 0.014761114693, ""2047"": 0.014761114693, ""2048"": 0.014761114693, ""2049"": 0.014761114694, ""2050"": 0.014761114693, ""2051"": 0.014761114693, ""2052"": 0.014761114693, ""2053"": 0.014761114694}, ""PHL_AGR_HEAT_ELE"": {""2020"": 0.0, ""2021"": 0.014761114693, ""2022"": 0.014761114693, ""2023"": 0.014761114693, ""2024"": 0.014761114694, ""2025"": 0.014761114693, ""2026"": 0.014761114693, ""2027"": 0.014761114693, ""2028"": 0.014761114694, ""2029"": 0.014761114693, ""2030"": 0.014761114692, ""2031"": 0.014761114693, ""2032"": 0.014761114694, ""2033"": 0.014761114693, ""2034"": 0.014761114693, ""2035"": 0.014761114693, ""2036"": 0.014761114694, ""2037"": 0.014761114692, ""2038"": 0.014761114693, ""2039"": 0.014761114693, ""2040"": 0.014761114693, ""2041"": 0.029522229386, ""2042"": 0.029522229386, ""2043"": 0.029522229386, ""2044"": 0.029522229388, ""2045"": 0.029522229386, ""2046"": 0.014761114693, ""2047"": 0.014761114693, ""2048"": 0.014761114694, ""2049"": 0.014761114693, ""2050"": 0.014761114692, ""2051"": 0.014761114693, ""2052"": 0.014761114694, ""2053"": 0.014761114693}, ""PHL_AGR_HEAT_NG"": {""2020"": 0.0, ""2021"": 0.014761114693, ""2022"": 0.014761114693, ""2023"": 0.014761114693, ""2024"": 0.014761114694, ""2025"": 0.014761114693, ""2026"": 0.014761114693, ""2027"": 0.014761114693, ""2028"": 0.014761114694, ""2029"": 0.014761114693, ""2030"": 0.014761114692, ""2031"": 0.014761114693, ""2032"": 0.014761114694, ""2033"": 0.014761114693, ""2034"": 0.014761114693, ""2035"": 0.014761114693, ""2036"": 0.014761114694, ""2037"": 0.014761114692, ""2038"": 0.014761114693, ""2039"": 0.014761114693, ""2040"": 0.014761114693, ""2041"": 0.014761114693, ""2042"": 0.014761114693, ""2043"": 0.014761114693, ""2044"": 0.014761114694, ""2045"": 0.014761114693, ""2046"": 0.014761114693, ""2047"": 0.014761114693, ""2048"": 0.014761114693, ""2049"": 0.014761114694, ""2050"": 0.014761114693, ""2051"": 0.014761114693, ""2052"": 0.014761114693, ""2053"": 0.014761114694}, ""PHL_AGR_HEAT_OIL"": {""2020"": 0.0, ""2021"": 0.014761114693, ""2022"": 0.014761114693, ""2023"": 0.014761114693, ""2024"": 0.014761114694, ""2025"": 0.014761114693, ""2026"": 0.014761114693, ""2027"": 0.014761114693, ""2028"": 0.014761114694, ""2029"": 0.014761114693, ""2030"": 0.014761114692, ""2031"": 0.014761114693, ""2032"": 0.014761114694, ""2033"": 0.014761114693, ""2034"": 0.014761114693, ""2035"": 0.014761114693, ""2036"": 0.014761114694, ""2037"": 0.014761114692, ""2038"": 0.014761114693, ""2039"": 0.014761114693, ""2040"": 0.014761114693, ""2041"": 0.014761114693, ""2042"": 0.014761114693, ""2043"": 0.014761114693, ""2044"": 0.014761114694, ""2045"": 0.014761114693, ""2046"": 0.014761114693, ""2047"": 0.014761114693, ""2048"": 0.014761114693, ""2049"": 0.014761114694, ""2050"": 0.014761114693, ""2051"": 0.014761114693, ""2052"": 0.014761114693, ""2053"": 0.014761114694}}",create_philippines_v14_stock_turnover.py::apply_stock_groups,Every class-member TAMaxCI equals the annual series; 2020 is zero and no TAL/TAU activity limit is added
CAL-TURN_INDU_LPH-STOCK,How is the Industry low-temperature heat initial stock derived?,validated_v13_base_total_capacity_2020 from full-precision CBC results × 1.000001 for numerical headroom,DS-MODEL-V13;DS-V13-BASE-CAPACITY,"{""PHL_INDU_OTHLPH_BIOM"": 0.476566846566, ""PHL_INDU_OTHLPH_COAL"": 1.167365167364, ""PHL_INDU_OTHLPH_ELE"": 0.0, ""PHL_INDU_OTHLPH_H2"": 0.0, ""PHL_INDU_OTHLPH_NG"": 0.023655523655, ""PHL_INDU_OTHLPH_OIL"": 1.622115722114}",create_philippines_v14_stock_turnover.py::apply_stock_groups,Demand2020=0; source and model units retained
CAL-TURN_INDU_LPH-TURN,How is annual Industry low-temperature heat turnover limited?,scheduled initial-stock retirement + positive service growth / minimum class CAU + recursive replacement of allowed new-capacity vintages at operational life,replacement=0.147809287609; service-demand series; registrations where applicable,"{""PHL_INDU_OTHLPH_BIOM"": {""2020"": 0.0, ""2021"": 0.147809287609, ""2022"": 0.147809287608, ""2023"": 0.14780928761, ""2024"": 0.147809287608, ""2025"": 0.14780928761, ""2026"": 0.147809287609, ""2027"": 0.147809287609, ""2028"": 0.147809287609, ""2029"": 0.147809287609, ""2030"": 0.14780928761, ""2031"": 0.147809287609, ""2032"": 0.147809287608, ""2033"": 0.147809287609, ""2034"": 0.147809287611, ""2035"": 0.147809287607, ""2036"": 0.14780928761, ""2037"": 0.14780928761, ""2038"": 0.147809287608, ""2039"": 0.14780928761, ""2040"": 0.147809287609, ""2041"": 0.066703501503, ""2042"": 0.066703501503, ""2043"": 0.066703501505, ""2044"": 0.066703501502, ""2045"": 0.066703501504, ""2046"": 0.147809287609, ""2047"": 0.147809287608, ""2048"": 0.14780928761, ""2049"": 0.147809287608, ""2050"": 0.14780928761, ""2051"": 0.147809287609, ""2052"": 0.147809287609, ""2053"": 0.147809287609}, ""PHL_INDU_OTHLPH_COAL"": {""2020"": 0.0, ""2021"": 0.147809287609, ""2022"": 0.147809287608, ""2023"": 0.14780928761, ""2024"": 0.147809287608, ""2025"": 0.14780928761, ""2026"": 0.147809287609, ""2027"": 0.147809287609, ""2028"": 0.147809287609, ""2029"": 0.147809287609, ""2030"": 0.14780928761, ""2031"": 0.147809287609, ""2032"": 0.147809287608, ""2033"": 0.147809287609, ""2034"": 0.147809287611, ""2035"": 0.147809287607, ""2036"": 0.14780928761, ""2037"": 0.14780928761, ""2038"": 0.147809287608, ""2039"": 0.14780928761, ""2040"": 0.147809287609, ""2041"": 0.066703501503, ""2042"": 0.066703501503, ""2043"": 0.066703501505, ""2044"": 0.066703501502, ""2045"": 0.066703501504, ""2046"": 0.147809287609, ""2047"": 0.147809287608, ""2048"": 0.14780928761, ""2049"": 0.147809287608, ""2050"": 0.14780928761, ""2051"": 0.147809287609, ""2052"": 0.147809287609, ""2053"": 0.147809287609}, ""PHL_INDU_OTHLPH_ELE"": {""2020"": 0.0, ""2021"": 0.147809287609, ""2022"": 0.147809287608, ""2023"": 0.14780928761, ""2024"": 0.147809287608, ""2025"": 0.14780928761, ""2026"": 0.147809287609, ""2027"": 0.147809287609, ""2028"": 0.147809287609, ""2029"": 0.147809287609, ""2030"": 0.14780928761, ""2031"": 0.147809287609, ""2032"": 0.147809287608, ""2033"": 0.147809287609, ""2034"": 0.147809287611, ""2035"": 0.147809287607, ""2036"": 0.14780928761, ""2037"": 0.14780928761, ""2038"": 0.147809287608, ""2039"": 0.14780928761, ""2040"": 0.147809287609, ""2041"": 0.066703501503, ""2042"": 0.066703501503, ""2043"": 0.066703501505, ""2044"": 0.066703501502, ""2045"": 0.066703501504, ""2046"": 0.147809287609, ""2047"": 0.147809287608, ""2048"": 0.14780928761, ""2049"": 0.147809287608, ""2050"": 0.14780928761, ""2051"": 0.147809287609, ""2052"": 0.147809287609, ""2053"": 0.147809287609}, ""PHL_INDU_OTHLPH_H2"": {""2020"": 0.0, ""2021"": 0.147809287609, ""2022"": 0.147809287608, ""2023"": 0.14780928761, ""2024"": 0.147809287608, ""2025"": 0.14780928761, ""2026"": 0.147809287609, ""2027"": 0.147809287609, ""2028"": 0.147809287609, ""2029"": 0.147809287609, ""2030"": 0.14780928761, ""2031"": 0.147809287609, ""2032"": 0.147809287608, ""2033"": 0.147809287609, ""2034"": 0.147809287611, ""2035"": 0.147809287607, ""2036"": 0.14780928761, ""2037"": 0.14780928761, ""2038"": 0.147809287608, ""2039"": 0.14780928761, ""2040"": 0.147809287609, ""2041"": 0.066703501503, ""2042"": 0.066703501503, ""2043"": 0.066703501505, ""2044"": 0.066703501502, ""2045"": 0.066703501504, ""2046"": 0.147809287609, ""2047"": 0.147809287608, ""2048"": 0.14780928761, ""2049"": 0.147809287608, ""2050"": 0.14780928761, ""2051"": 0.147809287609, ""2052"": 0.147809287609, ""2053"": 0.147809287609}, ""PHL_INDU_OTHLPH_NG"": {""2020"": 0.0, ""2021"": 0.147809287609, ""2022"": 0.147809287608, ""2023"": 0.14780928761, ""2024"": 0.147809287608, ""2025"": 0.14780928761, ""2026"": 0.147809287609, ""2027"": 0.147809287609, ""2028"": 0.147809287609, ""2029"": 0.147809287609, ""2030"": 0.14780928761, ""2031"": 0.147809287609, ""2032"": 0.147809287608, ""2033"": 0.147809287609, ""2034"": 0.147809287611, ""2035"": 0.147809287607, ""2036"": 0.14780928761, ""2037"": 0.14780928761, ""2038"": 0.147809287608, ""2039"": 0.14780928761, ""2040"": 0.147809287609, ""2041"": 0.066703501503, ""2042"": 0.066703501503, ""2043"": 0.066703501505, ""2044"": 0.066703501502, ""2045"": 0.066703501504, ""2046"": 0.147809287609, ""2047"": 0.147809287608, ""2048"": 0.14780928761, ""2049"": 0.147809287608, ""2050"": 0.14780928761, ""2051"": 0.147809287609, ""2052"": 0.147809287609, ""2053"": 0.147809287609}, ""PHL_INDU_OTHLPH_OIL"": {""2020"": 0.0, ""2021"": 0.147809287609, ""2022"": 0.147809287608, ""2023"": 0.14780928761, ""2024"": 0.147809287608, ""2025"": 0.14780928761, ""2026"": 0.147809287609, ""2027"": 0.147809287609, ""2028"": 0.147809287609, ""2029"": 0.147809287609, ""2030"": 0.14780928761, ""2031"": 0.147809287609, ""2032"": 0.147809287608, ""2033"": 0.147809287609, ""2034"": 0.147809287611, ""2035"": 0.147809287607, ""2036"": 0.14780928761, ""2037"": 0.14780928761, ""2038"": 0.147809287608, ""2039"": 0.14780928761, ""2040"": 0.147809287609, ""2041"": 0.214512789112, ""2042"": 0.214512789111, ""2043"": 0.214512789115, ""2044"": 0.21451278911, ""2045"": 0.214512789114, ""2046"": 0.147809287609, ""2047"": 0.147809287609, ""2048"": 0.147809287609, ""2049"": 0.147809287609, ""2050"": 0.14780928761, ""2051"": 0.147809287609, ""2052"": 0.147809287608, ""2053"": 0.147809287609}}",create_philippines_v14_stock_turnover.py::apply_stock_groups,Every class-member TAMaxCI equals the annual series; 2020 is zero and no TAL/TAU activity limit is added
CAL-TURN_INDU_HPH-STOCK,How is the Industry high-temperature heat initial stock derived?,validated_v13_base_total_capacity_2020 from full-precision CBC results × 1.000001 for numerical headroom,DS-MODEL-V13;DS-V13-BASE-CAPACITY,"{""PHL_INDU_OTHHPH_BIOM"": 0.476566846566, ""PHL_INDU_OTHHPH_BIOM_CCS"": 0.0, ""PHL_INDU_OTHHPH_COAL"": 1.167365167364, ""PHL_INDU_OTHHPH_COAL_CCS"": 0.0, ""PHL_INDU_OTHHPH_H2"": 0.0, ""PHL_INDU_OTHHPH_NG"": 0.023655523655, ""PHL_INDU_OTHHPH_NG_CCS"": 0.0, ""PHL_INDU_OTHHPH_OIL"": 1.622115722114}",create_philippines_v14_stock_turnover.py::apply_stock_groups,Demand2020=0; source and model units retained
