SourceId,Institution,Title,ReferenceDate,RetrievedDate,Geography,Variables,ModelUse,Quality,URL,License,Notes
DS-MODEL-V13,MUIOGO repository,Philippines_v13_CALIBRATION source parameter files,2026-07-27,2026-07-27,Philippines,"Technology definitions, 2020 observed activity bounds, final demands, capacity-to-activity factors, operational lives, residual-capacity profiles, costs and policy scenarios",Unchanged baseline; source for activity-to-stock calculations and inherited assumptions,Model source; mixed primary and inherited calibration evidence,,Repository terms,Hashes of every copied source JSON are recorded in the generation manifest.
DS-V13-BASE-CAPACITY,MUIOGO repository,Philippines_v13_CALIBRATION BASE_V13 full-precision TotalCapacityAnnual result,2026-07-27,2026-07-27,Philippines,2020 total capacity by technology parsed from the optimal CBC results.txt; generated CSV retained as a rounded cross-check,Effective initial stock for end-use classes without an official physical-stock mapping,"Derived model result; solver status, result timestamp, case identity, full technology coverage and file hashes are checked by the generator",,Repository terms,This transfers the capacity that served observed 2020 activity into ResidualCapacity; it does not transfer or retain the activity bound. Positive inherited effective stocks receive a separately documented one-part-per-million numerical headroom because the rounded CSV export was not sufficiently precise to reproduce the source model's exact time-slice balance.
DS-DOE-EPIRA-2020,Philippines Department of Energy,"38th Status Report on EPIRA Implementation, Table 26",2020-12-31,2026-07-27,Philippines,Installed generating capacity by fuel and renewable technology,2020 power residual-capacity totals,Primary official administrative statistics,https://legacy.doe.gov.ph/sites/default/files/pdf/electric_power/38th_epira_report_april-2021.pdf,Philippines government publication,"Table 26 reports 26,249.9 MW total; displayed component values sum to 26,250.0 MW because of rounding."
DS-LTO-AR-2020,Land Transportation Office,Annual Report Q4 2020: motor vehicles registered by type,2020-12-31,2026-07-27,Philippines,Registered stock and new registrations by vehicle type,"2020 car, bus and motorcycle/tricycle stock; road-market turnover ceilings",Primary official administrative statistics,https://lto.gov.ph/wp-content/uploads/2023/09/Annual-Report_q4-2020.pdf,Philippines government publication,The model's van and freight classes do not map one-to-one to LTO utility vehicle and truck categories.
DS-PSA-PSY-2020,Philippine Statistics Authority,"2020 Philippine Statistical Yearbook, Chapter 13",2020,2026-07-27,Philippines,Registered and newly registered motor vehicles by type,Independent official cross-check of LTO totals and new registrations,Primary official statistical compilation using LTO data,https://psa.gov.ph/system/files/psy/2020%20PSY_final.pdf?vcode=97,Philippines government publication,"The yearbook reports 11,851,192 registered vehicles and 2,289,489 newly registered vehicles in 2020."
DS-NTRC-LTO-2020,National Tax Research Center,"Philippine Public Finance 2020, registered vehicles by type",2020,2026-07-27,Philippines,"Cars, utility vehicles, trucks, buses, motorcycles/tricycles and trailers",Readable official mirror and cross-check of the LTO stock table,Government publication citing LTO,https://www.ntrc.gov.ph/images/Publications/2020-Philippine-Public-Finance.pdf,Philippines government publication,"Used as a cross-check, not as a replacement for the LTO source."
DS-PSA-CPH-2020,Philippine Statistics Authority,"Household Characteristics, 2020 Census of Population and Housing",2020,2026-07-27,Philippines,Primary household cooking fuel shares,2020 household cooking initial-capacity mix,Primary official census statistics,https://psa.gov.ph/content/household-characteristics-2020-census-population-and-housing?vcode=-3,Philippines government publication,Published shares sum to 99.6% because of rounding and are normalized in the calculation.
DS-OSEMOSYS-DOC,OSeMOSYS,OSeMOSYS model documentation: model structure and parameters,current documentation retrieved 2026-07-27,2026-07-27,Global,"ResidualCapacity, OperationalLife, CapacityToActivityUnit, activity bounds and user-defined constraints",Parameter semantics and stock/turnover formulation,Primary official model documentation,https://osemosys.readthedocs.io/en/latest/manual/Structure%20of%20OSeMOSYS.html,Documentation terms,The local MUIO formulation in WebAPP/SOLVERs/model.v.5.4.txt is also checked and hashed in the manifest.
DS-EDGAR-WB-V5,Project workbook using EDGAR and Philippine comparisons,260726_PHL_CLEWS_EAR_PM25_kt_CO2e_v5_EDGAR.xlsx,2026-07-26,2026-07-27,Philippines,PM2.5 and CO2e activity-emission ratios,Inherited v13 environmental coefficients only; not used to infer stock or turnover,Project calculation workbook; official national sources preferred for activity and stock,,Project file,The workbook hash is recorded so the v13 environmental calibration remains traceable.
DS-WGC-DIRECT-USE-2020,International Geothermal Association / World Geothermal Congress,Geothermal Energy Development in the Philippines: Country Update,2019 data; published for WGC 2020+1,2026-07-28,Philippines,Installed thermal capacity and annual direct geothermal use by application,System-boundary test for PHL_POW_HEAT and scale comparison with the modeled output,Country update by Philippine geothermal practitioners using the WGC standard reporting table,https://www.worldgeothermal.org/pdf/IGAstandard/WGC/2020/01018.pdf,Conference publication terms,"Reports 1.87 MWt and 12.65 TJ/year in 2019, all bathing and swimming; no industrial process heat, district heating or agricultural drying is reported."
DS-WGC-DIRECT-USE-2005,International Geothermal Association / World Geothermal Congress,Geothermal Development in the Philippines: Country Update,2004 data; published 2005,2026-07-28,Philippines,Historic direct-use installations and operating status,Historical cross-check of agricultural geothermal dryers,Country update by Philippine geothermal practitioners,https://www.geothermal-energy.org/pdf/IGAstandard/WGC/2005/1401.pdf,Conference publication terms,Documents historic crop-drying projects and reports the Manito and Palinpinon dryers decommissioned in 1997 and 1998.
DS-DOE-EBT-PRIMER-2021,Philippines Department of Energy,Philippine Energy Balance Table Primer,2021,2026-07-28,Philippines,"National energy-balance scope, commodities, transformations and final consumption",Official system-boundary cross-check for useful heat and geothermal transformation flows,Primary official methodology,https://doe.gov.ph/sites/default/files/pdf/energy_statistics/doe-ebt-primer-2021.pdf,Philippines government publication,Used to test whether the inherited commodity represents a documented national delivered-heat balance item; it does not supply a one-for-one geothermal CHP coefficient.
DS-DOE-PES-2020,Philippines Department of Energy,2020 Philippine Energy Situationer,2020,2026-07-28,Philippines,"National energy supply, transformation and final energy consumption",Official cross-check for a national geothermal heat or district-heating market,Primary official energy statistics,https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/doe-pes-kes-2020-rev_13June2023.pdf,Philippines government publication,No evidence was identified for modeling power-sector geothermal activity as one-for-one delivered useful heat.
