factor_id,source_id,nfr_category,technology_or_fuel,pollutant,value,unit,lower_95,upper_95,exact_locator,model_application,boundary_note
EF_PHL_V19_POWER_COAL,SRC_EEA_2023_ENERGY_INDUSTRIES,1.A.1.a,hard coal,PM2.5,3.4,g/GJ,0.9,90,Table 3-2 page 15,PHL_POW_PP_COAL_CCS fuel input,Filterable PM; no CCS PM-control credit inferred
EF_PHL_V19_POWER_NG,SRC_EEA_2023_ENERGY_INDUSTRIES,1.A.1.a,natural gas,PM2.5,0.14,g/GJ,0.09,0.19,Table 3-4 page 17,PHL_POW_PP_NGCC_CCS fuel input,Published value is below quantification limit; guidebook says it may be used directly
EF_PHL_V19_POWER_BIOM,SRC_EEA_2023_ENERGY_INDUSTRIES,1.A.1.a,solid biomass,PM2.5,133,g/GJ,66,266,Table 3-8 page 19,PHL_POW_PP_BIOM_CCS fuel input,Filterable PM; no CCS PM-control credit inferred
EF_PHL_V19_INDU_COAL,SRC_EEA_2023_INDUSTRY_COMBUSTION,1.A.2,solid fuels,PM2.5,108,g/GJ,60,220,Table 3-2 page 13,Industry process-heat coal input,Tier 1 conventional combustion
EF_PHL_V19_INDU_NG,SRC_EEA_2023_INDUSTRY_COMBUSTION,1.A.2,gaseous fuels,PM2.5,0.78,g/GJ,0.47,1.09,Table 3-3 page 14,Industry process-heat gas input,Tier 1 conventional combustion
EF_PHL_V19_INDU_OIL,SRC_EEA_2023_INDUSTRY_COMBUSTION,1.A.2,liquid fuels,PM2.5,20,g/GJ,12,28,Table 3-4 page 15,Industry process-heat oil input,Tier 1 conventional combustion
EF_PHL_V19_INDU_BIOM,SRC_EEA_2023_INDUSTRY_COMBUSTION,1.A.2,biomass,PM2.5,140,g/GJ,70,279,Table 3-5 page 16,Industry process-heat biomass input,Tier 1 conventional combustion
EF_PHL_V19_SMALL_COAL,SRC_EEA_2023_SMALL_COMBUSTION,1.A.4.a/c and 1.A.5.a,hard and brown coal,PM2.5,108,g/GJ,60,220,Table 3-7 page 35,Service and agriculture stationary coal input,Guidebook cannot determine whether PM is filterable or total
EF_PHL_V19_SMALL_NG,SRC_EEA_2023_SMALL_COMBUSTION,1.A.4.a/c and 1.A.5.a,gaseous fuels,PM2.5,0.78,g/GJ,0.47,1.09,Table 3-8 page 36,Service stationary gas input,Guidebook cannot determine whether PM is filterable or total
EF_PHL_V19_SMALL_OIL,SRC_EEA_2023_SMALL_COMBUSTION,1.A.4.a/c and 1.A.5.a,liquid fuels,PM2.5,18,g/GJ,0.75,60,Table 3-9 page 37,Service stationary oil input,Guidebook cannot determine whether PM is filterable or total
EF_PHL_V19_SMALL_BIOM,SRC_EEA_2023_SMALL_COMBUSTION,1.A.4.a/c and 1.A.5.a,solid biomass,PM2.5,160,g/GJ,90,299,Table 3-10 page 38,Service and agriculture stationary biomass input,Total primary particles including condensable material
