year,technology_group,installed_capacity_mw,model_role,boundary,source_url,source_locator
2020,coal,10944,initial_stock_and_validation,"Includes off-grid capacity; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2020,oil,4237,initial_stock_and_validation,"Includes off-grid capacity; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2020,gas,3453,initial_stock_and_validation,"Includes off-grid capacity; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2020,geothermal,1928,initial_stock_and_validation,"Includes off-grid capacity; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2020,hydro,3779,initial_stock_and_validation,"Includes off-grid capacity; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2020,biomass,484,initial_stock_and_validation,"Includes off-grid capacity; rounded national summary; detailed plant-list stock used by model is 447.4 MW",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2020,solar,1019,initial_stock_and_validation,"Includes off-grid capacity; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2020,wind,443,initial_stock_and_validation,"Includes off-grid capacity; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2020,total,26286,validation_only,"Includes off-grid capacity; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2021,coal,11669,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2021,oil,3847,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2021,gas,3453,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2021,geothermal,1928,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2021,hydro,3752,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2021,biomass,489,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2021,solar,1317,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2021,wind,427,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2021,total,26882,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2022,coal,12428,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2022,oil,3834,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2022,gas,3732,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2022,geothermal,1952,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2022,hydro,3745,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
