technology,technology_id,mode,classification,value,purpose,reason
LNDAGRPHLC01,TEC_ibnh8,25,KEEP,0.0001,bare land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC01,TEC_ibnh8,26,KEEP,0.0001,built-up land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC01,TEC_ibnh8,28,KEEP,0.0001,grassland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC01,TEC_ibnh8,29,KEEP,0.0001,other land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC01,TEC_ibnh8,30,KEEP,0.0001,wetland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC02,TEC_9lvqs,25,KEEP,0.0001,bare land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC02,TEC_9lvqs,26,KEEP,0.0001,built-up land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC02,TEC_9lvqs,28,KEEP,0.0001,grassland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC02,TEC_9lvqs,29,KEEP,0.0001,other land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC02,TEC_9lvqs,30,KEEP,0.0001,wetland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC03,TEC_3mwof,25,KEEP,0.0001,bare land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC03,TEC_3mwof,26,KEEP,0.0001,built-up land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC03,TEC_3mwof,28,KEEP,0.0001,grassland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC03,TEC_3mwof,29,KEEP,0.0001,other land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC03,TEC_3mwof,30,KEEP,0.0001,wetland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC04,TEC_ckkki,25,KEEP,0.0001,bare land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC04,TEC_ckkki,26,KEEP,0.0001,built-up land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC04,TEC_ckkki,28,KEEP,0.0001,grassland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC04,TEC_ckkki,29,KEEP,0.0001,other land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC04,TEC_ckkki,30,KEEP,0.0001,wetland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC05,TEC_1ky0a,25,KEEP,0.0001,bare land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC05,TEC_1ky0a,26,KEEP,0.0001,built-up land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC05,TEC_1ky0a,28,KEEP,0.0001,grassland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC05,TEC_1ky0a,29,KEEP,0.0001,other land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC05,TEC_1ky0a,30,KEEP,0.0001,wetland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC06,TEC_oeqz2,25,KEEP,0.0001,bare land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC06,TEC_oeqz2,26,KEEP,0.0001,built-up land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC06,TEC_oeqz2,28,KEEP,0.0001,grassland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC06,TEC_oeqz2,29,KEEP,0.0001,other land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC06,TEC_oeqz2,30,KEEP,0.0001,wetland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC07,TEC_72dqm,25,KEEP,0.0001,bare land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC07,TEC_72dqm,26,KEEP,0.0001,built-up land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC07,TEC_72dqm,28,KEEP,0.0001,grassland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC07,TEC_72dqm,29,KEEP,0.0001,other land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC07,TEC_72dqm,30,KEEP,0.0001,wetland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC08,TEC_xaiae,25,KEEP,0.0001,bare land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC08,TEC_xaiae,26,KEEP,0.0001,built-up land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC08,TEC_xaiae,28,KEEP,0.0001,grassland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC08,TEC_xaiae,29,KEEP,0.0001,other land hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
LNDAGRPHLC08,TEC_xaiae,30,KEEP,0.0001,wetland hydrology,Physical non-crop land-cover/hydrology route. Preserve the inherited negligible numerical cost; do not assign crop production cost or disturb the separately documented mode-27 forest incentive.
