calculation_id,formula,source_ids,assumption_ids,input_values,input_units,output_value,output_unit,script_path,script_version,notes
CALC_VC_HOUSE_FORMULA_CHECK,stored rainfed-rice VC = OAR (Mt per 10^3 km2) x cost (PHP/kg) x 1000 / FX (PHP/USD),SRC_PSA_SSAF_2022;SRC_VC_MODEL_INTERNAL,ASM_FX_2021;ASM_HOUSE_CROP_FORMULA,oar=0.32229806503462954;cost_per_kg=13.95;fx=49.25,Mt per 10^3 km2;PHP/kg;PHP/USD,91.29051791336208,MUSD per 10^3 km2,scripts/propose_philippines_v23_variable_costs.py,2026-08-25,"Reproduces the value stored at RYTM.json VC, LNDAGRPHLC01 modes 11 and 14, year 2020, which is 91.29051791336207. Difference 1.42e-14. This is why the non-rice crop costs in this pass are anchored on 2021 and not on a later year: it keeps them on the same basis as the rice cells already in the case."
CALC_VC_UV_PALAY,unit value (PHP/kg) = Value (10^6 PHP) / Volume (10^3 t),SRC_VC_PSA_T51_2021,,Value=332768.98;Volume=19960.17,10^6 PHP;10^3 t,16.671650592154275,PHP/kg,scripts/propose_philippines_v23_variable_costs.py,2026-08-25,"PSA OpenSTAT Table 5.1, row 'Palay', columns '2021 Value' and '2021 Volume'"
CALC_VC_UV_CORN,unit value (PHP/kg) = Value (10^6 PHP) / Volume (10^3 t),SRC_VC_PSA_T51_2021,,Value=117948.28;Volume=8287.19,10^6 PHP;10^3 t,14.232602365820018,PHP/kg,scripts/propose_philippines_v23_variable_costs.py,2026-08-25,"PSA OpenSTAT Table 5.1, row 'Corn', columns '2021 Value' and '2021 Volume'"
CALC_VC_UV_COCONUT,unit value (PHP/kg) = Value (10^6 PHP) / Volume (10^3 t),SRC_VC_PSA_T51_2021,,Value=123671.83;Volume=14717.29,10^6 PHP;10^3 t,8.403165936120033,PHP/kg,scripts/propose_philippines_v23_variable_costs.py,2026-08-25,"PSA OpenSTAT Table 5.1, row 'Coconut', columns '2021 Value' and '2021 Volume'"
CALC_VC_UV_SUGARCANE,unit value (PHP/kg) = Value (10^6 PHP) / Volume (10^3 t),SRC_VC_PSA_T51_2021,,Value=45748.12;Volume=26277.4,10^6 PHP;10^3 t,1.7409682845334775,PHP/kg,scripts/propose_philippines_v23_variable_costs.py,2026-08-25,"PSA OpenSTAT Table 5.1, row 'Sugarcane', columns '2021 Value' and '2021 Volume'"
CALC_VC_UV_TOMATO,unit value (PHP/kg) = Value (10^6 PHP) / Volume (10^3 t),SRC_VC_PSA_T51_2021,,Value=6154.06;Volume=225.45,10^6 PHP;10^3 t,27.296784209359064,PHP/kg,scripts/propose_philippines_v23_variable_costs.py,2026-08-25,"PSA OpenSTAT Table 5.1, row 'Tomato', columns '2021 Value' and '2021 Volume'"
CALC_VC_UV_OTHERS,unit value (PHP/kg) = Value (10^6 PHP) / Volume (10^3 t),SRC_VC_PSA_T51_2021,,Value=64777.73;Volume=3446.39,10^6 PHP;10^3 t,18.795821134578503,PHP/kg,scripts/propose_philippines_v23_variable_costs.py,2026-08-25,"PSA OpenSTAT Table 5.1, row 'Others', columns '2021 Value' and '2021 Volume'"
CALC_VC_COSTRATIO_IRRIGATED,cost-to-unit-value ratio = palay cost per kg / palay unit value,SRC_PSA_SSAF_2022;SRC_VC_PSA_T51_2021,ASM_COST_RATIO,cost_per_kg=12.49;unit_value=16.671650592154275,PHP/kg;PHP/kg,0.7491759697673743,dimensionless,scripts/propose_philippines_v23_variable_costs.py,2026-08-25,Palay is the only crop for which PSA runs a cost-and-returns survey
CALC_VC_COSTRATIO_RAINFED,cost-to-unit-value ratio = palay cost per kg / palay unit value,SRC_PSA_SSAF_2022;SRC_VC_PSA_T51_2021,ASM_COST_RATIO,cost_per_kg=13.95;unit_value=16.671650592154275,PHP/kg;PHP/kg,0.8367497820860585,dimensionless,scripts/propose_philippines_v23_variable_costs.py,2026-08-25,Palay is the only crop for which PSA runs a cost-and-returns survey
CALC_VC_COSTKG_CRPCON_IRRIGATED,cost per kg = unit value (PHP/kg) x cost-to-unit-value ratio,SRC_VC_PSA_T51_2021;SRC_PSA_SSAF_2022,ASM_COST_RATIO,unit_value=8.403165936120033;ratio=0.7491759697673743,PHP/kg;dimensionless,6.295449989308891,PHP/kg,scripts/propose_philippines_v23_variable_costs.py,2026-08-25,
CALC_VC_CROP_CRPCON_IRRIGATED,VC = OAR (Mt per 10^3 km2) x cost per kg (PHP/kg) x 1000 kg/t / 49.25 PHP/USD,SRC_VC_PSA_T51_2021;SRC_PSA_SSAF_2022,ASM_COST_RATIO;ASM_FX_2021;ASM_HOUSE_CROP_FORMULA,OAR=0.3968714512187746;cost_per_kg=6.295449989308891;fx=49.25,Mt/10^3km2;PHP/kg;PHP/USD,50.73064717425866,MUSD per 10^3 km2,scripts/propose_philippines_v23_variable_costs.py,2026-08-25,Same formula as CALCULATIONS.csv CALC_PHL_V16_CROP_RICE_VARIABLE_COST
