tech,tech_id,mode,activity_unit,input_commodities,output_commodities,mode_is_active
DEMAGRGWTPHL,TEC_i9w9s,1,10<sup>9</sup>m<sup>3</sup>,PHL_AGR_ELE;PHL_WTR_GWT,AGRWATPHL,yes
DEMAGRGWTPHL,TEC_i9w9s,2,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,3,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,4,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,5,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,6,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,7,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,8,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,9,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,10,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,11,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,12,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,13,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,14,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,15,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,16,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,17,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,18,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,19,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,20,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,21,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,22,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,23,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,24,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,25,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,26,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,27,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,28,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,29,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRGWTPHL,TEC_i9w9s,30,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,1,10<sup>9</sup>m<sup>3</sup>,PHL_WTR_SUR,AGRWATPHL,yes
DEMAGRSURPHL,TEC_mcc1b,2,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,3,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,4,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,5,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,6,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,7,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,8,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,9,10<sup>9</sup>m<sup>3</sup>,,,no
