# PSA OpenSTAT "TABLE 5.1 Agricultural Area, Volume and Value of Production by Kind of Crop:
# 2021 to 2024 (Area in thousand hectares; volume in thousand metric tons; value in million PhP,
# at current prices)". Retrieved 2026-08-25 by HTTP POST to
# https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/3S/C5/0012E2BAVV0.px
# body {"query":[{"code":"Kind of Crop","selection":{"filter":"all","values":["*"]}},
#                {"code":"Crop Type","selection":{"filter":"all","values":["*"]}},
#                {"code":"Year","selection":{"filter":"all","values":["*"]}},
#                {"code":"Production","selection":{"filter":"all","values":["*"]}}],
#       "response":{"format":"csv"}}
# The full payload is a 4 x 24 cube: 96 rows, of which 72 are empty cube cells carrying "-" in
# every column (e.g. "A. Cereals" x "Coconut"). Those 72 rows are omitted here; the 24 rows that
# carry data are reproduced verbatim below, including the header line.
"Kind of Crop","Crop Type","2021 Area","2021 Volume","2021 Value","2021 Yield per Hectare","2022 Area","2022 Volume","2022 Value","2022 Yield per Hectare","2023 Area","2023 Volume","2023 Value","2023 Yield per Hectare","2024 Area","2024 Volume","2024 Value","2024 Yield per Hectare"
"Agricultural Crops","Total",13537.61,90222.16,1076988.50,-,13418.02,87226.09,1108767.10,-,13572.30,85847.42,1233839.87,-,13362.56,80596.20,1310680.97,-
"A. Cereals","Palay",4805.08,19960.17,332768.98,4.15,4804.59,19756.39,344723.04,4.11,4815.81,20059.56,400873.85,4.17,4645.92,19087.14,436901.80,1.93
"A. Cereals","Corn",2564.73,8287.19,117948.28,3.23,2525.48,8255.61,143440.75,3.27,2540.93,8405.00,160089.21,3.31,2456.49,8138.18,129978.78,1.80
"B. Major Crops","Banana",450.42,9091.31,217817.30,20.18,442.89,9013.29,172119.23,20.35,448.90,9019.44,186821.42,20.09,450.24,8690.50,197793.59,19.30
"B. Major Crops","Coconut",3646.91,14717.29,123671.83,4.04,3604.21,14931.16,133070.84,4.14,3665.18,14892.63,123158.71,4.06,3733.40,14500.42,165927.31,3.88
"B. Major Crops","Mango",185.90,741.69,32020.32,3.99,184.20,712.55,31421.89,3.87,191.24,786.04,36917.75,4.11,177.73,763.30,28512.21,4.29
"B. Major Crops","Sugarcane",420.23,26277.40,45748.12,62.53,401.39,23455.40,63601.68,58.44,409.05,21650.94,69854.29,52.93,406.10,18731.28,57767.16,46.13
"B. Major Crops","Pineapple",67.12,2860.20,40103.73,42.61,67.72,2914.42,44937.04,43.04,69.15,2944.26,50885.49,42.58,67.55,2919.94,76408.29,43.23
"B. Major Crops","Cassava",216.11,2559.81,21874.97,11.84,216.29,2560.04,22483.98,11.84,227.87,2556.24,26015.46,11.22,234.56,2372.79,30737.51,10.12
"B. Major Crops","Rubber",239.14,430.64,11670.97,1.80,239.65,415.75,11174.74,1.73,240.11,378.82,9691.51,1.58,221.80,364.56,13316.69,1.64
"B. Major Crops","Sweet Potato/Camote",83.31,545.52,11475.53,6.55,82.88,558.32,13031.23,6.74,90.73,523.29,14731.95,5.77,80.88,504.41,14243.57,6.24
"B. Major Crops","Onion (matured bulb)",19.30,218.05,11747.11,11.30,19.82,241.03,14450.69,12.16,21.32,252.49,28360.95,11.84,23.25,264.32,17518.01,11.37
"B. Major Crops","Eggplant",21.83,244.03,8339.67,11.18,21.96,248.15,9217.80,11.30,22.01,238.60,10542.67,10.84,20.56,228.26,8522.42,11.10
"B. Major Crops","Coffee",112.55,30.30,2958.25,0.27,112.28,29.96,3368.50,0.27,112.89,30.02,3789.81,0.27,115.62,31.98,6097.40,0.28
"B. Major Crops","Tobacco",28.62,50.93,5708.12,1.78,29.06,47.73,4883.58,1.64,29.82,53.89,9162.74,1.81,31.33,55.35,8765.55,1.77
"B. Major Crops","Abaca",131.51,62.40,3956.12,0.47,128.57,67.82,4459.46,0.53,129.36,67.10,4000.70,0.52,127.95,64.72,4186.53,0.51
"B. Major Crops","Tomato",16.40,225.45,6154.06,13.74,15.90,216.61,7439.65,13.62,14.94,219.31,6840.76,14.68,14.05,210.34,8417.02,14.97
"B. Major Crops","Potato",6.55,103.06,4122.40,15.73,6.62,107.42,5065.85,16.22,6.22,100.05,7344.63,16.08,6.38,102.79,5402.73,16.12
"B. Major Crops","Ampalaya fruit",10.66,88.22,3812.55,8.28,10.67,88.68,4258.10,8.31,10.51,89.05,4176.92,8.48,9.66,85.28,4126.55,8.83
"B. Major Crops","Cabbage",7.77,124.49,3742.28,16.01,7.58,121.25,3516.27,16.00,7.89,128.29,3739.17,16.25,8.89,135.15,4443.68,15.21
"B. Major Crops","Calamansi",19.71,112.13,3373.58,5.69,19.44,107.90,3857.61,5.55,19.51,102.22,3505.51,5.24,19.56,110.00,5249.39,5.62
"B. Major Crops","Mungbean/Mongo",41.70,35.48,2273.11,0.85,41.48,36.85,2346.54,0.89,40.90,36.04,2477.70,0.88,34.33,30.78,2156.36,0.90
"B. Major Crops","Cacao",31.50,10.00,923.52,0.32,32.23,10.45,1003.91,0.32,32.95,10.91,1212.18,0.33,33.06,10.84,1779.49,0.33
"C. Other Crops","Others",410.56,3446.39,64777.73,8.39,403.10,3329.31,64894.72,8.26,425.01,3303.22,69646.50,7.77,443.27,3193.88,82428.92,7.21
