old_technology_id,old_technology,old_commodity_id,old_commodity,status_v29,retained_cluster_mode,crop,input_level,water_regime,physical_land_input,shared_irrigation_input
TEC_myoqm,LNDTOMHRTOT,COM_a6xna,LTOMHRTOT,deleted,1,vegetables,high,rainfed,PHL_CROPLAND,none
TEC_s4of1,LNDCONLITOT,COM_ws9gq,LCONLITOT,deleted,2,coconut,low,irrigated,PHL_CROPLAND,PHL_IRRIGATION_SERVICE
TEC_njn0k,LNDSGCHRTOT,COM_ofh97,LSGCHRTOT,deleted,3,sugarcane,high,rainfed,PHL_CROPLAND,none
TEC_ba7n9,LNDMZEHRTOT,COM_4l49i,LMZEHRTOT,deleted,4,maize,high,rainfed,PHL_CROPLAND,none
TEC_tqfnh,LNDTOMHITOT,COM_fvip1,LTOMHITOT,deleted,5,vegetables,high,irrigated,PHL_CROPLAND,PHL_IRRIGATION_SERVICE
TEC_xc9n1,LNDSGCHITOT,COM_tgiv2,LSGCHITOT,deleted,6,sugarcane,high,irrigated,PHL_CROPLAND,PHL_IRRIGATION_SERVICE
TEC_1lqls,LNDMZELITOT,COM_rti6o,LMZELITOT,deleted,7,maize,low,irrigated,PHL_CROPLAND,PHL_IRRIGATION_SERVICE
TEC_x0f58,LNDCONHRTOT,COM_mx6uu,LCONHRTOT,deleted,8,coconut,high,rainfed,PHL_CROPLAND,none
TEC_k0up8,LNDSGCLITOT,COM_joikz,LSGCLITOT,deleted,9,sugarcane,low,irrigated,PHL_CROPLAND,PHL_IRRIGATION_SERVICE
TEC_b59id,LNDMZEHITOT,COM_o1x8c,LMZEHITOT,deleted,10,maize,high,irrigated,PHL_CROPLAND,PHL_IRRIGATION_SERVICE
TEC_gnski,LNDRCPHRTOT,COM_t422j,LRCPHRTOT,deleted,11,rice_rain,high,rainfed,PHL_CROPLAND,none
TEC_1gpo1,LNDTOMLRTOT,COM_ilmi5,LTOMLRTOT,deleted,12,vegetables,low,rainfed,PHL_CROPLAND,none
TEC_zavm0,LNDTOMLITOT,COM_5w6m5,LTOMLITOT,deleted,13,vegetables,low,irrigated,PHL_CROPLAND,PHL_IRRIGATION_SERVICE
TEC_2vnpr,LNDRCPLRTOT,COM_8g90y,LRCPLRTOT,deleted,14,rice_rain,low,rainfed,PHL_CROPLAND,none
TEC_yi712,LNDMZELRTOT,COM_ktp63,LMZELRTOT,deleted,15,maize,low,rainfed,PHL_CROPLAND,none
TEC_8wsp8,LNDCONHITOT,COM_cx8nv,LCONHITOT,deleted,16,coconut,high,irrigated,PHL_CROPLAND,PHL_IRRIGATION_SERVICE
TEC_3f392,LNDRCPLITOT,COM_qbe8b,LRCPLITOT,deleted,17,rice_irrig,low,irrigated,PHL_CROPLAND,PHL_IRRIGATION_SERVICE
TEC_38qbs,LNDSGCLRTOT,COM_8442n,LSGCLRTOT,deleted,18,sugarcane,low,rainfed,PHL_CROPLAND,none
TEC_dyiju,LNDRCPHITOT,COM_4a395,LRCPHITOT,deleted,19,rice_irrig,high,irrigated,PHL_CROPLAND,PHL_IRRIGATION_SERVICE
TEC_esgir,LNDCONLRTOT,COM_5du28,LCONLRTOT,deleted,20,coconut,low,rainfed,PHL_CROPLAND,none
TEC_fywq7,LNDOTHLITOT,COM_ko4ou,LOTHLITOT,deleted,21,other,low,irrigated,PHL_CROPLAND,PHL_IRRIGATION_SERVICE
TEC_7er3u,LNDOTHHITOT,COM_x7ukp,LOTHHITOT,deleted,22,other,high,irrigated,PHL_CROPLAND,PHL_IRRIGATION_SERVICE
TEC_ch4nk,LNDOTHLRTOT,COM_599gi,LOTHLRTOT,deleted,23,other,low,rainfed,PHL_CROPLAND,none
TEC_aoh6k,LNDOTHHRTOT,COM_0stpu,LOTHHRTOT,deleted,24,other,high,rainfed,PHL_CROPLAND,none
