event_id,session_id,timestamp_utc,call_id,action,path_or_command,result,surviving_evidence
EVT01,019f9991-7a2d-72a0-8fa1-6820178dd177,2026-07-25T15:30:39.376Z,call_IcKVpjDCuILnNSIsZrVQeuVk,Acquire boundary and seed raster cache,/private/tmp/clews-global-philippines-source and /private/tmp/clews-phl-global-raster-cache,"Downloaded GADM 4.1 PHL archive and copied the then-available Fiji global raster cache as an initial seed",Raw Codex session JSONL
EVT02,019f9991-7a2d-72a0-8fa1-6820178dd177,2026-07-25T15:35:12.334Z,call_uBwvYJck1lZTdn7bl1JHtftl,Inspect initial cache,/private/tmp/clews-phl-global-raster-cache,74 files totaling about 126 MB; later found to contain stale Fiji crop rasters,Raw Codex session JSONL
EVT03,019f9991-7a2d-72a0-8fa1-6820178dd177,2026-07-25T15:35:26Z,call_13kGPKY3kkuiSMgRF9luJjEa,Run workflow,Snakemake GeoCLEWs attempt,Initial attempt recorded,Raw Codex session JSONL
EVT04,019f9991-7a2d-72a0-8fa1-6820178dd177,2026-07-25T15:35:32Z,call_4EeIIL0U6D29ghCYPORIFOZS,Run workflow,Snakemake GeoCLEWs attempt,Second attempt recorded,Raw Codex session JSONL
EVT05,019f9991-7a2d-72a0-8fa1-6820178dd177,2026-07-25T15:36:20Z,call_IfHjgPMt8gLNlJP3o59l64kq,Run workflow with network access,Snakemake GeoCLEWs attempt,Network-enabled attempt recorded,Raw Codex session JSONL
EVT06,019f9991-7a2d-72a0-8fa1-6820178dd177,2026-07-25T15:41:34Z,call_De0Fl0XMu0V2ZE3TJRZjczC9,Rerun workflow,Snakemake GeoCLEWs attempt,Rerun exposed stale Fiji crop-cache contamination,Raw Codex session JSONL
EVT07,019f9991-7a2d-72a0-8fa1-6820178dd177,2026-07-25T15:48:38.851Z,call_J4NpnqbdYuBwQmkAeJpArvoN,Quarantine contaminated caches and create clean cache,"/private/tmp/clews-phl-global-raster-cache-all; /private/tmp/clews-phl-cropped-raster-cache-stale; replacement clean cache","Moved rather than deleted the mixed and stale caches; seeded 62 files for selected RCP, CON, MZE, SGC and CAS rasters plus precipitation and land cover",Raw Codex session JSONL
EVT08,019f9991-7a2d-72a0-8fa1-6820178dd177,2026-07-25T15:48:48Z,call_JMgYWPs63nt7apSjwSunEj4e,Force GeoCLEWs proxy download and rerun,Snakemake GeoCLEWs forced rerun,Downloaded the missing proxy rasters into the clean cache,Raw Codex session JSONL
EVT09,019f9991-7a2d-72a0-8fa1-6820178dd177,2026-07-25T15:51:15Z,call_pR3dtLtMFgQ797bAY4XC2TPb,Inspect completed cache,/private/tmp/clews-phl-global-raster-cache,92 files totaling about 165 MB,Raw Codex session JSONL
EVT10,019f9991-7a2d-72a0-8fa1-6820178dd177,2026-07-25T15:54:31Z,call_tFQb3i7PIu72hV6HOxxlgS,Run clean final workflow,"/opt/anaconda3/envs/clews-global/bin/snakemake --snakefile workflow/snakefile --cores 6 --use-conda --printshellcmds --rerun-incomplete --forcerun geoclews","Completed using workflow ID 209301f7-622f-4e22-844b-acf54895c62e; working directory /private/tmp/clews-global-philippines-source; config config/config.yaml MD5 b8783fe2d039b22e134f9f7d57703e76; Snakemake 9.23.1; Python 3.11.0",Raw Codex session JSONL
EVT11,019f9991-7a2d-72a0-8fa1-6820178dd177,2026-07-25T16:48:57Z,call_3WUqsW3iTDj3UfZs2RfBErK2,Verify solve,Generated solver files,Optimal solution with objective 197214.48967963,Raw Codex session JSONL
EVT12,019f9991-7a2d-72a0-8fa1-6820178dd177,2026-07-25T21:34:38Z,call_A8p6TQBLabV72DuqR1olObYi,Inspect SSP population workbook,iamc_db_POP_Countries.xlsx,"Confirmed data and Recommended Citation sheets and the IIASA-WiC POP / SSP2 / PHL selection",Raw Codex session JSONL
