country_code,scenario,indicator,item,water_regime,year,tonnes_per_ha
PHL,Business As Usual,Crop yield,bananas,rainfed,2012,20.022
PHL,Business As Usual,Crop yield,bananas,rainfed,2030,25.384
PHL,Business As Usual,Crop yield,bananas,rainfed,2035,26.351
PHL,Business As Usual,Crop yield,bananas,rainfed,2040,27.148
PHL,Business As Usual,Crop yield,bananas,rainfed,2050,28.273
PHL,Business As Usual,Crop yield,cassava,rainfed,2012,10.364
PHL,Business As Usual,Crop yield,cassava,rainfed,2030,13.838
PHL,Business As Usual,Crop yield,cassava,rainfed,2035,14.49
PHL,Business As Usual,Crop yield,cassava,rainfed,2040,15.033
PHL,Business As Usual,Crop yield,cassava,rainfed,2050,15.804
PHL,Business As Usual,Crop yield,coconut,rainfed,2012,4.348
PHL,Business As Usual,Crop yield,coconut,rainfed,2030,5.046
PHL,Business As Usual,Crop yield,coconut,rainfed,2035,5.198
PHL,Business As Usual,Crop yield,coconut,rainfed,2040,5.338
PHL,Business As Usual,Crop yield,coconut,rainfed,2050,5.57
PHL,Business As Usual,Crop yield,maize,rainfed,2012,2.824
PHL,Business As Usual,Crop yield,maize,rainfed,2030,3.924
PHL,Business As Usual,Crop yield,maize,rainfed,2035,4.218
PHL,Business As Usual,Crop yield,maize,rainfed,2040,4.501
PHL,Business As Usual,Crop yield,maize,rainfed,2050,5.012
PHL,Business As Usual,Crop yield,other_fruits,rainfed,2012,9.213
PHL,Business As Usual,Crop yield,other_fruits,rainfed,2030,9.831
PHL,Business As Usual,Crop yield,other_fruits,rainfed,2035,9.997
PHL,Business As Usual,Crop yield,other_fruits,rainfed,2040,10.172
PHL,Business As Usual,Crop yield,other_fruits,rainfed,2050,10.514
PHL,Business As Usual,Crop yield,rice,irrigated,2012,4.419
PHL,Business As Usual,Crop yield,rice,irrigated,2030,5.399
PHL,Business As Usual,Crop yield,rice,irrigated,2035,5.628
PHL,Business As Usual,Crop yield,rice,irrigated,2040,5.838
PHL,Business As Usual,Crop yield,rice,irrigated,2050,6.184
PHL,Business As Usual,Crop yield,rice,rainfed,2012,3.192
PHL,Business As Usual,Crop yield,rice,rainfed,2030,3.874
PHL,Business As Usual,Crop yield,rice,rainfed,2035,4.031
PHL,Business As Usual,Crop yield,rice,rainfed,2040,4.173
PHL,Business As Usual,Crop yield,rice,rainfed,2050,4.403
PHL,Business As Usual,Crop yield,rubber,irrigated,2012,0.697
PHL,Business As Usual,Crop yield,rubber,irrigated,2030,0.786
PHL,Business As Usual,Crop yield,rubber,irrigated,2035,0.806
PHL,Business As Usual,Crop yield,rubber,irrigated,2040,0.825
PHL,Business As Usual,Crop yield,rubber,irrigated,2050,0.855
PHL,Business As Usual,Crop yield,sugarcane,irrigated,2012,73.308
PHL,Business As Usual,Crop yield,sugarcane,irrigated,2030,84.919
PHL,Business As Usual,Crop yield,sugarcane,irrigated,2035,87.157
PHL,Business As Usual,Crop yield,sugarcane,irrigated,2040,89.145
PHL,Business As Usual,Crop yield,sugarcane,irrigated,2050,92.095
PHL,Business As Usual,Crop yield,sugarcane,rainfed,2012,70.071
PHL,Business As Usual,Crop yield,sugarcane,rainfed,2030,80.455
PHL,Business As Usual,Crop yield,sugarcane,rainfed,2035,82.368
PHL,Business As Usual,Crop yield,sugarcane,rainfed,2040,84.033
PHL,Business As Usual,Crop yield,sugarcane,rainfed,2050,86.366
PHL,Business As Usual,Crop yield,vegetables,irrigated,2012,10.793
PHL,Business As Usual,Crop yield,vegetables,irrigated,2030,12.949
PHL,Business As Usual,Crop yield,vegetables,irrigated,2035,13.485
PHL,Business As Usual,Crop yield,vegetables,irrigated,2040,13.999
PHL,Business As Usual,Crop yield,vegetables,irrigated,2050,14.902
PHL,Business As Usual,Crop yield,vegetables,rainfed,2012,8.541
PHL,Business As Usual,Crop yield,vegetables,rainfed,2030,10.248
PHL,Business As Usual,Crop yield,vegetables,rainfed,2035,10.672
PHL,Business As Usual,Crop yield,vegetables,rainfed,2040,11.079
PHL,Business As Usual,Crop yield,vegetables,rainfed,2050,11.794
