year,inherited_total_path,population_component,pv_footprint_1000km2_per_gw,wind_footprint_1000km2_per_gw
2020,10.2649,10.24848616,0.012,0.01
2021,10.422808283573486,10.40614194415301,0.012,0.01
2022,10.581906379284705,10.564985637903439,0.012,0.01
2023,10.742194287133657,10.725017241251289,0.012,0.01
2024,10.903672007120342,10.886236754196558,0.012,0.01
2025,11.066339539244755,11.048644176739241,0.012,0.01
2026,11.237051701693192,11.219083366034459,0.012,0.01
2027,11.409043122305517,11.390799767926747,0.012,0.01
2028,11.582313801081728,11.563793382416105,0.012,0.01
2029,11.756863738021831,11.738064209502538,0.012,0.01
2030,11.932692933125812,11.913612249186032,0.012,0.01
2031,12.111397897869494,12.092031460079358,0.012,0.01
2032,12.291402294959987,12.27174802549364,0.012,0.01
2033,12.472706124397282,12.452761945428868,0.012,0.01
2034,12.655309386181392,12.635073219885054,0.012,0.01
2035,12.839212080312311,12.818681848862195,0.012,0.01
2036,13.019678869619675,12.998860067116258,0.012,0.01
2037,13.201387086030119,13.180277727399428,0.012,0.01
2038,13.384336729543628,13.362934829711692,0.012,0.01
2039,13.568527800160219,13.54683137405306,0.012,0.01
2040,13.753960297879887,13.73196736042353,0.012,0.01
2041,13.92636972353783,13.90410109896058,0.012,0.01
2042,14.099851036060262,14.077305010387363,0.012,0.01
2043,14.274404235447177,14.251579094703873,0.012,0.01
2044,14.450029321698585,14.426923351910114,0.012,0.01
2045,14.626726294814477,14.603337782006083,0.012,0.01
2046,14.784054843108763,14.760414757891564,0.012,0.01
2047,14.942219346023522,14.91832635168451,0.012,0.01
2048,15.10121980355876,15.07707256338492,0.012,0.01
2049,15.261056215714463,15.236653392992785,0.012,0.01
2050,15.42172858249064,15.397068840508116,0.012,0.01
2051,15.475448245542786,15.45070260443273,0.012,0.01
2052,15.52916790859493,15.504336368357341,0.012,0.01
2053,15.582887571647078,15.557970132281959,0.012,0.01
