cluster_id,cluster,mode,crop,water_regime,inherited_input_label,v30_status,activity_upper,yield_2020,inherited_yield_2021,v30_yield_2021,inherited_yield_2025,v30_yield_2025,v30_yield_2050,after_2020_rule
TEC_ibnh8,LNDAGRPHLC01,1,vegetables,rainfed,high,active_observed_cost_system,99999,1.7642630932911894,1.7642630932911894,1.7822541628650577,1.7819057242241012,1.8542184411605294,2.2374693274607997,FAO_BAU_2050_rebased_to_2020
TEC_ibnh8,LNDAGRPHLC01,2,coconut,irrigated,low,inactive_unsupported_pair,1e-06,0.0015060774113478577,0.0015314406332792628,0.0015314406332792628,0.001488656541439237,0.001488656541439237,0.0019091007783333764,inactive
TEC_ibnh8,LNDAGRPHLC01,3,sugarcane,rainfed,high,active_observed_cost_system,99999,8.30702641540301,8.49644374926433,8.371191374154487,6.336024027861845,8.627851209160383,9.606132019986266,FAO_BAU_2050_rebased_to_2020
TEC_ibnh8,LNDAGRPHLC01,4,maize,rainfed,high,active_observed_cost_system,99999,0.4892864603295589,0.497318677490696,0.498312069169821,0.5149929070095799,0.5344145045308699,0.7402312064846305,FAO_BAU_2050_rebased_to_2020
TEC_ibnh8,LNDAGRPHLC01,5,vegetables,irrigated,high,active_observed_cost_system,99999,1.9073114522066912,1.9073114522066912,1.9267522833777166,1.926384566728758,2.0045156080618183,2.4187063033354166,FAO_BAU_2050_rebased_to_2020
TEC_ibnh8,LNDAGRPHLC01,6,sugarcane,irrigated,high,active_observed_cost_system,99999,8.30702641540301,8.49644374926433,8.375314930325672,6.336024027861845,8.648468990016317,9.749595562177664,FAO_BAU_2050_rebased_to_2020
TEC_ibnh8,LNDAGRPHLC01,7,maize,irrigated,low,inactive_unsupported_pair,1e-06,0.17540458011814375,0.1782840541947778,0.1782840541947778,0.18462009873928334,0.18462009873928334,0.23676272154649786,inactive
TEC_ibnh8,LNDAGRPHLC01,8,coconut,rainfed,high,active_observed_cost_system,99999,0.018407612805362704,0.018717607740079877,0.018560848586038965,0.01819469106203512,0.01917379170874401,0.02201062947077646,FAO_BAU_2050_rebased_to_2020
TEC_ibnh8,LNDAGRPHLC01,9,sugarcane,irrigated,low,inactive_unsupported_pair,1e-06,1.639544687250594,1.6769296873548019,1.6769296873548019,1.2505310581306273,1.2505310581306273,1.6037210397094732,inactive
TEC_ibnh8,LNDAGRPHLC01,10,maize,irrigated,high,active_observed_cost_system,99999,0.498518280335777,0.5067020487641054,0.5077141836824591,0.5247097543116475,0.5444977970691881,0.7541978330220763,FAO_BAU_2050_rebased_to_2020
TEC_ibnh8,LNDAGRPHLC01,11,rice_rain,rainfed,high,active_observed_cost_system,99999,0.42023026407554087,0.431362311342662,0.42478578671191425,0.4381640543549456,0.44300787725740753,0.5293891363975539,FAO_BAU_2050_rebased_to_2020
TEC_ibnh8,LNDAGRPHLC01,12,vegetables,rainfed,low,inactive_unsupported_pair,1e-06,0.3909988477023717,0.3909988477023717,0.3909988477023717,0.39490883617939543,0.39490883617939543,0.5064437266314761,inactive
TEC_ibnh8,LNDAGRPHLC01,13,vegetables,irrigated,low,inactive_unsupported_pair,1e-06,0.4053036835939219,0.4053036835939219,0.4053036835939219,0.4093567204298611,0.4093567204298611,0.5249721556545789,inactive
TEC_ibnh8,LNDAGRPHLC01,14,rice_rain,rainfed,low,inactive_unsupported_pair,1e-06,0.05354546913220602,0.05496390741301661,0.05496390741301661,0.05583058111942049,0.05583058111942049,0.07159892352794993,inactive
TEC_ibnh8,LNDAGRPHLC01,15,maize,rainfed,low,inactive_unsupported_pair,1e-06,0.10155002006839901,0.10321708400750294,0.10321708400750294,0.106885320322743,0.106885320322743,0.1370731545795514,inactive
TEC_ibnh8,LNDAGRPHLC01,16,coconut,irrigated,high,active_observed_cost_system,99999,0.018407612805362704,0.018717607740079877,0.018560848586038965,0.01819469106203512,0.01917379170874401,0.02201062947077646,FAO_BAU_2050_rebased_to_2020
TEC_ibnh8,LNDAGRPHLC01,17,rice_irrig,irrigated,low,inactive_unsupported_pair,1e-06,0.19862204394484562,0.2007573040141212,0.2007573040141212,0.19850933112529873,0.19850933112529873,0.2545747175445535,inactive
TEC_ibnh8,LNDAGRPHLC01,18,sugarcane,rainfed,low,inactive_unsupported_pair,1e-06,1.639544687250594,1.6769296873548019,1.6769296873548019,1.2505310581306273,1.2505310581306273,1.6037210397094732,inactive
TEC_ibnh8,LNDAGRPHLC01,19,rice_irrig,irrigated,high,active_observed_cost_system,99999,0.993110219724228,1.0037865200706058,1.0042480743777007,0.9925466556264934,1.0487994929915914,1.2650784461095337,FAO_BAU_2050_rebased_to_2020
TEC_ibnh8,LNDAGRPHLC01,20,coconut,rainfed,low,inactive_unsupported_pair,1e-06,0.0015060774113478577,0.0015314406332792628,0.0015314406332792628,0.001488656541439237,0.001488656541439237,0.0019091007783333764,inactive
TEC_ibnh8,LNDAGRPHLC01,21,other,irrigated,low,inactive_unsupported_pair,1e-06,0.25310706002622485,0.25310706002622485,0.25310706002622485,0.2556381306264871,0.2556381306264871,0.3278385178618021,inactive
TEC_ibnh8,LNDAGRPHLC01,22,other,irrigated,high,active_observed_cost_system,99999,0.8858747100917868,0.8858747100917868,0.8947066635979314,0.8947334571927046,0.93003447762251,1.0755598853834212,FAO_BAU_2050_rebased_to_2020
TEC_ibnh8,LNDAGRPHLC01,23,other,rainfed,low,inactive_unsupported_pair,1e-06,0.25310706002622485,0.25310706002622485,0.25310706002622485,0.2556381306264871,0.2556381306264871,0.3278385178618021,inactive
TEC_ibnh8,LNDAGRPHLC01,24,other,rainfed,high,active_observed_cost_system,99999,0.8858747100917868,0.8858747100917868,0.8947066635979314,0.8947334571927046,0.93003447762251,1.0755598853834212,FAO_BAU_2050_rebased_to_2020
TEC_9lvqs,LNDAGRPHLC02,1,vegetables,rainfed,high,active_observed_cost_system,99999,1.525849161765353,1.525849161765353,1.5414090057211307,1.5411076533830064,1.6036483815442415,1.9351086075336648,FAO_BAU_2050_rebased_to_2020
TEC_9lvqs,LNDAGRPHLC02,2,coconut,irrigated,low,inactive_unsupported_pair,1e-06,0.023427870843188897,0.023822409851010754,0.023822409851010754,0.023156879533499243,0.023156879533499243,0.029697123218519188,inactive
TEC_9lvqs,LNDAGRPHLC02,3,sugarcane,rainfed,high,active_observed_cost_system,99999,12.023327706504357,12.297484373935214,12.11619804153939,9.170561092957936,12.487679381679504,13.903612134190649,FAO_BAU_2050_rebased_to_2020
