service,year,vessels,total_cost_musd,average_cost_musd
cargo,2020,36,26.25,0.7291666666666666
cargo,2021,42,1782.05,42.429761904761904
cargo,2022,39,92.91,2.382307692307692
cargo,2023,56,67.51,1.2055357142857144
cargo,2024,89,115.88,1.3020224719101123
tanker,2020,0,0.0,
tanker,2021,0,0.0,
tanker,2022,1,0.25,0.25
tanker,2023,1,6.3,6.3
tanker,2024,8,58.59,7.32375
tugs_and_dredger,2020,10,3.11,0.311
tugs_and_dredger,2021,22,8.21,0.3731818181818182
tugs_and_dredger,2022,17,8.51,0.5005882352941177
tugs_and_dredger,2023,39,20.95,0.5371794871794872
tugs_and_dredger,2024,46,28.53,0.6202173913043478
