calculation_id,formula,source_ids,assumption_ids,input_calculation_ids,input_values,input_units,output_value,output_unit,script_path,script_version,notes
CALC_PHL_V14_PRECIP_DEPTH,source_model_precipitation_volume_km3 / national_land_area_1000km2 * 1000,SRC_PHL_V14_CASE SRC_PHL_V15_MANIFEST,,,"{""volume_km3"":724.96536,""land_area_1000km2"":295.8131}",km3/year; 1000 km2,2450.7547502122115,mm/year,scripts/create_philippines_v15_national_water.py,sha256:ae04f9bb19ad378d48d8d5e2a2a2922a932239ce3d521695d58ccb9ecd7e0193,Converts the inherited national water volume to an equivalent depth before rebasing.
CALC_PHL_ERA5_REBASE,ERA5_1991_2020_normal_mm / source_model_precipitation_depth_mm,SRC_WB_CCKP_ERA5_PHL_NORMAL SRC_PHL_WATER_SNAPSHOT,ASM_PHL_ERA5_1991_2020_ANCHOR,CALC_PHL_V14_PRECIP_DEPTH,"{""era5_mm"":2658.12,""inherited_mm"":2450.7547502122115}",mm/year; mm/year,1.0846128115307467,dimensionless,scripts/create_philippines_v15_national_water.py,sha256:ae04f9bb19ad378d48d8d5e2a2a2922a932239ce3d521695d58ccb9ecd7e0193,"Applied once to all inherited precipitation, runoff, recharge and evapotranspiration ratios."
CALC_PHL_SSP245_MULTIPLIER_2030,1 + median_2020_2039_anomaly_mm / CMIP6_1995_2014_historical_median_mm,SRC_WB_CCKP_CMIP6_PHL_HIST SRC_WB_CCKP_CMIP6_PHL_SSP245_2030 SRC_PHL_WATER_SNAPSHOT,ASM_PHL_SSP245_MEDIAN_ONLY,,"{""anomaly_mm"":25.08,""historical_mm"":2477.61}",mm/year; mm/year,1.0101226585297929,dimensionless,scripts/create_philippines_v15_national_water.py,sha256:ae04f9bb19ad378d48d8d5e2a2a2922a932239ce3d521695d58ccb9ecd7e0193,Relative anomaly is transferred; the absolute CMIP6 climatology is not substituted for ERA5.
CALC_PHL_SSP245_MULTIPLIER_2050,1 + median_2040_2059_anomaly_mm / CMIP6_1995_2014_historical_median_mm,SRC_WB_CCKP_CMIP6_PHL_HIST SRC_WB_CCKP_CMIP6_PHL_SSP245_2050 SRC_PHL_WATER_SNAPSHOT,ASM_PHL_SSP245_MEDIAN_ONLY,,"{""anomaly_mm"":106.77,""historical_mm"":2477.61}",mm/year; mm/year,1.0430939494109241,dimensionless,scripts/create_philippines_v15_national_water.py,sha256:ae04f9bb19ad378d48d8d5e2a2a2922a932239ce3d521695d58ccb9ecd7e0193,Relative anomaly is transferred; the absolute CMIP6 climatology is not substituted for ERA5.
CALC_PHL_SSP245_ANNUAL,piecewise linear interpolation: 2020=1; 2030=CALC_PHL_SSP245_MULTIPLIER_2030; 2050=CALC_PHL_SSP245_MULTIPLIER_2050; retain 2030-2050 slope through 2053,SRC_WB_CCKP_METADATA SRC_PHL_WATER_SNAPSHOT,ASM_PHL_SSP245_LINEAR_ANNUALISATION ASM_PHL_P10_P90_METADATA_ONLY,CALC_PHL_SSP245_MULTIPLIER_2030 CALC_PHL_SSP245_MULTIPLIER_2050,"{""anchor_2020"":1,""anchor_2030"":1.0101226585297929,""anchor_2050"":1.0430939494109241}",dimensionless,34 annual values; 2020=1; 2030=1.0101226585297929; 2050=1.0430939494109241; 2053=1.048039643043094,dimensionless,scripts/create_philippines_v15_national_water.py,sha256:ae04f9bb19ad378d48d8d5e2a2a2922a932239ce3d521695d58ccb9ecd7e0193,Every annual value is printed in calculation_notes/national_water_v15.md and national_water_manifest.json.
CALC_PHL_COMBINED_HYDROLOGY_FACTOR,ERA5_rebase_factor * annual_SSP245_multiplier[y],SRC_PHL_V15_MANIFEST,ASM_PHL_HYDROLOGY_UNIFORM_SCALING,CALC_PHL_ERA5_REBASE CALC_PHL_SSP245_ANNUAL,"{""rebase"":1.0846128115307467,""years"":""2020-2053""}",dimensionless,2020=1.0846128115307467; 2053=1.1367172238366503,dimensionless,scripts/create_philippines_v15_national_water.py,sha256:ae04f9bb19ad378d48d8d5e2a2a2922a932239ce3d521695d58ccb9ecd7e0193,Multiplies 960 BASE RYTCM rows: 8 coefficient classes x 30 modes x four water ratios.
CALC_PHL_PRECIP_ACTIVITY,national_land_area_1000km2 * ERA5_normal_mm / 1000 * annual_SSP245_multiplier[y],SRC_WB_CCKP_ERA5_PHL_NORMAL SRC_PHL_V15_MANIFEST,ASM_PHL_WATER_NATIONAL_BOUNDARY ASM_PHL_SSP245_MEDIAN_ONLY,CALC_PHL_SSP245_ANNUAL,"{""area_1000km2"":295.8131,""era5_mm"":2658.12}",1000 km2; mm/year,2020=786.306717372; 2053=824.0806113969379,km3/year,scripts/validate_philippines_v15_national_water.py,sha256:2a978c26890148fe1deb67beb3024e18574aeaf9315fd4b1216b665dc35c8016,Validated against MINPRCPHL annual activity within solver/export precision.
CALC_PHL_WATER_RESOURCE_TOTAL,surface_water_potential + groundwater_potential,SRC_DEPDEV_WATER_POLICY_NOTE SRC_PDP_2023_2028_CH12 SRC_PHL_WATER_SNAPSHOT,ASM_PHL_POTENTIAL_FLOW_CEILINGS,,"{""surface_km3"":125.79,""groundwater_km3"":20.2}",km3/year; km3/year,145.99,km3/year,scripts/create_philippines_v15_national_water.py,sha256:ae04f9bb19ad378d48d8d5e2a2a2922a932239ce3d521695d58ccb9ecd7e0193,The model constrains surface and groundwater separately; this total is a traceability cross-check only.
CALC_PHL_SURFACE_UCC,125.79 * annual_SSP245_multiplier[y],SRC_DEPDEV_WATER_POLICY_NOTE SRC_PHL_WATER_SNAPSHOT,ASM_PHL_POTENTIAL_FLOW_CEILINGS ASM_PHL_CAPS_SCALE_WITH_MEDIAN_PRECIP,CALC_PHL_SSP245_ANNUAL,"{""base_km3"":125.79,""years"":""2020-2053""}",km3/year; dimensionless,2020=125.79; 2053=131.8329066983908,km3/year,scripts/create_philippines_v15_national_water.py,sha256:ae04f9bb19ad378d48d8d5e2a2a2922a932239ce3d521695d58ccb9ecd7e0193,Full annual UCC series is in the manifest and calculation note.
CALC_PHL_GROUNDWATER_UCC,20.2 * annual_SSP245_multiplier[y],SRC_DEPDEV_WATER_POLICY_NOTE SRC_PDP_2023_2028_CH12 SRC_PHL_WATER_SNAPSHOT,ASM_PHL_POTENTIAL_FLOW_CEILINGS ASM_PHL_CAPS_SCALE_WITH_MEDIAN_PRECIP ASM_PHL_NO_GROUNDWATER_STOCK,CALC_PHL_SSP245_ANNUAL,"{""base_km3"":20.2,""years"":""2020-2053""}",km3/year; dimensionless,2020=20.2; 2053=21.1704007894705,km3/year,scripts/create_philippines_v15_national_water.py,sha256:ae04f9bb19ad378d48d8d5e2a2a2922a932239ce3d521695d58ccb9ecd7e0193,"Potential-flow sensitivity only; not aquifer storage, safe yield or admissible drawdown."
CALC_PHL_GWT_IRRIGATION_IAR,1 km3 raw groundwater input per 1 km3 DEMAGRGWTPHL activity,SRC_PHL_V14_CASE SRC_PHL_V15_MANIFEST,ASM_PHL_GWT_IRRIGATION_ONE_TO_ONE,,"{""technology"":""DEMAGRGWTPHL"",""commodity"":""PHL_WTR_GWT"",""mode"":1}",km3/km3 activity,1,km3 groundwater per km3 activity,scripts/create_philippines_v15_national_water.py,sha256:ae04f9bb19ad378d48d8d5e2a2a2922a932239ce3d521695d58ccb9ecd7e0193,Closes the inherited electricity-to-irrigation escape route without calibrating the surface/groundwater share.
CALC_PHL_UDC_EXACTNESS,"For each member: single active mode 1 * raw-water IAR 1 * UDC CAM 1, therefore UDC activity sum equals gross raw-water withdrawal",SRC_MUIO_FORMULATION SRC_PHL_V15_MANIFEST,ASM_PHL_GWT_IRRIGATION_ONE_TO_ONE,CALC_PHL_GWT_IRRIGATION_IAR,"{""surface_members"":3,""groundwater_members"":3,""iar"":1,""cam"":1}",dimensionless,exactness proof passed; maximum solved residual 0.000003900000010048643,km3/year,scripts/validate_philippines_v15_national_water.py,sha256:2a978c26890148fe1deb67beb3024e18574aeaf9315fd4b1216b665dc35c8016,The solver constraints are annual Tag-0 inequalities in UDC1.
CALC_PHL_WATER_VALIDATION,normal application generation + preprocessing + GLPK matrix check + bounded CBC + full CBC + source/baseline/ledger checks,SRC_PHL_V15_VALIDATION SRC_PHL_V15_LEDGER,ASM_PHL_ENV_WATER_LEDGER_AUTHORITY,CALC_PHL_PRECIP_ACTIVITY CALC_PHL_UDC_EXACTNESS,"{""baseline_objective"":369630979.503002,""candidate_objective"":369630979.6246426}",model objective; status,optimal; objective=369630979.6246426; rows=791109; columns=884956; nonzeros=12533783,status and model units,scripts/validate_philippines_v15_national_water.py,sha256:2a978c26890148fe1deb67beb3024e18574aeaf9315fd4b1216b665dc35c8016,Minimum raw-water balance surplus -3.8517124e-13; final demands and emissions unchanged.
