block,technology,technology_id,mode,years,value_before,value_after,method,source_ids,confidence
power,PHL_POW_CHP_BIOM_FIT_OLD,TEC_v21bio,1,34,0.0001,1.336360359443693,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_CHP_BIOM_OLD,TEC_gthhk,1,34,0.0001,1.336360359443693,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_CHP_COAL_OLD,TEC_pyjfk,1,34,0.0001,1.2430116578649053,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_CHP_OIL_OFFGRID,TEC_v21oil,1,34,0.0001,1.5721886581690505,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_CHP_OIL_OLD,TEC_2hnym,1,34,0.0001,1.5721886581690505,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_GEO_OLD,TEC_0qr3z,1,34,0.0001,0.3218073659689775,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_PP_COAL,TEC_46nha,1,34,0.0001,1.2430116578649053,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_PP_COAL_CCS,TEC_mco0b,1,34,0.0001,3.0338328013105893,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_PP_H2,TEC_nxhpa,1,34,0.0001,1.2430116578649053,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_PP_HY_LA,TEC_p3vu5,1,34,0.0001,0.3856775302070952,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_PP_NGCC,TEC_2x8eb,1,34,0.0001,0.7050283513976835,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_PP_NGCC_CCS,TEC_ayzlr,1,34,0.0001,1.6139499194016658,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_PP_NU,TEC_yv6yo,1,34,0.0001,0.6558974558299007,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_PP_NUSMR,TEC_fa6fe,1,34,0.0001,0.8303121350955297,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_PP_SPV,TEC_1k064,1,34,0.0001,0.0,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_PP_WOF,TEC_bl1d7,1,34,0.0001,0.0,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_PP_WON,TEC_1wdli,1,34,0.0001,0.0,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_RE_OFFGRID,TEC_v21ore,1,34,0.0001,0.0,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1;SRC_VC_WB_CPI_USA,MEDIUM
power,PHL_POW_PP_BIOM_CCS,TEC_ojxym,1,34,0.0001,3.127181502889377,Claude proposal retained exactly,SRC_VC_EIA_AEO2023_T1,LOW
power,PHL_POW_TD,TEC_qzdk4,1,34,0.0001,0.0,Claude proposal retained exactly,SRC_VC_MODEL_INTERNAL,HIGH
crop,LNDAGRPHLC01,TEC_ibnh8,2,34,0.0001,26.304081960563153,Claude crop proposal x PSA irrigated net-cash/total-cost share,SRC_VC_PSA_T51_2021;SRC_PSA_SSAF_2022;SRC_PHL_V25_PSA_PALAY_DETAIL_2022,MEDIUM
crop,LNDAGRPHLC01,TEC_ibnh8,16,34,0.0001,26.304081960563153,Claude crop proposal x PSA irrigated net-cash/total-cost share,SRC_VC_PSA_T51_2021;SRC_PSA_SSAF_2022;SRC_PHL_V25_PSA_PALAY_DETAIL_2022,MEDIUM
crop,LNDAGRPHLC02,TEC_9lvqs,2,34,0.0001,26.304081960563153,Claude crop proposal x PSA irrigated net-cash/total-cost share,SRC_VC_PSA_T51_2021;SRC_PSA_SSAF_2022;SRC_PHL_V25_PSA_PALAY_DETAIL_2022,MEDIUM
crop,LNDAGRPHLC02,TEC_9lvqs,16,34,0.0001,26.304081960563153,Claude crop proposal x PSA irrigated net-cash/total-cost share,SRC_VC_PSA_T51_2021;SRC_PSA_SSAF_2022;SRC_PHL_V25_PSA_PALAY_DETAIL_2022,MEDIUM
crop,LNDAGRPHLC03,TEC_3mwof,2,34,0.0001,26.304081960563153,Claude crop proposal x PSA irrigated net-cash/total-cost share,SRC_VC_PSA_T51_2021;SRC_PSA_SSAF_2022;SRC_PHL_V25_PSA_PALAY_DETAIL_2022,MEDIUM
crop,LNDAGRPHLC03,TEC_3mwof,16,34,0.0001,26.304081960563153,Claude crop proposal x PSA irrigated net-cash/total-cost share,SRC_VC_PSA_T51_2021;SRC_PSA_SSAF_2022;SRC_PHL_V25_PSA_PALAY_DETAIL_2022,MEDIUM
crop,LNDAGRPHLC04,TEC_ckkki,2,34,0.0001,26.304081960563153,Claude crop proposal x PSA irrigated net-cash/total-cost share,SRC_VC_PSA_T51_2021;SRC_PSA_SSAF_2022;SRC_PHL_V25_PSA_PALAY_DETAIL_2022,MEDIUM
crop,LNDAGRPHLC04,TEC_ckkki,16,34,0.0001,26.304081960563153,Claude crop proposal x PSA irrigated net-cash/total-cost share,SRC_VC_PSA_T51_2021;SRC_PSA_SSAF_2022;SRC_PHL_V25_PSA_PALAY_DETAIL_2022,MEDIUM
