source_id,provider,product,edition,reference_period,geography,variable,source_unit,exact_locator,url,access_date,license,sha256,local_file,notes
SRC_VC_PSA_T51_2021,Philippine Statistics Authority,"OpenSTAT / Philippine Statistical Yearbook, Agriculture",2025 release,2021 calendar year,Philippines,Volume and value of crop production,10^3 metric tons; 10^6 PHP,"Database 3S > folder C5 > table 0012E2BAVV0.px 'TABLE 5.1'. Cells used, columns '2021 Volume' and '2021 Value': ('A. Cereals','Palay') 19960.17 / 332768.98; ('A. Cereals','Corn') 8287.19 / 117948.28; ('B. Major Crops','Coconut') 14717.29 / 123671.83; ('B. Major Crops','Sugarcane') 26277.40 / 45748.12; ('B. Major Crops','Tomato') 225.45 / 6154.06; ('C. Other Crops','Others') 3446.39 / 64777.73.",https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/3S/C5/0012E2BAVV0.px,2026-08-25,PSA open data,,snapshots/psa_t51_crop_value_volume_2021_2024.csv,"Retrieved by HTTP POST with body {query:[{code:'Kind of Crop'|'Crop Type'|'Year'|'Production',selection:{filter:'all',values:['*']}}],response:{format:'csv'}}. A GET on the same URL returns table metadata only, and format 'json-stat2' returns a degenerate single value; use csv."
SRC_VC_PSA_T56,Philippine Statistics Authority,"OpenSTAT, costs and returns of palay production, irrigated",2025 release,2022-2024,Philippines,"Cost per kilogram, total costs, gross returns",PHP/kg; PHP/ha,"Database 3S > folder C5 > table 0062E2BARI0.px 'TABLE 5.6'. Column '2022 Average': gross returns 71597.0, total costs 58489.3, cost per kilogram 14.7. Column '2023 Average': 89815.9 / 60547.9 / 13.4. Column '2024 Average': 103481.8 / 63822.6 / 14.4.",https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/3S/C5/0062E2BARI0.px,2026-08-25,PSA open data,,snapshots/psa_t56_palay_irrigated_costs.csv,"Cross-check only. OpenSTAT starts at 2022, so the 2021 cost per kilogram the model uses comes from the printed yearbook (SRC_PSA_SSAF_2022)."
SRC_VC_PSA_T57,Philippine Statistics Authority,"OpenSTAT, costs and returns of palay production, non-irrigated",2025 release,2022-2024,Philippines,"Cost per kilogram, total costs, gross returns",PHP/kg; PHP/ha,"Database 3S > folder C5 > table 0072E2BARN0.px 'TABLE 5.7'. Column '2022 Average': gross returns 52158.0, total costs 46064.2, cost per kilogram 15.8. Column '2023 Average': 65615.8 / 48139.6 / 14.6. Column '2024 Average': 76548.8 / 51129.1 / 15.6.",https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/3S/C5/0072E2BARN0.px,2026-08-25,PSA open data,,snapshots/psa_t57_palay_nonirrigated_costs.csv,Cross-check only.
SRC_PSA_SSAF_2022,Philippine Statistics Authority,Selected Statistics on Agriculture and Fisheries 2022,2022,2021,Philippines,Palay cost per kilogram; peso per US dollar,PHP/kg; PHP/USD,"Cost per kilogram of palay, 2021: irrigated 12.49, non-irrigated 13.95. Average exchange rate 2021: 49.25 PHP/USD. Already recorded at line 81 of the canonical data_sources/SOURCES.csv and reused here unchanged.",https://psa.gov.ph/,2026-08-11,PSA open data,,,"psa.gov.ph returned HTTP 403 behind a Cloudflare challenge on 2026-08-25, so these figures were taken from the existing ledger entry rather than re-downloaded. Both are verified against the case: they reproduce the stored rice VariableCost to 14 significant figures."
SRC_VC_PSA_CPI_0723_HIST,Philippine Statistics Authority,"OpenSTAT, Consumer Price Index, 2018 = 100, historical series",2018-base rebased,1994-2017,Philippines,"CPI, COICOP 07.2.3 maintenance and repair of personal transport equipment","index, 2018 = 100","Database 2M > PI > CPI > 2018NEW > table 0012M4ACP28.px. Commodity group '07.2.3 Maintenance and repair of personal transport equipment (S)', geography Philippines, period 2015 'Ave' = 96.1655973113352. All items, 2015 'Ave' = 91.2333049161694, for reference.",https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/2M/PI/CPI/2018NEW/0012M4ACP28.px,2026-08-25,PSA open data,,snapshots/psa_cpi_0723_maintenance_repair.csv,
SRC_VC_PSA_CPI_0723_CURR,Philippine Statistics Authority,"OpenSTAT, Consumer Price Index, 2018 = 100, current series",2018-base,2018-2026,Philippines,"CPI, COICOP 07.2.3 maintenance and repair of personal transport equipment","index, 2018 = 100","Database 2M > PI > CPI > 2018NEW > table 0012M4ACP22.px. Commodity group '07.2.3 Maintenance and repair of personal transport equipment (S)', geography Philippines, period 2020 'Ave' = 103.758333333333. All items, 2020 'Ave' = 104.825, for reference.",https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/2M/PI/CPI/2018NEW/0012M4ACP22.px,2026-08-25,PSA open data,,snapshots/psa_cpi_0723_maintenance_repair.csv,
SRC_VC_PIDS_DPS1502_T5,Philippine Institute for Development Studies,"Discussion Paper Series No. 2015-02, Diagnostic Report on the Bus Transport Sector",2015,"1997 survey, compounded to 2015 present value","Philippines, Metro Manila buses",Repair and maintenance cost per bus per day; revenue run per bus per day,PHP per bus per day; bus-km per bus per day,"Table 5 'Revenue runs and operational costs for different bus fleet sizes, compounded to present value', column 'Aggregate'. Row 'Revenue run' = 184.7 bus-km per day (5,172 per month, 62,061 per year). Row 'Repair and maintenance' = 1,160 PHP per bus per day. Same column, other rows: total cost 4,547; driver and conductor commission 1,293; fuel, oil and lubricants 2,095. Fleet-size columns (>=100 / 51-99 / 26-50 / 11-25 / <=10) give km per day 187.07 / 178.67 / 191.39 / 209.92 / 113.39 and repair and maintenance 1,700 / 770 / 383 / 1,469 / 779. The table attributes the underlying survey to Montalbo and Ishida (1997).",https://pidswebs.pids.gov.ph/CDN/PUBLICATIONS/pidsdps1502.pdf,2026-08-25,PIDS open access,,snapshots/pids_dps1502_extract.txt,PDF text extracted with a pure-stdlib zlib inflate of the content streams; the extract is in snapshots/ and the table text can be located in it by searching for 'Revenue run'.
SRC_VC_JICA_MMUTIS_TR9_T41,"Japan International Cooperation Agency with DOTC, MMDA, DPWH, NEDA, PNP-NCR, HUDCC, UP-NCTS, EMB","Metro Manila Urban Transportation Integration Study, Technical Report No. 9",1999,1996-1998,"Philippines, Metro Manila","Maintenance parts consumption per 1,000 km as a percentage of new-vehicle price; maintenance labour hours per 1,000 km; annual utilisation","percent of new-vehicle price per 1,000 km; hours per 1,000 km; km per year","Chapter 4, Table 4.1 'Operating Cost Model Inputs for New and Reconditioned Bus'. Column 'Main VOCM Runs (Bus)': capital cost 1,453,000 PHP; tire cost 14,200 PHP; useful lifetime 8 years; annual utilisation 80,000 km and 3,000 hours at an average 60 km/h; maintenance parts per 1,000 km 0.182 percent of the cost of a new bus; maintenance hours per 1,000 km 4.61; share of depreciation that is distance-related 85 percent. Column 'New Bus': 2,522,624 PHP, 10 years, 0.165 percent, 4.19 hours. Column 'Reconditioned Bus': 691,130 PHP, 6 years, 0.200 percent, 5.07 hours. The accompanying text states that reconditioned Japanese buses cost one third to one quarter of an equivalent new vehicle and have 20 percent higher maintenance per 1,000 km.",https://openjicareport.jica.go.jp/pdf/11580552_03.pdf,2026-08-25,JICA open library,,snapshots/jica_mmutis_tr9_extract.txt,"An HDM-4 style vehicle operating cost model. The 0.182 percent figure is parts only and excludes maintenance labour, which the PIDS figure includes."
SRC_VC_EIA_AEO2023_T1,U.S. Energy Information Administration,"Cost and Performance Characteristics of New Generating Technologies, Annual Energy Outlook 2023",AEO2023,2022 US dollars,United States,Variable operations and maintenance cost of electricity generating technologies,2022 USD per MWh,"Table 1, page 2, column 'Variable O&M (2022$/MWh)'. Rows used: ultra-supercritical coal 5.06; USC with 30 percent CCS 7.97; USC with 90 percent CCS 12.35; combined cycle single-shaft 2.87; combined cycle multi-shaft 2.10; combined cycle with 90 percent CCS 6.57; internal combustion engine 6.40; combustion turbine aeroderivative 5.29; combustion turbine industrial frame 5.06; fuel cells 0.66; nuclear light water reactor 2.67; nuclear small modular reactor 3.38; distributed generation base 9.69; distributed generation peak 9.69; battery storage 0.00; biomass 5.44; geothermal 1.31; conventional hydroelectric 1.57; wind 0.00; wind offshore 0.00; solar thermal 0.00; solar photovoltaic tracking 0.00; solar photovoltaic with storage 0.00. The table names Sargent & Lundy (December 2019) as the underlying engineering source, with hydro from ORNL (2012) and geothermal from NREL (2010).",https://www.eia.gov/aeo/assumptions/pdf/elec_cost_perf.pdf,2026-08-25,"US government, public domain",f63837b3dfb1c44b5b95a42ac081e0ea01964a93ff415e0b0f35f6ed6efabc8e,snapshots/eia_aeo2023_elec_cost_perf_extract.txt,The sha256 is of the downloaded PDF. The AEO2022 edition was downloaded as a cross-check (sha256 e52d4b5886a7934540b960d2bae1e83528340bdb5d0728d668344c8b4c2ddc3c).
SRC_VC_WB_CPI_USA,World Bank,World Development Indicators,accessed 2026-08-25,2015-2023,United States,Consumer price index (2010 = 100),"index, 2010 = 100","Indicator FP.CPI.TOTL, country USA. Values: 2015 108.695721960694; 2020 118.690501577198; 2021 124.266413825838; 2022 134.21120616846; 2023 139.73579356326.",https://api.worldbank.org/v2/country/USA/indicator/FP.CPI.TOTL?date=2015:2023&format=json&per_page=50,2026-08-25,CC BY-4.0,,,
