technology,technology_id,mode,crop,input_level,water_regime,before,after,years
LNDAGRPHLC01,TEC_ibnh8,1,vegetables,high,rainfed,197.64309261379358,373.9348760765442,2020-2053
LNDAGRPHLC01,TEC_ibnh8,2,coconut,low,irrigated,26.304081960563153,10.870786635440306,2020-2053
LNDAGRPHLC01,TEC_ibnh8,3,sugarcane,high,rainfed,89.67759843205299,82.86944058900504,2020-2053
LNDAGRPHLC01,TEC_ibnh8,4,maize,high,rainfed,38.12129692082797,47.19796954314721,2020-2053
LNDAGRPHLC01,TEC_ibnh8,5,vegetables,high,irrigated,185.0219762166209,373.9348760765442,2020-2053
LNDAGRPHLC01,TEC_ibnh8,6,sugarcane,high,irrigated,83.95095555745723,82.86944058900504,2020-2053
LNDAGRPHLC01,TEC_ibnh8,7,maize,low,irrigated,35.686942553639874,36.25786802030457,2020-2053
LNDAGRPHLC01,TEC_ibnh8,8,coconut,high,rainfed,28.09839249022884,32.41165898132074,2020-2053
LNDAGRPHLC01,TEC_ibnh8,9,sugarcane,low,irrigated,83.95095555745723,52.961078270372866,2020-2053
LNDAGRPHLC01,TEC_ibnh8,10,maize,high,irrigated,35.686942553639874,47.19796954314721,2020-2053
LNDAGRPHLC01,TEC_ibnh8,11,rice_rain,high,rainfed,45.27150930351695,78.54213197969543,2020-2053
LNDAGRPHLC01,TEC_ibnh8,12,vegetables,low,rainfed,197.64309261379358,295.7701770592382,2020-2053
LNDAGRPHLC01,TEC_ibnh8,13,vegetables,low,irrigated,185.0219762166209,295.7701770592382,2020-2053
LNDAGRPHLC01,TEC_ibnh8,14,rice_rain,low,rainfed,45.27150930351695,68.98680203045686,2020-2053
LNDAGRPHLC01,TEC_ibnh8,15,maize,low,rainfed,38.12129692082797,36.25786802030457,2020-2053
LNDAGRPHLC01,TEC_ibnh8,16,coconut,high,irrigated,26.304081960563153,32.41165898132074,2020-2053
LNDAGRPHLC01,TEC_ibnh8,17,rice_irrig,low,irrigated,95.51909198290593,75.30761421319797,2020-2053
LNDAGRPHLC01,TEC_ibnh8,18,sugarcane,low,rainfed,89.67759843205299,52.961078270372866,2020-2053
LNDAGRPHLC01,TEC_ibnh8,19,rice_irrig,high,irrigated,95.51909198290593,91.59796954314722,2020-2053
LNDAGRPHLC01,TEC_ibnh8,20,coconut,low,rainfed,28.09839249022884,10.870786635440306,2020-2053
LNDAGRPHLC01,TEC_ibnh8,21,other,low,irrigated,116.61759641469551,170.8041946130283,2020-2053
LNDAGRPHLC01,TEC_ibnh8,22,other,high,irrigated,116.61759641469551,222.48398394755702,2020-2053
LNDAGRPHLC01,TEC_ibnh8,23,other,low,rainfed,124.57256635072713,170.8041946130283,2020-2053
LNDAGRPHLC01,TEC_ibnh8,24,other,high,rainfed,124.57256635072713,222.48398394755702,2020-2053
LNDAGRPHLC02,TEC_9lvqs,1,vegetables,high,rainfed,197.64309261379358,373.9348760765442,2020-2053
LNDAGRPHLC02,TEC_9lvqs,2,coconut,low,irrigated,26.304081960563153,10.870786635440306,2020-2053
LNDAGRPHLC02,TEC_9lvqs,3,sugarcane,high,rainfed,89.67759843205299,82.86944058900504,2020-2053
LNDAGRPHLC02,TEC_9lvqs,4,maize,high,rainfed,38.12129692082797,47.19796954314721,2020-2053
LNDAGRPHLC02,TEC_9lvqs,5,vegetables,high,irrigated,185.0219762166209,373.9348760765442,2020-2053
LNDAGRPHLC02,TEC_9lvqs,6,sugarcane,high,irrigated,83.95095555745723,82.86944058900504,2020-2053
LNDAGRPHLC02,TEC_9lvqs,7,maize,low,irrigated,35.686942553639874,36.25786802030457,2020-2053
LNDAGRPHLC02,TEC_9lvqs,8,coconut,high,rainfed,28.09839249022884,32.41165898132074,2020-2053
LNDAGRPHLC02,TEC_9lvqs,9,sugarcane,low,irrigated,83.95095555745723,52.961078270372866,2020-2053
LNDAGRPHLC02,TEC_9lvqs,10,maize,high,irrigated,35.686942553639874,47.19796954314721,2020-2053
LNDAGRPHLC02,TEC_9lvqs,11,rice_rain,high,rainfed,45.27150930351695,78.54213197969543,2020-2053
LNDAGRPHLC02,TEC_9lvqs,12,vegetables,low,rainfed,197.64309261379358,295.7701770592382,2020-2053
