year,forest,grass_brush,other_fishpond,idle_fallow,barren,built_up,water,productive_crop,total_cropland,fallow_share,pv_capacity_gw,pv_land,wind_capacity_gw,wind_land,renewable_footprint_within_built,renewable_share_of_built,total_land_classes,cluster_total,closure_residual
2020,72.3194,77.7456,2.2879,5.2877,1.595,10.2649,6.3198,119.9927996,125.2804996,0.04220688787866232,1.01207,0.01214484,0.4269,0.004269,0.01641384,0.0015990258063887615,295.8130996,295.8131,4.000000330961484e-07
2021,74.8194,77.7456,2.2879,66.674739,1.595,10.422808,6.3198,55.9478526,122.62259159999999,0.5437394376518788,1.01207,0.01214484,0.4269,0.004269,0.01641384,0.0015748001882026417,295.8130996,295.8131,4.000000330961484e-07
2022,77.3194,77.7456,2.2879,63.457804,1.595,10.581906,6.3198,56.5056892,119.9634932,0.5289759601631874,3.683141,0.044197692000000004,0.4269,0.004269,0.048466692000000006,0.00458014765959932,295.8130992,295.8131,8.000000093488779e-07
2023,79.8194,38.945279,2.2879,98.454471,1.595,10.742194,6.3198,57.6490565,156.10352749999998,0.6306998475739122,3.683141,0.044197692000000004,0.4269,0.004269,0.048466692000000006,0.0045118056888564856,295.8131005,295.8131,-4.999999987376214e-07
2024,82.3194,77.7456,2.2879,54.65246,1.595,10.903672,6.3198,59.9892675,114.6417275,0.47672397469760736,3.683141,0.044197692000000004,0.4269,0.004269,0.048466692000000006,0.004444988073742498,295.81309949999996,295.8131,5.000000555810402e-07
2025,84.8194,77.7456,2.2879,51.753052,1.595,11.06634,6.3198,60.2260076,111.9790596,0.4621672318455512,3.683141,0.044197692000000004,0.4269,0.004269,0.048466692000000006,0.0043796496402604655,295.8130996,295.8131,4.000000330961484e-07
2026,87.3194,77.7456,2.2879,48.91566,1.595,11.237052,6.3198,60.3926884,109.3083484,0.4475015926596875,3.683141,0.044197692000000004,0.4269,0.004269,0.048466692000000006,0.004313114507256886,295.8131004,295.8131,-3.9999997625272954e-07
2027,89.8194,77.7456,2.2879,46.086213,1.595,11.409043,6.3198,60.5501436,106.6363566,0.4321810540927652,3.683141,0.044197692000000004,0.4269,0.004269,0.048466692000000006,0.004248094428253097,295.8130996,295.8131,4.000000330961484e-07
2028,92.3194,68.765749,2.2879,52.244396,1.595,11.582314,6.3198,60.6985407,112.9429367,0.46257338020855626,3.683141,0.044197692000000004,0.4269,0.004269,0.048466692000000006,0.004184543088712671,295.8130997,295.8131,3.000000106112566e-07
2029,94.8194,77.7456,2.2879,40.450491,1.595,11.756864,6.3198,60.8380455,101.28853649999999,0.3993590232197698,3.683141,0.044197692000000004,0.4269,0.004269,0.048466692000000006,0.004122416658047589,295.8131005,295.8131,-4.999999987376214e-07
